主成分,順位,特徴,負荷量,絶対負荷量
PC10,1,被災学校種_高,0.4773980379104614,0.4773980379104614
PC10,2,被災学校種_小,-0.38518187403678894,0.38518187403678894
PC10,3,場合別1_休憩時間,0.36466920375823975,0.36466920375823975
PC10,4,被災学年_3,0.27514806389808655,0.27514806389808655
PC10,5,場合別1_保育中,-0.19552378356456757,0.19552378356456757
PC10,6,被災学年_5,-0.19360919296741486,0.19360919296741486
PC10,7,場合別2_（欠損）,-0.19337835907936096,0.19337835907936096
PC10,8,被災学年_6,-0.18362554907798767,0.18362554907798767
PC10,9,被災学年_4,-0.15549902617931366,0.15549902617931366
PC10,10,場合別1_課外指導,-0.14315569400787354,0.14315569400787354
PC10,11,場合別2_体育的部活動,-0.14217695593833923,0.14217695593833923
PC10,12,被災学年_2,0.1405709832906723,0.1405709832906723
PC10,13,被災学校種_保,-0.13063934445381165,0.13063934445381165
PC10,14,場合別2_休憩時間中,0.12732678651809692,0.12732678651809692
PC10,15,場合別2_昼食時休憩時間中,0.12562640011310577,0.12562640011310577
PC10,16,競技種目_（欠損）,0.1246645376086235,0.1246645376086235
PC10,17,被災学年_1,0.11959683150053024,0.11959683150053024
PC10,18,被災学校種_中,0.10543221980333328,0.10543221980333328
PC10,19,性別_女,0.10179217159748077,0.10179217159748077
PC10,20,性別_男,-0.10179214179515839,0.10179214179515839
