単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
股間,96,95,1.5576,260
参加,95,92,1.5084,261
右腕,95,86,1.4101,262
腹部,95,89,1.4593,263
低下,93,93,1.5248,264
特定,93,93,1.5248,265
入院,92,90,1.4757,266
形,92,89,1.4593,267
転,92,76,1.2461,268
来る,91,90,1.4757,269
担任,90,67,1.0985,270
バレーボール,90,87,1.4265,271
離れる,90,86,1.4101,272
きれる,90,90,1.4757,273
バッター,90,82,1.3445,274
跳ね返る,90,89,1.4593,275
回転,89,76,1.2461,276
右側,88,85,1.3937,277
終わる,88,86,1.4101,278
醜状,88,88,1.4429,279
段,87,66,1.0821,280
会,87,85,1.3937,281
一緒,87,83,1.3609,282
昇降,87,77,1.2625,283
前腕,87,75,1.2297,284
学習,84,79,1.2953,285
木,84,61,1.0002,286
損傷,84,81,1.3281,287
視,84,84,1.3773,288
降りる,83,79,1.2953,289
他校,83,82,1.3445,290
祭,83,80,1.3117,291
給食,83,75,1.2297,292
上げる,83,80,1.3117,293
的,83,80,1.3117,294
底,82,81,1.3281,295
中指,82,72,1.1805,296
後日,82,82,1.3445,297
思う,81,80,1.3117,298
用,81,78,1.2789,299
上がる,81,78,1.2789,300
庭,80,78,1.2789,301
閉める,79,72,1.1805,302
調節,79,78,1.2789,303
肩,78,75,1.2297,304
組,78,74,1.2133,305
棒,78,53,0.869,306
別,78,78,1.2789,307
板,78,64,1.0494,308
器,77,69,1.1313,309
殴る,76,72,1.1805,310
いく,76,75,1.2297,311
分,76,65,1.0657,312
合う,76,72,1.1805,313
実習,76,66,1.0821,314
複,76,76,1.2461,315
テニス,75,59,0.9674,316
技,75,69,1.1313,317
当たり,75,75,1.2297,318
石,75,50,0.8198,319
距離,75,75,1.2297,320
植込み,75,75,1.2297,321
様子,74,72,1.1805,322
者,74,64,1.0494,323
水,73,62,1.0166,324
感覚,73,72,1.1805,325
圧迫,72,71,1.1641,326
感じる,71,66,1.0821,327
遊具,71,57,0.9346,328
方向,71,67,1.0985,329
下腿,71,60,0.9838,330
始業,71,71,1.1641,331
パス,70,67,1.0985,332
水泳,70,65,1.0657,333
裂傷,70,69,1.1313,334
一部,70,69,1.1313,335
形式,70,70,1.1477,336
m,69,57,0.9346,337
打者,69,64,1.0494,338
倒立,69,53,0.869,339
椅子,69,46,0.7542,340
追う,69,65,1.0657,341
左目,69,65,1.0657,342
蘇生,69,65,1.0657,343
声,68,63,1.033,344
そう,67,67,1.0985,345
教諭,67,58,0.951,346
終える,67,67,1.0985,347
とる,67,66,1.0821,348
呼吸,67,59,0.9674,349
ジャンプ,66,63,1.033,350
開ける,66,63,1.033,351
体重,66,62,1.0166,352
～,65,60,0.9838,353
傷,65,65,1.0657,354
捻る,65,65,1.0657,355
保健,65,65,1.0657,356
停止,65,63,1.033,357
陸上,64,63,1.033,358
悪い,64,63,1.033,359
支える,64,56,0.9182,360
周,64,42,0.6886,361
薬指,64,58,0.951,362
端,64,59,0.9674,363
ランニング,64,61,1.0002,364
学級,63,61,1.0002,365
左上,63,58,0.951,366
