欠損パターン,件数,割合（％）
通学方法 | 遊具等,3010,49.3524
競技種目 | 通学方法 | 遊具等,2191,35.9239
場合別2 | 競技種目 | 通学方法 | 遊具等,333,5.4599
競技種目 | 遊具等,328,5.3779
競技種目 | 通学方法,147,2.4102
場合別2 | 競技種目 | 通学方法,62,1.0166
通学方法,28,0.4591
