列名,有効数,数値化不能数,平均,標準偏差,最小,25%点,中央値,75%点,最大
給付年度,6099,0,18.70831283817019,9.283339998702134,1,17.0,21.0,26.0,30
被災学年,6099,0,2.4945072962780785,1.4494073157028502,0,1.0,2.0,3.0,6
