列名,全件数,欠損数,欠損率（％）,非欠損数
遊具等,6099,5862,96.1141,237
通学方法,6099,5771,94.6221,328
競技種目,6099,3061,50.1886,3038
場合別2,6099,395,6.4765,5704
和暦,6099,0,0.0,6099
場合別1,6099,0,0.0,6099
性別,6099,0,0.0,6099
災害発生時の状況,6099,0,0.0,6099
発生場所1,6099,0,0.0,6099
発生場所2,6099,0,0.0,6099
種別,6099,0,0.0,6099
給付年度,6099,0,0.0,6099
被災学年,6099,0,0.0,6099
被災学校種,6099,0,0.0,6099
記号,6099,0,0.0,6099
