分割,対象件数,AUC,Brierスコア,LogLoss,前処理
1,1537,0.6815690127734395,0.1503577249968063,0.4690914596501526,カテゴリ統合・標準化・ダミー化を学習fold内で実施
2,1537,0.6748267569943631,0.1518369891155035,0.475079163547127,カテゴリ統合・標準化・ダミー化を学習fold内で実施
3,1536,0.6734488483087777,0.1506909073941888,0.471426442668581,カテゴリ統合・標準化・ダミー化を学習fold内で実施
4,1536,0.7142768209172027,0.1477337298005081,0.4614618684777003,カテゴリ統合・標準化・ダミー化を学習fold内で実施
5,1536,0.6680735877522818,0.1541263302860138,0.4774713418047776,カテゴリ統合・標準化・ダミー化を学習fold内で実施
5分割平均,7682,0.6824390053492129,0.1509491363186041,0.4709060552296678,カテゴリ統合・標準化・ダミー化を学習fold内で実施
