語1,語2,共起事例数,Jaccard（ネットワーク重み）
手術,部,160,0.0641025641025641
強い,当たる,159,0.0748235294117647
部,障害,159,0.06352377147423093
痕,線,158,0.9575757575757575
状,痕,158,0.8494623655913979
状,線,158,0.8186528497409327
残る,線,158,0.19651741293532338
性,残る,158,0.17732884399551066
れる,体育,158,0.07629164654756157
前歯,破る,157,0.2033678756476684
体育,場,157,0.09691358024691359
部,骨折,157,0.06154449235593885
救急,病院,156,0.29942418426103645
前歯,折,156,0.19796954314720813
残る,痕,156,0.19524405506883605
滑る,転倒,156,0.10497981157469717
バッティング,野球,155,0.18765133171912832
打つ,負傷,155,0.06707053223712678
当たる,残る,155,0.06598552575564069
れる,病院,154,0.10657439446366782
試合,野球,154,0.10178453403833443
くる,負傷,154,0.07080459770114943
体育,残る,153,0.0996742671009772
受診,治療,152,0.3046092184368738
直撃,野球,152,0.1464354527938343
教室,時間,152,0.1216
時間,転倒,152,0.079002079002079
前歯,負傷,152,0.06816143497757847
投げる,練習,152,0.06557377049180328
滑る,足,151,0.1670353982300885
友人,負傷,151,0.06952117863720074
性,眼,150,0.09535918626827718
サッカー,練習,150,0.06299874002519949
時間,部,150,0.05011693952555964
れる,手術,149,0.09776902887139108
負傷,足,149,0.06930232558139535
体育,眼,149,0.06732941708088568
眼,視力,148,0.09959623149394348
バッティング,眼,148,0.09238451935081149
場,試合,148,0.08690546095126248
打つ,転倒,148,0.07628865979381444
投げる,部,148,0.05747572815533981
ガラス,割れる,147,0.4916387959866221
病院,車,147,0.38481675392670156
バッティング,ボール,147,0.08376068376068375
手,負傷,147,0.06940509915014165
足,部,147,0.05174234424498416
れる,当たる,147,0.050724637681159424
休憩,昼食,146,0.3173913043478261
場,治療,146,0.13129496402877697
くる,眼,146,0.0722057368941642
治療,運動,145,0.13996138996138996
れる,友人,145,0.07696390658174097
れる,相手,144,0.06853879105188006
球,練習,144,0.0666975451597962
瘢痕,部,144,0.05848903330625508
登校,自転車,143,0.29545454545454547
くる,走る,143,0.1136724960254372
負傷,走る,143,0.06520747834017328
口,練習,143,0.05921325051759834
性,部,143,0.0588477366255144
手術,搬送,142,0.23432343234323433
体育,転倒,142,0.0708936595107339
当たる,歯,142,0.06883179835191469
