語1,語2,共起事例数,Jaccard（ネットワーク重み）
運動,野球,55,0.1896551724137931
打つ,練習,55,0.090311986863711
打つ,部,55,0.08702531645569621
体育館,前歯,55,0.07180156657963446
ソフトボール,バット,54,0.4251968503937008
負傷,顔,54,0.10756972111553785
自転車,負傷,54,0.10093457943925234
しまう,歯,54,0.09836065573770492
体育,歯,54,0.09660107334525939
足,顔面,54,0.09358752166377816
強打,練習,54,0.07605633802816901
バランス,前歯,54,0.06826801517067003
転倒,道路,53,0.1261904761904762
口,補綴,53,0.10578842315369262
加える,口,53,0.10536779324055666
口,歯科,53,0.10536779324055666
ボール,体育,53,0.10231660231660232
口,本,53,0.1017274472168906
地面,顔面,53,0.09869646182495345
折れる,部,53,0.09075342465753425
しまう,顔面,53,0.08907563025210084
下校,前歯,53,0.06829896907216494
相手,選手,52,0.22510822510822512
口,場,52,0.11206896551724138
守備,部,52,0.1015625
場,当たる,52,0.10097087378640776
打球,部,52,0.10038610038610038
ボール,補綴,52,0.09541284403669725
ボール,加える,52,0.09506398537477148
ボール,歯科,52,0.09506398537477148
破る,練習,52,0.08888888888888889
折,練習,52,0.08873720136518772
前歯,崩す,52,0.06590621039290241
床,足,51,0.18214285714285713
バット,口,51,0.12114014251781473
口,運動,51,0.11383928571428571
走る,転倒,51,0.11038961038961038
転倒,顔,51,0.09622641509433963
試合,負傷,51,0.09123434704830054
ボール,本,51,0.09010600706713781
口,転倒,51,0.07223796033994334
当たる,負傷,51,0.06967213114754098
くる,飛ぶ,50,0.2857142857142857
ボール,捕る,50,0.11990407673860912
体育,負傷,50,0.1016260162601626
れる,転倒,50,0.0946969696969697
くる,部,50,0.08561643835616438
前歯,滑る,50,0.06385696040868455
守備,野球,49,0.20851063829787234
打球,野球,49,0.2033195020746888
試合,選手,49,0.18846153846153846
ボール,折れる,49,0.09702970297029703
直撃,練習,49,0.095703125
打つ,負傷,49,0.09315589353612168
バランス,顔面,49,0.08687943262411348
しまう,練習,49,0.08566433566433566
しまう,部,49,0.08235294117647059
野球,顔面,49,0.07596899224806201
前歯,抜ける,49,0.06542056074766354
補綴,野球,48,0.13636363636363635
加える,野球,48,0.13559322033898305
歯科,野球,48,0.13559322033898305
場,負傷,48,0.0995850622406639
ボール,場,48,0.09393346379647749
ノック,部,48,0.0893854748603352
部,顔,48,0.07741935483870968
前歯,欠損,48,0.06593406593406594
前歯,強い,48,0.05970149253731343
ボール,守備,47,0.10829493087557604
体育,口,47,0.09771309771309772
当たる,運動,47,0.09343936381709742
滑る,顔面,47,0.08483754512635379
地面,自転車,46,0.16974169741697417
補綴,顔,46,0.13855421686746988
加える,顔,46,0.1377245508982036
歯科,顔,46,0.1377245508982036
当たる,打球,46,0.10244988864142539
負傷,運動,46,0.09850107066381156
バット,当たる,46,0.09643605870020965
相手,負傷,46,0.08550185873605948
れる,歯,46,0.07958477508650519
練習,転倒,46,0.056511056511056514
強打,足,45,0.11278195488721804
時間,転倒,45,0.09433962264150944
体育,当たる,45,0.08426966292134831
直撃,部,45,0.08348794063079777
くる,練習,45,0.07950530035335689
手,顔面,45,0.07936507936507936
強い,顔面,45,0.0782608695652174
くる,顔面,45,0.07588532883642496
体育,顔面,45,0.0734094616639478
ノック,前歯,45,0.05798969072164949
チーム,相手,44,0.2037037037037037
口,破る,44,0.08979591836734693
ボール,運動,44,0.08835341365461848
崩す,顔面,44,0.07787610619469026
本,転倒,44,0.0773286467486819
ぶつける,顔面,44,0.07719298245614035
歯,顔,44,0.07547169811320754
練習,顔,44,0.07321131447587355
前歯,地面,44,0.056555269922879174
滑る,足,43,0.2037914691943128
れる,自転車,43,0.12181303116147309
くる,負傷,43,0.08977035490605428
口,折,43,0.08739837398373984
体育館,歯,43,0.08582834331337326
れる,負傷,43,0.08431372549019608
バスケットボール,部,43,0.08382066276803118
ぶつける,歯,43,0.0817490494296578
強い,歯,43,0.08082706766917293
負傷,野球,43,0.08037383177570094
ボール,折,43,0.08037383177570094
当たる,補綴,43,0.07651245551601424
加える,当たる,43,0.07624113475177305
当たる,歯科,43,0.07624113475177305
前歯,頭,43,0.057180851063829786
前歯,取る,43,0.056878306878306875
前歯,教室,43,0.055627425614489
バランス,自転車,42,0.14093959731543623
れる,強打,42,0.09545454545454546
ぶつける,転倒,42,0.08731808731808732
体育館,練習,42,0.08076923076923077
バット,練習,42,0.07879924953095685
折,歯,42,0.0726643598615917
れる,練習,42,0.07
バスケットボール,前歯,42,0.056
倒れる,前歯,42,0.05483028720626632
ボール,取る,41,0.09339407744874716
捕る,練習,41,0.08436213991769548
ボール,破る,41,0.07649253731343283
捕る,野球,40,0.17391304347826086
体育館,床,40,0.1606425702811245
崩す,自転車,40,0.13513513513513514
崩す,強打,40,0.10471204188481675
バランス,強打,40,0.10362694300518134
ボール,飛ぶ,40,0.091324200913242
前方,転倒,40,0.0898876404494382
バッティング,練習,40,0.0851063829787234
捕る,部,40,0.0784313725490196
床,負傷,40,0.07662835249042145
くる,歯,40,0.07233273056057866
バット,部,40,0.07168458781362007
折,顔面,40,0.064
バット,体育,39,0.16049382716049382
ノック,野球,39,0.14661654135338345
強打,滑る,39,0.104
しまう,強打,39,0.0924170616113744
くる,当たる,39,0.075
しまう,ボール,39,0.07471264367816093
破る,転倒,39,0.07303370786516854
折,転倒,39,0.07289719626168224
歯,足,39,0.0712979890310786
折れる,顔面,39,0.06478405315614617
前歯,遊ぶ,39,0.05151915455746367
バット,振る,38,0.2753623188405797
ソフトボール,体育,38,0.19095477386934673
前輪,自転車,38,0.17272727272727273
ぶつかる,相手,38,0.12751677852348994
自転車,補綴,38,0.10187667560321716
加える,自転車,38,0.10133333333333333
歯科,自転車,38,0.10133333333333333
ノック,口,38,0.09026128266033254
口,強い,38,0.084070796460177
強い,当たる,38,0.07554671968190854
しまう,当たる,38,0.07156308851224105
ぶつかる,歯,38,0.07156308851224105
倒れる,顔面,38,0.07063197026022305
口,強打,38,0.060995184590690206
破る,顔面,38,0.06070287539936102
前方,前歯,38,0.04935064935064935
倒れる,床,37,0.15481171548117154
バスケットボール,相手,37,0.1510204081632653
床,時間,37,0.13405797101449277
補綴,試合,37,0.09367088607594937
加える,試合,37,0.09319899244332494
歯科,試合,37,0.09319899244332494
口,打球,37,0.09090909090909091
バット,負傷,37,0.08240534521158129
ボール,直撃,37,0.07974137931034483
口,折れる,37,0.07805907172995781
強打,本,37,0.07708333333333334
友人,転倒,37,0.07676348547717843
強い,転倒,37,0.07520325203252033
選手,部,37,0.07115384615384615
教室,顔面,37,0.06764168190127971
ボール,顔,37,0.06751824817518248
体育館,部,37,0.06751824817518248
強い,部,37,0.06390328151986183
床,練習,37,0.06026058631921824
床,部,37,0.058084772370486655
前歯,選手,37,0.04894179894179894
人,前歯,37,0.048051948051948054
抜ける,本,36,0.140625
折,野球,36,0.10434782608695652
自転車,顔,36,0.09917355371900827
体育,試合,36,0.0972972972972973
ぶつかる,ボール,36,0.07331975560081466
バスケットボール,練習,36,0.07243460764587525
時間,歯,36,0.06766917293233082
強い,練習,36,0.06463195691202872
走る,顔面,36,0.06338028169014084
友人,顔面,36,0.0627177700348432
歯,破る,36,0.06174957118353345
場,顔面,36,0.05901639344262295
