主成分,順位,特徴,負荷量,絶対負荷量
PC6,14,発生場所1_学校内・校舎外（園内・園舎外）,0.06830236315727234,0.06830236315727234
PC6,15,場合別2_休憩時間中,-0.06612369418144226,0.06612369418144226
PC6,16,競技種目_野球（含軟式）,-0.05553289130330086,0.05553289130330086
PC6,17,発生場所2_運動場・校庭（園庭）,0.05524919554591179,0.05524919554591179
PC6,18,発生場所2_廊下,-0.055246658623218536,0.055246658623218536
PC6,19,発生場所2_教室（保育室）,-0.05123431980609894,0.05123431980609894
PC6,20,場合別1_通学中,0.04703428968787193,0.04703428968787193
PC7,1,被災学校種_中,0.7378515005111694,0.7378515005111694
PC7,2,被災学校種_高,-0.5148879289627075,0.5148879289627075
PC7,3,被災学校種_小,-0.21624800562858582,0.21624800562858582
PC7,4,競技種目_（欠損）,-0.14309300482273102,0.14309300482273102
PC7,5,被災学年_1,0.14111803472042084,0.14111803472042084
PC7,6,場合別1_休憩時間,-0.137669175863266,0.137669175863266
PC7,7,場合別1_課外指導,0.10042716562747955,0.10042716562747955
PC7,8,発生場所1_学校内・校舎内（園内・園舎内）,-0.09874314814805984,0.09874314814805984
PC7,9,場合別2_体育的部活動,0.09794341027736664,0.09794341027736664
PC7,10,発生場所1_学校外（園外）,0.09184274822473526,0.09184274822473526
PC7,11,場合別2_休憩時間中,-0.0679132267832756,0.0679132267832756
PC7,12,競技種目_ソフトボール,0.06369472295045853,0.06369472295045853
PC7,13,発生場所2_道路,0.06342626363039017,0.06342626363039017
PC7,14,被災学年_4,-0.05142875388264656,0.05142875388264656
PC7,15,被災学年_5,-0.05042240768671036,0.05042240768671036
PC7,16,場合別2_体育（保健体育）,0.05022584646940231,0.05022584646940231
PC7,17,場合別1_通学中,0.05017310380935669,0.05017310380935669
PC7,18,通学方法_（欠損）,-0.05017310380935669,0.05017310380935669
PC7,19,被災学年_6,-0.048425864428281784,0.048425864428281784
PC7,20,場合別2_下校（降園）中,0.04117096960544586,0.04117096960544586
PC8,1,被災学年_3,0.7555770874023438,0.7555770874023438
PC8,2,被災学年_1,-0.44704264402389526,0.44704264402389526
PC8,3,被災学年_2,-0.2866811752319336,0.2866811752319336
PC8,4,発生場所1_学校外（園外）,0.14228400588035583,0.14228400588035583
PC8,5,場合別2_体育（保健体育）,-0.13889271020889282,0.13889271020889282
PC8,6,場合別1_各教科等,-0.12683740258216858,0.12683740258216858
PC8,7,発生場所2_学校外運動場・競技場,0.12594279646873474,0.12594279646873474
PC8,8,場合別1_課外指導,0.11081063747406006,0.11081063747406006
PC8,9,場合別2_体育的部活動,0.11079515516757965,0.11079515516757965
PC8,10,発生場所1_学校内・校舎内（園内・園舎内）,-0.10311095416545868,0.10311095416545868
PC8,11,発生場所2_体育館・屋内運動場,-0.09638284146785736,0.09638284146785736
PC8,12,競技種目_野球（含軟式）,0.060944147408008575,0.060944147408008575
PC8,13,発生場所2_運動場・校庭（園庭）,-0.04880499467253685,0.04880499467253685
PC8,14,競技種目_ソフトボール,-0.04880310595035553,0.04880310595035553
PC8,15,通学方法_自転車,-0.048107825219631195,0.048107825219631195
PC8,16,被災学校種_高,-0.04474710673093796,0.04474710673093796
PC8,17,給付年度_19,0.04159901291131973,0.04159901291131973
PC8,18,発生場所1_学校内・校舎外（園内・園舎外）,-0.03917299956083298,0.03917299956083298
PC8,19,場合別2_下校（降園）中,-0.035308584570884705,0.035308584570884705
PC8,20,給付年度_29,-0.033099714666604996,0.033099714666604996
PC9,1,発生場所1_学校外（園外）,0.40791305899620056,0.40791305899620056
PC9,2,被災学校種_小,0.38359490036964417,0.38359490036964417
PC9,3,発生場所2_学校外運動場・競技場,0.3006817102432251,0.3006817102432251
PC9,4,発生場所1_学校内・校舎内（園内・園舎内）,-0.2739414572715759,0.2739414572715759
PC9,5,被災学校種_高,-0.24448010325431824,0.24448010325431824
PC9,6,被災学年_3,-0.2099686712026596,0.2099686712026596
PC9,7,通学方法_自転車,-0.20625367760658264,0.20625367760658264
PC9,8,場合別1_各教科等,0.20464394986629486,0.20464394986629486
PC9,9,発生場所2_体育館・屋内運動場,-0.18736985325813293,0.18736985325813293
PC9,10,被災学校種_中,-0.1636219620704651,0.1636219620704651
PC9,11,場合別2_体育（保健体育）,0.15479634702205658,0.15479634702205658
PC9,12,場合別1_休憩時間,-0.15197601914405823,0.15197601914405823
PC9,13,発生場所2_運動場・校庭（園庭）,-0.15188415348529816,0.15188415348529816
PC9,14,通学方法_（欠損）,0.14851604402065277,0.14851604402065277
PC9,15,場合別1_通学中,-0.14851604402065277,0.14851604402065277
PC9,16,競技種目_（欠損）,-0.1394210010766983,0.1394210010766983
PC9,17,発生場所1_学校内・校舎外（園内・園舎外）,-0.13397160172462463,0.13397160172462463
PC9,18,発生場所2_道路,-0.11579369008541107,0.11579369008541107
PC9,19,場合別2_登校（登園）中,-0.1020311787724495,0.1020311787724495
PC9,20,被災学年_6,0.09867006540298462,0.09867006540298462
PC10,1,被災学校種_小,0.4612371027469635,0.4612371027469635
PC10,2,被災学校種_高,-0.2952547073364258,0.2952547073364258
PC10,3,発生場所2_体育館・屋内運動場,0.2942243814468384,0.2942243814468384
PC10,4,場合別1_休憩時間,-0.26323598623275757,0.26323598623275757
PC10,5,発生場所2_学校外運動場・競技場,-0.23469248414039612,0.23469248414039612
PC10,6,場合別1_通学中,0.18784396350383759,0.18784396350383759
PC10,7,通学方法_（欠損）,-0.1878439337015152,0.1878439337015152
PC10,8,発生場所1_学校外（園外）,-0.18107789754867554,0.18107789754867554
PC10,9,発生場所2_道路,0.18028002977371216,0.18028002977371216
PC10,10,場合別2_下校（降園）中,0.1642449051141739,0.1642449051141739
PC10,11,被災学年_1,-0.161985844373703,0.161985844373703
PC10,12,場合別2_体育的部活動,0.15424922108650208,0.15424922108650208
PC10,13,場合別1_課外指導,0.14392788708209991,0.14392788708209991
PC10,14,被災学校種_中,-0.14187054336071014,0.14187054336071014
PC10,15,競技種目_バスケットボール,0.13715432584285736,0.13715432584285736
PC10,16,被災学年_2,-0.12485743314027786,0.12485743314027786
PC10,17,通学方法_徒歩,0.12444278597831726,0.12444278597831726
PC10,18,被災学年_5,0.1207316517829895,0.1207316517829895
PC10,19,被災学年_6,0.11906140297651291,0.11906140297651291
PC10,20,発生場所1_学校内・校舎内（園内・園舎内）,0.11463712900876999,0.11463712900876999
