前件,後件,項目数,共起事例数,支持度,信頼度,lift
通学方法=徒歩,発生場所1=学校外（園外） | 被災学校種=小,3,26,0.016424510423247,0.6046511627906976,19.53393450403417
競技種目=ソフトボール,場合別2=体育（保健体育） | 発生場所2=運動場・校庭（園庭）,3,56,0.035375868603916616,0.7466666666666667,13.28059925093633
場合別2=体育（保健体育） | 発生場所2=運動場・校庭（園庭）,競技種目=ソフトボール,3,56,0.035375868603916616,0.6292134831460674,13.28059925093633
発生場所2=学校外運動場・競技場,発生場所1=学校外（園外） | 競技種目=野球（含軟式）,3,75,0.047378395451674035,0.6302521008403361,12.790885585003233
発生場所1=学校外（園外） | 競技種目=野球（含軟式）,発生場所2=学校外運動場・競技場,3,75,0.047378395451674035,0.9615384615384616,12.790885585003231
発生場所1=学校外（園外） | 競技種目=サッカー・フットサル,発生場所2=学校外運動場・競技場,3,23,0.014529374605180037,0.9583333333333334,12.748249299719888
競技種目=ソフトボール,場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,3,56,0.035375868603916616,0.7466666666666667,12.44182456140351
場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,競技種目=ソフトボール,3,56,0.035375868603916616,0.5894736842105263,12.441824561403507
競技種目=ソフトボール,場合別2=体育（保健体育） | 発生場所1=学校内・校舎外（園内・園舎外）,3,56,0.035375868603916616,0.7466666666666667,12.312222222222223
場合別2=体育（保健体育） | 発生場所1=学校内・校舎外（園内・園舎外）,競技種目=ソフトボール,3,56,0.035375868603916616,0.5833333333333334,12.312222222222223
場合別2=授業終了後の特定時間中,場合別1=休憩時間 | 被災学校種=高,3,16,0.01010739102969046,0.2857142857142857,11.902255639097744
場合別1=休憩時間 | 被災学校種=高,場合別2=授業終了後の特定時間中,3,16,0.01010739102969046,0.42105263157894735,11.902255639097744
競技種目=ソフトボール,場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,3,56,0.035375868603916616,0.7466666666666667,11.25688888888889
場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,競技種目=ソフトボール,3,56,0.035375868603916616,0.5333333333333333,11.25688888888889
通学方法=徒歩,和暦=平成 | 場合別2=下校（降園）中,3,30,0.018951358180669616,0.6976744186046512,9.603640040444894
和暦=平成 | 場合別2=下校（降園）中,通学方法=徒歩,3,30,0.018951358180669616,0.2608695652173913,9.603640040444894
競技種目=バレーボール,性別=女 | 発生場所2=体育館・屋内運動場,3,19,0.012002526847757423,0.4418604651162791,9.581713921631092
性別=女 | 発生場所2=体育館・屋内運動場,競技種目=バレーボール,3,19,0.012002526847757423,0.2602739726027397,9.581713921631092
場合別2=下校（降園）中,発生場所2=道路 | 通学方法=徒歩,3,29,0.01831964624131396,0.21481481481481482,9.190590590590592
