列名,有効数,数値化不能数,平均,標準偏差,最小,25%点,中央値,75%点,最大
給付年度,1583,0,19.451042324699937,8.417366453664382,1,18.0,21.0,26.0,30
被災学年,1583,0,2.274794693619709,1.2191747401215023,1,1.0,2.0,3.0,6
