列名,件数,欠損数,空文字数,前後空白あり,一意値数（欠損除外）
和暦,1583,0,0,0,2
給付年度,1583,0,0,0,19
記号,1583,0,0,0,1583
種別,1583,0,0,0,1
被災学校種,1583,0,0,0,8
被災学年,1583,0,0,0,6
性別,1583,0,0,0,2
場合別1,1583,0,0,0,8
場合別2,1583,8,0,0,35
競技種目,1583,698,0,0,38
通学方法,1583,1321,0,0,3
発生場所1,1583,0,0,0,3
発生場所2,1583,0,0,0,18
遊具等,1583,1545,0,0,9
災害発生時の状況,1583,0,0,0,1583
Step7_入力元ファイル,1583,0,0,0,1
Step7_入力元カテゴリ,1583,0,0,0,1
Step7_歯牙障害フラグ,1583,0,0,0,1
