項目,値
解析対象,歯牙障害
対象事例数,1583
最小出現事例数,3
最小Jaccard,0.05
語特徴ペア数,12382
カテゴリ特徴ペア数,94
統合特徴ペア数,13586
処理時間(秒),1.304
ジャッカード係数,使用する
次のStep,Step4-3_All_事例間類似度.py
