項目,値
解析対象,All
対象事例数,7682
各事例上位件数,10
最小Jaccard,0.1
語特徴類似ペア出力数,75396
カテゴリ特徴類似ペア出力数,69460
統合特徴類似ペア出力数,75741
処理時間(秒),8.082
ジャッカード係数,使用する
次のStep,Step4-4_歯牙障害_事例間類似度.py
