順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
673,こぐ,揺らす,0.166667,1,4,3,6,1583
674,ごっこ,向き,0.166667,1,3,4,6,1583
675,ずれる,フロア,0.166667,1,3,4,6,1583
676,そば,乗りかかる,0.166667,1,4,3,6,1583
677,そば,休業,0.166667,1,4,3,6,1583
678,そば,余り,0.166667,1,4,3,6,1583
679,そば,呼ぶ,0.166667,1,4,3,6,1583
680,そば,年,0.166667,1,4,3,6,1583
681,そば,教諭,0.166667,1,4,3,6,1583
682,そば,春季,0.166667,1,4,3,6,1583
683,そば,現場,0.166667,1,4,3,6,1583
684,そば,花壇,0.166667,1,4,3,6,1583
685,とっさ,裂ける,0.166667,1,4,3,6,1583
686,とぶ,ダイビング,0.166667,1,4,3,6,1583
687,とぶ,落ち,0.166667,1,4,3,6,1583
688,とぶ,込む,0.166667,1,4,3,6,1583
689,ぬれる,鉄板,0.166667,1,4,3,6,1583
690,はずみ,浴室,0.166667,1,3,4,6,1583
691,はずみ,見学,0.166667,1,3,4,6,1583
692,ふり,トランポリン,0.166667,1,3,4,6,1583
693,ふり,取り返す,0.166667,1,3,4,6,1583
694,ふり,叩く,0.166667,1,3,4,6,1583
695,ふり,支援,0.166667,1,3,4,6,1583
696,ふり,柄,0.166667,1,3,4,6,1583
697,ふり,特別,0.166667,1,3,4,6,1583
698,ふり,見学,0.166667,1,3,4,6,1583
699,ぶらんこ,姿勢,0.166667,1,3,4,6,1583
700,ぶらんこ,浮く,0.166667,1,3,4,6,1583
701,ほうき,ドア,0.166667,1,4,3,6,1583
702,ほうき,乗り出す,0.166667,1,4,3,6,1583
703,ほうき,余り,0.166667,1,4,3,6,1583
704,ほうき,女子,0.166667,1,4,3,6,1583
705,ほうき,室内,0.166667,1,4,3,6,1583
706,ほうき,柵,0.166667,1,4,3,6,1583
707,ほうき,身,0.166667,1,4,3,6,1583
708,ほお,マウス,0.166667,1,4,3,6,1583
709,ほお,休業,0.166667,1,4,3,6,1583
710,ほお,余り,0.166667,1,4,3,6,1583
711,ほお,取り,0.166667,1,4,3,6,1583
712,ほお,春季,0.166667,1,4,3,6,1583
713,ほお,花壇,0.166667,1,4,3,6,1583
714,やめる,ゴム,0.166667,1,3,4,6,1583
715,れっする,年生,0.166667,1,3,4,6,1583
716,ウォーミングアップ,外傷,0.166667,1,3,4,6,1583
717,カゴ,カバン,0.166667,1,4,3,6,1583
718,カゴ,休業,0.166667,1,4,3,6,1583
719,カゴ,春季,0.166667,1,4,3,6,1583
720,コンクリートブロック,裂創,0.166667,1,3,4,6,1583
721,ゴム,捻挫,0.166667,1,4,3,6,1583
722,ゴム,科,0.166667,1,4,3,6,1583
723,ゴルフ,パイプ,0.166667,1,4,3,6,1583
724,ゴルフ,メートル,0.166667,1,4,3,6,1583
725,サーブ,フレーム,0.166667,1,4,3,6,1583
726,サーブ,近距離,0.166667,1,4,3,6,1583
727,ジャングルジム,指示,0.166667,1,3,4,6,1583
728,スケート,上履き,0.166667,1,4,3,6,1583
729,スケート,履く,0.166667,1,4,3,6,1583
730,センター,フェイント,0.166667,1,4,3,6,1583
731,センター,利用,0.166667,1,4,3,6,1583
732,ターン,刺さる,0.166667,1,3,4,6,1583
733,ダイビング,ファール,0.166667,1,3,4,6,1583
734,ダッシュ,固定,0.166667,1,3,4,6,1583
735,チアリーディング,一環,0.166667,1,3,4,6,1583
736,チェーン,駐輪場,0.166667,1,3,4,6,1583
737,テスト,宙返り,0.166667,1,3,4,6,1583
738,テスト,指示,0.166667,1,3,4,6,1583
739,トラック,左折,0.166667,1,3,4,6,1583
740,トラック,用水路,0.166667,1,3,4,6,1583
741,トラック,病院,0.166667,1,3,4,6,1583
742,トランポリン,高校,0.166667,1,4,3,6,1583
743,ドア,浴室,0.166667,1,3,4,6,1583
744,ドア,追いつく,0.166667,1,3,4,6,1583
745,パイプ,鉄製,0.166667,1,3,4,6,1583
746,パンチ,立てる,0.166667,1,3,4,6,1583
747,パンチ,軽い,0.166667,1,3,4,6,1583
748,パンチ,０,0.166667,1,3,4,6,1583
749,ピッチングマシーン,作業,0.166667,1,3,4,6,1583
750,ピッチングマシーン,重なる,0.166667,1,3,4,6,1583
751,ファウルフライ,手前,0.166667,1,3,4,6,1583
752,フライング,フロア,0.166667,1,3,4,6,1583
753,ベンチ,近距離,0.166667,1,4,3,6,1583
754,ベンチ,通りかかる,0.166667,1,4,3,6,1583
755,ベースボール,メートル,0.166667,1,4,3,6,1583
756,ホーム,作業,0.166667,1,3,4,6,1583
