項目,値
解析対象,歯牙障害
対象事例数,1583
各事例上位件数,10
最小Jaccard,0.1
語特徴類似ペア出力数,15633
カテゴリ特徴類似ペア出力数,15130
統合特徴類似ペア出力数,15750
処理時間(秒),1.143
ジャッカード係数,使用する
次のStep,Step4-5_All_vs歯牙障害比較.py
