順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
120,植え込む,細,0.488095,41,41,84,84,7682
121,シャトル,バドミントン,0.486842,74,109,117,152,7682
122,立てる,腹,0.483871,30,48,44,62,7682
123,動,植え込む,0.482353,41,85,41,85,7682
124,救急,車,0.474138,220,416,268,464,7682
125,段差,環境要因:路面,0.47191,84,84,178,178,7682
126,切,創,0.46875,30,35,59,64,7682
127,後日,植え込む,0.465116,40,85,41,86,7682
128,AED,植込み,0.458333,55,100,75,120,7682
129,さ,高い,0.45283,72,124,107,159,7682
130,急性,膜,0.441176,15,21,28,34,7682
131,性,瞳,0.440476,111,252,111,252,7682
132,性,散る,0.438735,111,252,112,253,7682
133,減じる,調節,0.4375,35,37,78,80,7682
134,ショック,不要,0.434783,10,23,10,23,7682
135,ショック,解析,0.434783,10,23,10,23,7682
136,原因物:乗り物,車,0.430868,268,622,268,622,7682
137,休憩,時間,0.426136,375,433,822,880,7682
138,ふく,ら,0.407407,11,13,25,27,7682
139,力,調節,0.40625,52,102,78,128,7682
140,剥離,網膜,0.404762,17,21,38,42,7682
141,底,眼窩,0.403846,42,86,60,104,7682
142,植え込む,胸骨,0.403509,23,41,39,57,7682
143,悪い,気分,0.4,32,73,39,80,7682
144,せき柱,変形,0.4,26,29,62,65,7682
145,はぐ,ら,0.4,10,10,25,25,7682
146,左下,肢,0.394737,15,25,28,38,7682
147,AED,心肺,0.390071,55,100,96,141,7682
148,点,視野,0.389474,37,41,91,95,7682
149,水,環境要因:路面,0.38764,69,69,178,178,7682
150,登る,行動:昇降,0.385135,57,57,148,148,7682
151,受傷機転:転落,転落,0.38326,174,454,174,454,7682
152,番,ＡＥＤ,0.382979,18,40,25,47,7682
153,病院,車,0.382812,147,263,268,384,7682
154,搬送,車,0.380567,188,414,268,494,7682
155,中心,視野,0.378947,36,40,91,95,7682
156,処置,応急,0.377778,17,41,21,45,7682
157,カンナ,手押し,0.375,6,11,11,16,7682
158,暗い,視野,0.371134,36,42,91,97,7682
159,練習,部,0.367716,1180,2068,2321,3209,7682
160,残存,醜状,0.365145,88,241,88,241,7682
161,プール,水泳,0.364341,47,102,74,129,7682
162,不要,結果,0.36,9,10,24,25,7682
163,結果,解析,0.36,9,24,10,25,7682
164,処置,救命,0.355556,16,41,20,45,7682
165,下る,坂道,0.354839,22,39,45,62,7682
166,AED,ICD,0.353448,41,100,57,116,7682
167,低下,機能,0.351931,82,93,222,233,7682
168,アルコール,引火,0.35,7,10,17,20,7682
169,不良,体調,0.347826,8,14,17,23,7682
170,停止,心肺,0.347107,42,67,96,121,7682
171,搬送,病院,0.345924,174,414,263,503,7682
172,原因物:遊具,遊具,0.34375,66,192,66,192,7682
173,てんかん,発作,0.34375,11,22,21,32,7682
174,調理,鍋,0.342857,12,23,24,35,7682
175,AED,後日,0.34058,47,100,85,138,7682
176,児,本,0.339853,139,151,397,409,7682
177,器,後日,0.33913,39,69,85,115,7682
178,実験,理科,0.338462,22,45,42,65,7682
179,家庭,科,0.338462,22,24,63,65,7682
180,力,減じる,0.336538,35,102,37,104,7682
181,胸骨,除,0.333333,30,39,81,90,7682
182,経過,観察,0.333333,11,22,22,33,7682
183,始業,特定,0.330986,47,79,110,142,7682
184,タックル,ラグビー,0.329897,32,61,68,97,7682
185,低下,関節,0.32948,57,93,137,173,7682
186,原因物:スポーツ用具,当たる,0.323882,891,1934,1708,2751,7682
187,搬送,治療,0.323232,192,414,372,594,7682
188,細,胸骨,0.322581,30,84,39,93,7682
189,戦,紅白,0.320755,17,49,21,53,7682
190,動,胸骨,0.319149,30,85,39,94,7682
191,後日,胸骨,0.319149,30,85,39,94,7682
192,休憩,昼食,0.317391,146,433,173,460,7682
