項目,値
解析対象,All
対象事例数,7682
最小出現事例数,10
最小Jaccard,0.05
語特徴ペア数,6602
カテゴリ特徴ペア数,85
統合特徴ペア数,7502
処理時間(秒),9.918
ジャッカード係数,使用する
次のStep,Step4-2_歯牙障害_特徴間類似度.py
