順位,品詞,件数,割合（％）,全形態素数
1,名詞,143329,37.4312,382913
2,助詞,100095,26.1404,382913
3,動詞,60565,15.8169,382913
4,記号,40195,10.4972,382913
5,助動詞,28682,7.4905,382913
6,接頭詞,4840,1.264,382913
7,形容詞,1677,0.438,382913
8,連体詞,1601,0.4181,382913
9,副詞,1505,0.393,382913
10,接続詞,392,0.1024,382913
11,感動詞,18,0.0047,382913
12,フィラー,9,0.0024,382913
13,その他,5,0.0013,382913
