順位,特徴語,平均TF-IDF,出現事例数,対象事例数,事例出現率(%)
148,着地,0.00503871,157,7682,2.0437
149,保育,0.00502579,182,7682,2.3692
150,痛める,0.00502031,147,7682,1.9136
151,外傷,0.0050194,193,7682,2.5124
152,大会,0.00497707,174,7682,2.265
153,視力,0.00496136,163,7682,2.1218
154,押す,0.00495139,171,7682,2.226
155,2,0.00493216,217,7682,2.8248
156,意識,0.0048834,227,7682,2.955
157,ゲーム,0.00487745,135,7682,1.7574
158,横,0.00484017,181,7682,2.3562
159,誤る,0.00483068,165,7682,2.1479
160,昼食,0.00482557,173,7682,2.252
161,途中,0.00479362,183,7682,2.3822
162,後方,0.00477243,172,7682,2.239
163,ピッチャー,0.0047491,115,7682,1.497
164,線,0.00470888,165,7682,2.1479
165,内,0.00464022,182,7682,2.3692
166,マット,0.00462205,155,7682,2.0177
167,友達,0.00462141,143,7682,1.8615
168,転落,0.00460456,174,7682,2.265
169,痕,0.00458711,159,7682,2.0698
170,かかる,0.00458043,176,7682,2.2911
171,ｍ,0.00457814,202,7682,2.6295
172,側,0.00457567,170,7682,2.213
173,前額,0.00454747,146,7682,1.9005
174,痛み,0.00449273,171,7682,2.226
175,3,0.00449006,178,7682,2.3171
176,移動,0.00446358,169,7682,2.1999
177,1,0.00446233,190,7682,2.4733
178,切れる,0.00445847,141,7682,1.8355
179,戻る,0.00444993,169,7682,2.1999
180,バドミントン,0.0044466,117,7682,1.523
181,数,0.00443938,181,7682,2.3562
182,窓,0.00438413,166,7682,2.1609
183,ゴール,0.00438368,152,7682,1.9787
184,シャトル,0.00437617,109,7682,1.4189
185,間,0.00437568,172,7682,2.239
186,昼休み,0.0043497,136,7682,1.7704
187,遊び,0.00425552,144,7682,1.8745
188,脱臼,0.00421005,131,7682,1.7053
189,部員,0.0042075,127,7682,1.6532
190,右足,0.00419639,146,7682,1.9005
191,跳ね返る,0.00415009,105,7682,1.3668
192,児,0.00413305,151,7682,1.9656
193,勢い,0.00411323,147,7682,1.9136
194,座る,0.00411104,148,7682,1.9266
195,見る,0.00409118,166,7682,2.1609
196,他校,0.00406365,108,7682,1.4059
197,小指,0.00406218,115,7682,1.497
198,背中,0.00406044,144,7682,1.8745
199,バレーボール,0.00404771,118,7682,1.5361
200,立つ,0.00404547,140,7682,1.8224
201,５,0.00402957,162,7682,2.1088
202,ドア,0.00401068,138,7682,1.7964
203,拾う,0.00399728,121,7682,1.5751
204,打ち付ける,0.00398039,138,7682,1.7964
205,挟む,0.00397433,148,7682,1.9266
206,隣,0.00395529,127,7682,1.6532
207,ほお,0.00389498,122,7682,1.5881
208,股間,0.00387043,97,7682,1.2627
209,一,0.00381691,152,7682,1.9787
210,首,0.00381598,138,7682,1.7964
211,柔道,0.00378582,121,7682,1.5751
212,壁,0.00378115,124,7682,1.6142
213,減退,0.00376123,121,7682,1.5751
214,コンクリート,0.00373515,124,7682,1.6142
215,出す,0.00372302,133,7682,1.7313
216,朝,0.00369697,119,7682,1.5491
217,関節,0.00369048,137,7682,1.7834
218,来る,0.00366224,123,7682,1.6011
219,形式,0.00364202,92,7682,1.1976
220,腕,0.00363654,123,7682,1.6011
221,まま,0.00362929,143,7682,1.8615
222,使う,0.00360214,123,7682,1.6011
223,清掃,0.00360079,120,7682,1.5621
224,等,0.00359541,104,7682,1.3538
225,抜ける,0.00359475,115,7682,1.497
226,左足,0.00357665,121,7682,1.5751
227,先,0.00356412,131,7682,1.7053
228,トイレ,0.00356194,114,7682,1.484
229,４,0.00353309,140,7682,1.8224
230,きれる,0.00352842,111,7682,1.4449
231,階,0.00352499,134,7682,1.7443
232,逃げる,0.00352126,115,7682,1.497
233,鼻,0.00350903,111,7682,1.4449
234,当たり,0.00349952,96,7682,1.2497
235,腰,0.00349526,127,7682,1.6532
236,口元,0.00347046,91,7682,1.1846
237,散る,0.00345959,112,7682,1.458
238,瞳,0.0034472,111,7682,1.4449
239,特定,0.00343502,110,7682,1.4319
240,おる,0.00342267,125,7682,1.6272
241,左側,0.00341838,111,7682,1.4449
242,気付く,0.00339163,127,7682,1.6532
243,ろ,0.00337701,117,7682,1.523
244,欠損,0.00337008,104,7682,1.3538
245,離れる,0.00336936,115,7682,1.497
246,耳,0.00334821,100,7682,1.3017
247,鉄棒,0.00334685,96,7682,1.2497
248,眼球,0.00332509,107,7682,1.3929
249,クラス,0.00330138,113,7682,1.471
250,参加,0.00330124,114,7682,1.484
251,左腕,0.00329746,102,7682,1.3278
252,園,0.0032806,107,7682,1.3929
253,競技,0.00327532,112,7682,1.458
254,机,0.00325128,109,7682,1.4189
255,殴る,0.0032358,87,7682,1.1325
256,うし,0.0032323,111,7682,1.4449
257,両手,0.00322108,116,7682,1.51
258,直接,0.00321088,68,7682,0.8852
259,終わる,0.00320326,110,7682,1.4319
260,後頭部,0.00320228,106,7682,1.3798
261,祭,0.00320166,106,7682,1.3798
262,肩,0.00319039,98,7682,1.2757
263,距離,0.0031851,79,7682,1.0284
264,挫創,0.00318033,102,7682,1.3278
265,急,0.00317911,120,7682,1.5621
266,打者,0.00317497,82,7682,1.0674
267,疼痛,0.00316485,106,7682,1.3798
268,キャッチボール,0.00315014,71,7682,0.9242
269,別,0.0031322,98,7682,1.2757
270,パス,0.00312908,80,7682,1.0414
271,男子,0.00312582,108,7682,1.4059
272,体操,0.0031241,112,7682,1.458
273,プール,0.00311721,102,7682,1.3278
274,大腿,0.00311703,116,7682,1.51
275,前のめり,0.00311096,102,7682,1.3278
276,的,0.00310926,102,7682,1.3278
277,損傷,0.00310104,108,7682,1.4059
278,追う,0.00309742,89,7682,1.1586
279,跳ぶ,0.0030837,94,7682,1.2236
280,の,0.0030747,115,7682,1.497
281,入れる,0.00305902,113,7682,1.471
282,骨,0.00305596,115,7682,1.497
283,降りる,0.00304925,101,7682,1.3148
284,腹部,0.00302289,94,7682,1.2236
285,コート,0.00301959,98,7682,1.2757
286,段差,0.00301378,84,7682,1.0935
287,一緒,0.00301345,100,7682,1.3017
288,校舎,0.0030018,102,7682,1.3278
289,唇,0.00297569,84,7682,1.0935
290,転,0.00297239,80,7682,1.0414
291,上げる,0.00297152,95,7682,1.2367
292,さ,0.0029606,124,7682,1.6142
293,上がる,0.00295703,99,7682,1.2887
294,指導,0.00295643,111,7682,1.4449
295,イレギュラー,0.00295253,56,7682,0.729
296,置く,0.00294394,108,7682,1.4059
297,方,0.00293985,100,7682,1.3017
298,名,0.00293378,107,7682,1.3929
299,視野,0.00292563,91,7682,1.1846
300,二,0.00292199,101,7682,1.3148
