項目,値
入力ファイル,/workspaces/Meikai/CreateData/Step3_All/Step3-1_All_形態素解析.csv
入力形態素数,382913
対象事例数,7682
品詞大分類数,13
品詞・細分類組合せ数,45
名詞件数,143329
動詞件数,60565
形容詞件数,1677
名詞・動詞・形容詞合計,205571
名詞・動詞・形容詞割合（％）,53.6861
処理時間（秒）,7.73
ジャッカード係数,使用しない
次のStep,Step3-3_All_頻出語集計.py
