項目,値
入力ファイル,/workspaces/SchoolProject/SportDent/DB/shougai(2025.01.31).csv
入力件数,7682
解析成功件数,7682
解析失敗件数,0
解析成功率（％）,100.0
総形態素数,382913
平均形態素数,49.845
形態素数中央値,46.0
最小形態素数,6
最大形態素数,223
平均文字数,76.524
文字数中央値,70.0
最小文字数,11
最大文字数,338
異常候補レコード数,30
異常候補事例数,18
処理時間（秒）,28.179
ジャッカード係数,使用しない
次のStep,Step3-2_All_品詞集計.py
