項目,値
入力ファイル,/workspaces/Meikai/CreateData/Step3_All/Step3-1_All_形態素解析.csv
入力形態素数,382913
入力事例数,7682
集計対象形態素数,205571
集計対象事例数,7682
集計対象品詞,名詞・動詞・形容詞
異なり語数,7268
名詞異なり語数,5673
動詞異なり語数,1493
形容詞異なり語数,102
名詞出現回数,143329
動詞出現回数,60565
形容詞出現回数,1677
対象形態素割合（％）,53.6861
品詞別上位抽出数,100
処理時間（秒）,1.644
ジャッカード係数,使用しない
次のStep,Step3-4_All_共起語解析.py
