項目,値
カテゴリ辞書登録語数,67
分類対象語レコード数,205571
辞書ヒット語レコード数,19872
未分類語レコード数,185699
辞書ヒット率(%),9.6667
対象事例数,7682
カテゴリ付与事例数,6946
カテゴリ未付与事例数,736
カテゴリ・サブカテゴリ組数,36
未分類異なり語数,7209
処理時間(秒),12.873
ジャッカード係数,使用しない
次のStep,Step3-7_All_特徴語抽出.py
