項目,値
入力ファイル,/workspaces/Meikai/CreateData/Step3_All/Step3-1_All_形態素解析.csv
ストップワードファイル,/workspaces/Meikai/file/Common/Config/設定_ストップワード.txt
登録ストップワード数,35
入力形態素数,382913
対象形態素数,205571
対象事例数,7682
除去前語数合計,205571
除去後語数合計,148642
除去語数合計,56929
全体除去率（％）,27.6931
1事例当たり平均除去前語数,26.7601
1事例当たり平均除去後語数,19.3494
1事例当たり平均除去語数,7.4107
除去後語数0の事例数,0
実際に除去された異なり語数,35
残存異なり語数,7233
処理時間（秒）,7.899
ジャッカード係数,使用しない
次のStep,Step3-6_All_カテゴリ分類.py
