項目,値
元データ入力件数,7682
傷害種別数,12
TF-IDF対象語数,4480
傷害種別別特徴語出力行数,1200
全体特徴語出力行数,300
傷害種別別特徴カテゴリ出力行数,357
事例別特徴データ出力件数,7682
解析用語集合が空の事例数,0
カテゴリ特徴集合が空の事例数,736
傷害種別別特徴語上限,100
全体特徴語上限,300
TF-IDF最小文書頻度,2
処理時間(秒),0.633
ジャッカード係数,使用しない
次のStep,Step3-1_歯牙障害_形態素解析.py
