総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数,歯牙障害内順位
171,歯牙障害_語特徴,21,経路,通常,0.5,4,4,8,8,1583,71
172,歯牙障害_語特徴,22,寄宿舎,浴室,0.5,3,5,4,6,1583,72
173,歯牙障害_語特徴,23,立てる,腹,0.5,3,4,5,6,1583,73
174,歯牙障害_語特徴,24,ピッチングマシン,マシン,0.5,2,3,3,4,1583,74
175,歯牙障害_語特徴,25,休業,春季,0.5,2,3,3,4,1583,75
176,歯牙障害_語特徴,26,かけっこ,追う,0.48,12,13,24,25,1583,76
177,歯牙障害_語特徴,27,下る,坂道,0.478261,11,16,18,23,1583,77
178,歯牙障害_語特徴,28,がけ,雑巾,0.461538,6,8,11,13,1583,78
179,歯牙障害_語特徴,29,歩行,者,0.461538,6,11,8,13,1583,79
180,歯牙障害_語特徴,30,歯槽,骨折,0.444444,8,8,18,18,1583,80
181,歯牙障害_語特徴,31,クラブ,ゴルフ,0.444444,4,9,4,9,1583,81
182,歯牙障害_語特徴,32,戦,紅白,0.444444,4,8,5,9,1583,82
183,歯牙障害_語特徴,33,休憩,時間,0.4375,56,60,124,128,1583,83
184,歯牙障害_語特徴,34,ソフトボール,バット,0.425197,54,68,113,127,1583,84
185,歯牙障害_語特徴,35,練習,部,0.402963,272,462,485,675,1583,85
186,歯牙障害_語特徴,36,じゃれる,休み,0.4,2,4,3,5,1583,86
187,歯牙障害_語特徴,37,上履き,脱ぐ,0.4,2,3,4,5,1583,87
188,歯牙障害_語特徴,38,左折,通行,0.4,2,4,3,5,1583,88
189,歯牙障害_語特徴,39,逃げる,鬼,0.384615,5,13,5,13,1583,89
190,歯牙障害_語特徴,40,受診,治療,0.378378,14,18,33,37,1583,90
191,歯牙障害_語特徴,41,サイド,プール,0.375,6,7,15,16,1583,91
192,歯牙障害_語特徴,42,テニス,ラケット,0.37037,10,14,23,27,1583,92
193,歯牙障害_語特徴,43,部,野球,0.363636,184,485,205,506,1583,93
194,歯牙障害_語特徴,44,搬送,治療,0.357143,15,24,33,42,1583,94
195,歯牙障害_語特徴,45,降る,雨,0.347826,8,11,20,23,1583,95
196,歯牙障害_語特徴,46,ジャンプ,着地,0.346154,9,16,19,26,1583,96
197,歯牙障害_語特徴,47,救急,治療,0.340909,15,26,33,44,1583,97
198,歯牙障害_語特徴,48,さ,高い,0.333333,6,9,15,18,1583,98
199,歯牙障害_語特徴,49,ずれる,タイミング,0.333333,2,3,5,6,1583,99
200,歯牙障害_語特徴,50,キック,ボード,0.333333,2,5,3,6,1583,100
201,歯牙障害_カテゴリ特徴,1,受傷機転:転倒,受傷部位:顎顔面,0.288783,242,507,573,838,1583,101
202,歯牙障害_カテゴリ特徴,2,原因物:乗り物,受傷機転:転倒,0.287456,165,232,507,574,1583,102
204,歯牙障害_カテゴリ特徴,3,受傷機転:転倒,受傷部位:歯牙,0.233268,237,507,746,1016,1583,103
205,歯牙障害_カテゴリ特徴,4,原因物:スポーツ用具,受傷部位:歯牙,0.226397,235,527,746,1038,1583,104
206,歯牙障害_カテゴリ特徴,5,受傷機転:転倒,衝突対象:床,0.208333,120,507,189,576,1583,105
207,歯牙障害_カテゴリ特徴,6,受傷機転:滑走,受傷部位:下肢,0.203791,43,112,142,211,1583,106
208,歯牙障害_カテゴリ特徴,7,受傷部位:歯牙,受傷部位:顎顔面,0.200182,220,746,573,1099,1583,107
211,歯牙障害_カテゴリ特徴,8,受傷部位:下肢,衝突対象:床,0.182143,51,142,189,280,1583,108
215,歯牙障害_カテゴリ特徴,9,原因物:スポーツ用具,受傷部位:顎顔面,0.164021,155,527,573,945,1583,109
216,歯牙障害_カテゴリ特徴,10,原因物:乗り物,衝突対象:地面,0.160279,46,232,101,287,1583,110
218,歯牙障害_カテゴリ特徴,11,受傷機転:転倒,受傷部位:下肢,0.152753,86,507,142,563,1583,111
219,歯牙障害_カテゴリ特徴,12,受傷機転:滑走,受傷機転:転倒,0.150558,81,112,507,538,1583,112
220,歯牙障害_カテゴリ特徴,13,原因物:乗り物,受傷部位:顎顔面,0.15,105,232,573,700,1583,113
223,歯牙障害_カテゴリ特徴,14,受傷機転:転倒,衝突対象:地面,0.134328,72,507,101,536,1583,114
225,歯牙障害_カテゴリ特徴,15,受傷部位:顎顔面,衝突対象:床,0.130564,88,573,189,674,1583,115
226,歯牙障害_カテゴリ特徴,16,行動:昇降,衝突対象:階段,0.129032,8,27,43,62,1583,116
