歯牙障害特徴順位,特徴語,All平均TF-IDF,All出現事例数,歯牙障害平均TF-IDF,歯牙障害出現事例数,TF-IDF差_歯牙障害-All
51,ディフェンス,0.0,0.0,0.0051844,23.0,0.0051844
52,歯牙,0.0,0.0,0.00517739,34.0,0.00517739
53,キャッチャー,0.0,0.0,0.00516887,27.0,0.00516887
54,フライ,0.0,0.0,0.0050755,26.0,0.0050755
55,上顎,0.0,0.0,0.00482862,27.0,0.00482862
56,ソフトボール,0.00602961,175.0,0.01080727,68.0,0.00477766
57,顎,0.0065881,224.0,0.01125378,76.0,0.00466568
58,振る,0.005177,163.0,0.0097956,63.0,0.0046186
59,走行,0.0,0.0,0.00457693,25.0,0.00457693
60,ぶつかる,0.01369785,534.0,0.01812243,125.0,0.00442458
61,ブレーキ,0.0,0.0,0.00440578,29.0,0.00440578
62,ラケット,0.0,0.0,0.00440566,23.0,0.00440566
63,打つ,0.01896735,835.0,0.02334503,202.0,0.00437768
64,接触,0.00746011,239.0,0.011808,68.0,0.00434789
65,バランス,0.01208416,534.0,0.01638878,124.0,0.00430462
66,歩道,0.0,0.0,0.00426519,24.0,0.00426519
67,強い,0.01358631,577.0,0.01785118,131.0,0.00426487
68,スティック,0.0,0.0,0.00422476,20.0,0.00422476
69,損ねる,0.0,0.0,0.00418117,18.0,0.00418117
70,路面,0.0,0.0,0.00416144,22.0,0.00416144
71,バッター,0.00518978,134.0,0.00935053,52.0,0.00416075
72,タイヤ,0.0,0.0,0.00416008,25.0,0.00416008
73,ゴールキーパー,0.0,0.0,0.00414648,19.0,0.00414648
74,激突,0.0,0.0,0.00412931,24.0,0.00412931
75,崩す,0.01186617,518.0,0.01593034,120.0,0.00406417
76,外れる,0.0,0.0,0.00405971,20.0,0.00405971
77,バント,0.0,0.0,0.00405759,15.0,0.00405759
78,バスケットボール,0.00844479,273.0,0.01241486,71.0,0.00397007
79,レシーブ,0.0,0.0,0.00395526,17.0,0.00395526
80,３,0.00709529,303.0,0.01101727,78.0,0.00392198
81,打ちつける,0.00510916,162.0,0.00901163,58.0,0.00390247
82,２,0.00858683,389.0,0.01245099,95.0,0.00386416
83,支柱,0.0,0.0,0.00386286,20.0,0.00386286
84,守る,0.0,0.0,0.00385545,19.0,0.00385545
85,スピード,0.0,0.0,0.00385408,21.0,0.00385408
86,とる,0.0,0.0,0.0038398,21.0,0.0038398
87,いく,0.0,0.0,0.00382272,23.0,0.00382272
88,選手,0.00868473,271.0,0.01248211,72.0,0.00379738
89,ごと,0.0,0.0,0.00373011,25.0,0.00373011
90,送球,0.0,0.0,0.00368905,17.0,0.00368905
91,飛ぶ,0.00802243,274.0,0.01159325,76.0,0.00357082
92,地面,0.01021566,429.0,0.01377826,101.0,0.0035626
93,打撃,0.0,0.0,0.00355879,16.0,0.00355879
94,前のめり,0.00311096,102.0,0.00666554,41.0,0.00355458
95,キャッチ,0.0,0.0,0.00353099,16.0,0.00353099
96,しまう,0.01489931,717.0,0.01836991,159.0,0.0034706
97,上唇,0.0,0.0,0.00346622,17.0,0.00346622
98,衝突,0.0072657,239.0,0.01067122,66.0,0.00340552
99,ホッケー,0.0,0.0,0.0033939,16.0,0.0033939
100,絡まる,0.0,0.0,0.0033755,15.0,0.0033755
101,引っ掛かる,0.0,0.0,0.00335204,18.0,0.00335204
102,坂道,0.0,0.0,0.0033267,18.0,0.0033267
103,そう,0.0,0.0,0.00331772,19.0,0.00331772
104,雨,0.0,0.0,0.00330166,20.0,0.00330166
105,曲がる,0.0,0.0,0.00329991,17.0,0.00329991
106,打球,0.01248543,352.0,0.01577608,85.0,0.00329065
107,側溝,0.0,0.0,0.00326841,17.0,0.00326841
108,傘,0.0,0.0,0.00325328,16.0,0.00325328
109,振り向く,0.0,0.0,0.00324108,17.0,0.00324108
110,方向,0.0,0.0,0.00321998,18.0,0.00321998
111,棒,0.0,0.0,0.00321589,19.0,0.00321589
112,シート,0.0,0.0,0.00320391,13.0,0.00320391
113,外野,0.0,0.0,0.00318188,14.0,0.00318188
114,正面,0.0,0.0,0.00317637,17.0,0.00317637
115,バッターボックス,0.0,0.0,0.0031678,15.0,0.0031678
116,頭,0.00925256,355.0,0.0124081,74.0,0.00315554
117,口腔,0.0,0.0,0.00310708,18.0,0.00310708
118,脱落,0.0,0.0,0.0031068,16.0,0.0031068
119,ドッジボール,0.0,0.0,0.00310149,13.0,0.00310149
120,上下,0.0,0.0,0.00307821,17.0,0.00307821
121,ひっかかる,0.0,0.0,0.00306687,14.0,0.00306687
122,ショート,0.0,0.0,0.00305993,14.0,0.00305993
123,ジャンプ,0.0,0.0,0.00301974,16.0,0.00301974
124,足,0.01428346,667.0,0.01728556,142.0,0.0030021
125,セカンド,0.0,0.0,0.00300079,13.0,0.00300079
126,サード,0.0,0.0,0.0029812,13.0,0.0029812
127,激しい,0.0,0.0,0.00295901,15.0,0.00295901
128,ドリブル,0.0,0.0,0.00295172,13.0,0.00295172
129,ランニング,0.0,0.0,0.00294539,15.0,0.00294539
130,テニス,0.0,0.0,0.00289252,14.0,0.00289252
131,次,0.0,0.0,0.00288185,16.0,0.00288185
132,カーブ,0.0,0.0,0.00287534,14.0,0.00287534
133,止まる,0.0,0.0,0.0028594,16.0,0.0028594
134,抜け落ちる,0.0,0.0,0.00285667,17.0,0.00285667
135,瞬間,0.0,0.0,0.00285417,17.0,0.00285417
136,破損,0.0,0.0,0.002846,13.0,0.002846
137,取る,0.00872551,321.0,0.01156891,78.0,0.0028434
138,下る,0.0,0.0,0.00283458,16.0,0.00283458
139,濡れる,0.0,0.0,0.00282777,15.0,0.00282777
140,雑巾,0.0,0.0,0.00282496,11.0,0.00282496
141,くる,0.0150308,697.0,0.01784775,149.0,0.00281695
142,段差,0.00301378,84.0,0.00581735,31.0,0.00280357
143,肘,0.00768967,246.0,0.01032441,50.0,0.00263474
144,2,0.00493216,217.0,0.00751275,55.0,0.00258059
145,体育,0.01829095,891.0,0.02080722,169.0,0.00251627
146,球,0.00702693,235.0,0.0093976,53.0,0.00237067
147,場,0.01720076,886.0,0.01942396,157.0,0.0022232
148,つまずく,0.00529704,169.0,0.00731226,44.0,0.00201522
149,打ち付ける,0.00398039,138.0,0.00596652,38.0,0.00198613
150,バレーボール,0.00404771,118.0,0.00594249,31.0,0.00189478
151,手,0.01306377,634.0,0.01494863,123.0,0.00188486
152,3,0.00449006,178.0,0.0063491,43.0,0.00185904
153,出血,0.00505436,191.0,0.00690647,49.0,0.00185211
154,ゲーム,0.00487745,135.0,0.00671257,35.0,0.00183512
155,チーム,0.00653561,190.0,0.00832395,49.0,0.00178834
156,転ぶ,0.00518592,159.0,0.00693077,36.0,0.00174485
157,来る,0.00366224,123.0,0.00537662,33.0,0.00171438
158,1,0.00446233,190.0,0.00615866,43.0,0.00169633
159,損傷,0.00310104,108.0,0.0047845,27.0,0.00168346
160,途中,0.00479362,183.0,0.00644577,42.0,0.00165215
161,直撃,0.01348647,488.0,0.01510466,99.0,0.00161819
162,運動,0.0162437,809.0,0.01785617,140.0,0.00161247
163,追いかける,0.00519314,169.0,0.00676192,41.0,0.00156878
164,廊下,0.00943887,366.0,0.0109993,76.0,0.00156043
165,勢い,0.00411323,147.0,0.00562714,39.0,0.00151391
166,立つ,0.00404547,140.0,0.00546517,33.0,0.0014197
167,切れる,0.00445847,141.0,0.00585668,31.0,0.00139821
168,祭,0.00320166,106.0,0.00454534,26.0,0.00134368
169,離れる,0.00336936,115.0,0.0046077,29.0,0.00123834
170,形式,0.00364202,92.0,0.0048116,22.0,0.00116958
171,終わる,0.00320326,110.0,0.00432443,24.0,0.00112117
172,階段,0.00550284,194.0,0.00661893,43.0,0.00111609
173,行く,0.00771688,319.0,0.00882087,59.0,0.00110399
174,的,0.00310926,102.0,0.00416654,22.0,0.00105728
175,向かう,0.00517946,196.0,0.00623271,42.0,0.00105325
176,後方,0.00477243,172.0,0.00581451,40.0,0.00104208
177,後ろ,0.00550461,203.0,0.00653034,39.0,0.00102573
178,肩,0.00319039,98.0,0.0042029,22.0,0.00101251
179,歩く,0.00580232,221.0,0.00678657,42.0,0.00098425
180,他校,0.00406365,108.0,0.0050207,26.0,0.00095705
181,グラウンド,0.00507436,153.0,0.00600705,31.0,0.00093269
182,部員,0.0042075,127.0,0.00513243,29.0,0.00092493
183,当たり,0.00349952,96.0,0.00441898,21.0,0.00091946
184,ピッチャー,0.0047491,115.0,0.00565857,23.0,0.00090947
185,追う,0.00309742,89.0,0.00397902,24.0,0.0008816
186,シュート,0.00523262,149.0,0.00610749,33.0,0.00087487
187,人,0.00946103,451.0,0.01029078,86.0,0.00082975
188,体育館,0.01280058,562.0,0.01359764,100.0,0.00079706
189,ふざける,0.00623731,217.0,0.00703077,42.0,0.00079346
190,友人,0.01542467,691.0,0.01621628,121.0,0.00079161
191,参加,0.00330124,114.0,0.00407459,22.0,0.00077335
192,気付く,0.00339163,127.0,0.00406366,24.0,0.00067203
193,横,0.00484017,181.0,0.00551067,38.0,0.0006705
194,上がる,0.00295703,99.0,0.00359166,21.0,0.00063463
195,別,0.0031322,98.0,0.0037154,20.0,0.0005832
196,乗る,0.00532064,196.0,0.00589642,39.0,0.00057578
197,コンクリート,0.00373515,124.0,0.00429342,26.0,0.00055827
198,降りる,0.00304925,101.0,0.00357533,22.0,0.00052608
199,打者,0.00317497,82.0,0.00367743,18.0,0.00050246
200,走る,0.01491012,704.0,0.01541251,115.0,0.00050239
201,きれる,0.00352842,111.0,0.00399632,21.0,0.0004679
202,二,0.00292199,101.0,0.00338846,20.0,0.00046647
203,拾う,0.00399728,121.0,0.00444545,23.0,0.00044817
204,まま,0.00362929,143.0,0.00407534,27.0,0.00044605
205,友達,0.00462141,143.0,0.00505615,30.0,0.00043474
206,壁,0.00378115,124.0,0.00421564,25.0,0.00043449
207,両手,0.00322108,116.0,0.00364718,24.0,0.0004261
208,ゴール,0.00438368,152.0,0.00479978,28.0,0.0004161
209,終了,0.00652599,271.0,0.00692676,47.0,0.00040077
210,清掃,0.00360079,120.0,0.00399675,23.0,0.00039596
211,直接,0.00321088,68.0,0.00359926,15.0,0.00038838
212,落ちる,0.00749432,300.0,0.00787104,55.0,0.00037672
213,せる,0.00613701,248.0,0.00651145,41.0,0.00037444
214,移動,0.00446358,169.0,0.0048344,29.0,0.00037082
215,誤る,0.00483068,165.0,0.00518269,26.0,0.00035201
216,出る,0.00703575,286.0,0.00737607,49.0,0.00034032
217,隣,0.00395529,127.0,0.00426195,25.0,0.00030666
218,ネット,0.00516911,180.0,0.0054695,32.0,0.00030039
219,校舎,0.0030018,102.0,0.00329975,19.0,0.00029795
220,おる,0.00342267,125.0,0.00370643,23.0,0.00028376
221,体,0.00563551,231.0,0.00585131,43.0,0.0002158
222,クラス,0.00330138,113.0,0.00350622,20.0,0.00020484
223,鼻,0.00350903,111.0,0.00367021,21.0,0.00016118
224,急,0.00317911,120.0,0.00331977,20.0,0.00014066
225,競技,0.00327532,112.0,0.00333751,20.0,6.219e-05
226,指導,0.00295643,111.0,0.00301331,18.0,5.688e-05
227,机,0.00325128,109.0,0.00330197,20.0,5.069e-05
228,持つ,0.00707316,304.0,0.00710831,52.0,3.515e-05
229,階,0.00352499,134.0,0.00354958,24.0,2.459e-05
230,見る,0.00409118,166.0,0.0041157,28.0,2.452e-05
231,打撲,0.00511161,170.0,0.00513124,29.0,1.963e-05
232,近く,0.0067085,254.0,0.00671338,43.0,4.88e-06
233,内,0.00464022,182.0,0.00463833,30.0,-1.89e-06
234,プール,0.00311721,102.0,0.00302251,15.0,-9.47e-05
235,方,0.00293985,100.0,0.00281599,16.0,-0.00012386
236,コート,0.00301959,98.0,0.00288722,17.0,-0.00013237
237,教室,0.01258571,580.0,0.01241242,95.0,-0.00017329
238,の,0.0030747,115.0,0.00288085,18.0,-0.00019385
239,柔道,0.00378582,121.0,0.00357024,15.0,-0.00021558
240,鉄棒,0.00334685,96.0,0.00313056,16.0,-0.00021629
241,かける,0.00580138,241.0,0.00558311,38.0,-0.00021827
242,４,0.00353309,140.0,0.00329315,17.0,-0.00023994
243,準備,0.00543203,218.0,0.00515307,31.0,-0.00027896
244,腕,0.00363654,123.0,0.00334884,17.0,-0.0002877
245,キャッチボール,0.00315014,71.0,0.0028543,12.0,-0.00029584
246,うし,0.0032323,111.0,0.00293458,17.0,-0.00029772
247,られる,0.00686634,287.0,0.00653195,43.0,-0.00033439
248,側,0.00457567,170.0,0.00423976,26.0,-0.00033591
249,つく,0.00744015,291.0,0.00707839,49.0,-0.00036176
250,特定,0.00343502,110.0,0.00307087,17.0,-0.00036415
251,付近,0.00655324,245.0,0.00614298,38.0,-0.00041026
252,出す,0.00372302,133.0,0.00330138,19.0,-0.00042164
253,朝,0.00369697,119.0,0.00327474,20.0,-0.00042223
254,跳ね返る,0.00415009,105.0,0.00372683,16.0,-0.00042326
255,ろ,0.00337701,117.0,0.00293458,17.0,-0.00044243
256,バッティング,0.00965516,279.0,0.00920667,48.0,-0.00044849
257,先,0.00356412,131.0,0.0030834,21.0,-0.00048072
258,１,0.0066026,296.0,0.00607604,43.0,-0.00052656
259,転落,0.00460456,174.0,0.00402643,25.0,-0.00057813
260,大会,0.00497707,174.0,0.00435996,26.0,-0.00061711
261,使う,0.00360214,123.0,0.00286877,16.0,-0.00073337
262,時間,0.01606944,822.0,0.01533341,124.0,-0.00073603
263,押す,0.00495139,171.0,0.00419135,26.0,-0.00076004
264,状態,0.00636603,295.0,0.00554989,41.0,-0.00081614
265,休憩,0.01016828,433.0,0.00931173,60.0,-0.00085655
266,目,0.00525607,215.0,0.00436189,30.0,-0.00089418
267,戻る,0.00444993,169.0,0.00349444,22.0,-0.00095549
268,数,0.00443938,181.0,0.00340505,25.0,-0.00103433
269,倒れる,0.01178044,612.0,0.01069884,87.0,-0.0010816
270,昼食,0.00482557,173.0,0.00373403,21.0,-0.00109154
271,ｍ,0.00457814,202.0,0.00346194,24.0,-0.0011162
272,車,0.00548179,268.0,0.00436241,28.0,-0.00111938
273,昼休み,0.0043497,136.0,0.00322486,17.0,-0.00112484
274,部分,0.00630582,259.0,0.00516126,34.0,-0.00114456
275,頭部,0.00921914,373.0,0.0080575,48.0,-0.00116164
276,投げる,0.01077477,403.0,0.00943732,55.0,-0.00133745
277,着地,0.00503871,157.0,0.00361608,19.0,-0.00142263
278,鬼ごっこ,0.00581081,191.0,0.00437565,25.0,-0.00143516
279,間,0.00437568,172.0,0.00290955,19.0,-0.00146613
280,膝,0.00950795,358.0,0.00794039,49.0,-0.00156756
281,意識,0.0048834,227.0,0.00326004,20.0,-0.00162336
282,かかる,0.00458043,176.0,0.00292224,18.0,-0.00165819
283,失う,0.00534671,212.0,0.00356265,21.0,-0.00178406
284,校庭,0.00529143,175.0,0.00331506,19.0,-0.00197637
285,入る,0.00743543,306.0,0.00545285,33.0,-0.00198258
286,外,0.00597314,241.0,0.00389448,23.0,-0.00207866
287,れる,0.0209633,1340.0,0.0188553,180.0,-0.002108
288,負う,0.00586828,234.0,0.00373537,24.0,-0.00213291
289,遊ぶ,0.01256425,545.0,0.01016886,75.0,-0.00239539
290,治療,0.00766983,372.0,0.00514784,33.0,-0.00252199
291,サッカー,0.01357142,463.0,0.01097963,62.0,-0.00259179
292,落下,0.0069103,282.0,0.00431795,29.0,-0.00259235
293,視野,0.00292563,91.0,0.0,0.0,-0.00292563
294,名,0.00293378,107.0,0.0,0.0,-0.00293378
295,置く,0.00294394,108.0,0.0,0.0,-0.00294394
296,さ,0.0029606,124.0,0.0,0.0,-0.0029606
297,上げる,0.00297152,95.0,0.0,0.0,-0.00297152
298,転,0.00297239,80.0,0.0,0.0,-0.00297239
299,一緒,0.00301345,100.0,0.0,0.0,-0.00301345
300,腹部,0.00302289,94.0,0.0,0.0,-0.00302289
301,骨,0.00305596,115.0,0.0,0.0,-0.00305596
302,入れる,0.00305902,113.0,0.0,0.0,-0.00305902
303,跳ぶ,0.0030837,94.0,0.0,0.0,-0.0030837
304,切る,0.00774743,303.0,0.00466101,30.0,-0.00308642
305,大腿,0.00311703,116.0,0.0,0.0,-0.00311703
306,室,0.00715491,323.0,0.00403122,24.0,-0.00312369
307,体操,0.0031241,112.0,0.0,0.0,-0.0031241
308,男子,0.00312582,108.0,0.0,0.0,-0.00312582
309,パス,0.00312908,80.0,0.0,0.0,-0.00312908
310,疼痛,0.00316485,106.0,0.0,0.0,-0.00316485
311,挫創,0.00318033,102.0,0.0,0.0,-0.00318033
312,距離,0.0031851,79.0,0.0,0.0,-0.0031851
313,受診,0.00622517,279.0,0.00302569,18.0,-0.00319948
314,後頭部,0.00320228,106.0,0.0,0.0,-0.00320228
315,殴る,0.0032358,87.0,0.0,0.0,-0.0032358
316,園,0.0032806,107.0,0.0,0.0,-0.0032806
317,左腕,0.00329746,102.0,0.0,0.0,-0.00329746
318,眼球,0.00332509,107.0,0.0,0.0,-0.00332509
319,耳,0.00334821,100.0,0.0,0.0,-0.00334821
320,額,0.00752221,262.0,0.00411178,19.0,-0.00341043
321,左側,0.00341838,111.0,0.0,0.0,-0.00341838
322,瞳,0.0034472,111.0,0.0,0.0,-0.0034472
323,散る,0.00345959,112.0,0.0,0.0,-0.00345959
324,腰,0.00349526,127.0,0.0,0.0,-0.00349526
325,逃げる,0.00352126,115.0,0.0,0.0,-0.00352126
326,トイレ,0.00356194,114.0,0.0,0.0,-0.00356194
327,左足,0.00357665,121.0,0.0,0.0,-0.00357665
328,等,0.00359541,104.0,0.0,0.0,-0.00359541
329,関節,0.00369048,137.0,0.0,0.0,-0.00369048
330,減退,0.00376123,121.0,0.0,0.0,-0.00376123
331,首,0.00381598,138.0,0.0,0.0,-0.00381598
332,一,0.00381691,152.0,0.0,0.0,-0.00381691
333,股間,0.00387043,97.0,0.0,0.0,-0.00387043
334,救急,0.00782457,416.0,0.00393998,26.0,-0.00388459
335,ほお,0.00389498,122.0,0.0,0.0,-0.00389498
336,搬送,0.00772867,414.0,0.0037809,24.0,-0.00394777
337,挟む,0.00397433,148.0,0.0,0.0,-0.00397433
338,ドア,0.00401068,138.0,0.0,0.0,-0.00401068
339,５,0.00402957,162.0,0.0,0.0,-0.00402957
340,背中,0.00406044,144.0,0.0,0.0,-0.00406044
341,小指,0.00406218,115.0,0.0,0.0,-0.00406218
342,座る,0.00411104,148.0,0.0,0.0,-0.00411104
343,児,0.00413305,151.0,0.0,0.0,-0.00413305
344,右足,0.00419639,146.0,0.0,0.0,-0.00419639
345,遊び,0.00425552,144.0,0.0,0.0,-0.00425552
346,シャトル,0.00437617,109.0,0.0,0.0,-0.00437617
347,窓,0.00438413,166.0,0.0,0.0,-0.00438413
348,バドミントン,0.0044466,117.0,0.0,0.0,-0.0044466
349,痛み,0.00449273,171.0,0.0,0.0,-0.00449273
350,前額,0.00454747,146.0,0.0,0.0,-0.00454747
351,痕,0.00458711,159.0,0.0,0.0,-0.00458711
352,マット,0.00462205,155.0,0.0,0.0,-0.00462205
353,線,0.00470888,165.0,0.0,0.0,-0.00470888
354,視力,0.00496136,163.0,0.0,0.0,-0.00496136
355,外傷,0.0050194,193.0,0.0,0.0,-0.0050194
356,痛める,0.00502031,147.0,0.0,0.0,-0.00502031
357,保育,0.00502579,182.0,0.0,0.0,-0.00502579
358,状,0.00509229,186.0,0.0,0.0,-0.00509229
359,割れる,0.00515488,192.0,0.0,0.0,-0.00515488
360,病院,0.00524619,263.0,0.0,0.0,-0.00524619
361,角,0.00528255,178.0,0.0,0.0,-0.00528255
362,機能,0.0053491,222.0,0.0,0.0,-0.0053491
363,性,0.00588931,252.0,0.0,0.0,-0.00588931
364,骨折,0.00905593,389.0,0.00308437,18.0,-0.00597156
365,ガラス,0.00639736,254.0,0.0,0.0,-0.00639736
366,残存,0.00644577,241.0,0.0,0.0,-0.00644577
367,指,0.00653612,254.0,0.0,0.0,-0.00653612
368,瘢痕,0.00680987,284.0,0.0,0.0,-0.00680987
369,蹴る,0.01226336,400.0,0.00541468,29.0,-0.00684868
370,手術,0.00691065,335.0,0.0,0.0,-0.00691065
371,左手,0.00692092,266.0,0.0,0.0,-0.00692092
372,頬,0.00735564,249.0,0.0,0.0,-0.00735564
373,障害,0.00832473,341.0,0.0,0.0,-0.00832473
374,右手,0.00878289,347.0,0.0,0.0,-0.00878289
375,残る,0.01470692,797.0,0.0,0.0,-0.01470692
376,眼,0.02959892,1473.0,0.0,0.0,-0.02959892
