総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
67,歯牙障害_語特徴,8,折,破る,0.956284,175,183,175,183,1583
68,歯牙障害_統合特徴,29,折,破る,0.956284,175,183,175,183,1583
69,All_語特徴,6,動,除,0.952941,81,85,81,85,7682
70,All_統合特徴,27,動,除,0.952941,81,85,81,85,7682
71,歯牙障害_統合特徴,30,環境要因:天候,雨,0.952381,20,21,20,21,1583
72,All_語特徴,7,痕,線,0.951807,158,159,165,166,7682
73,All_統合特徴,28,痕,線,0.951807,158,159,165,166,7682
74,All_語特徴,8,斑,黄,0.95,19,20,19,20,7682
75,All_統合特徴,29,斑,黄,0.95,19,20,19,20,7682
76,All_語特徴,9,うし,ろ,0.948718,111,111,117,117,7682
77,All_統合特徴,30,うし,ろ,0.948718,111,111,117,117,7682
78,All_語特徴,10,加える,補綴,0.948113,201,212,201,212,7682
79,All_統合特徴,31,加える,補綴,0.948113,201,212,201,212,7682
80,All_語特徴,11,制限,域,0.945946,35,37,35,37,7682
81,All_統合特徴,32,制限,域,0.945946,35,37,35,37,7682
82,All_語特徴,12,加える,歯科,0.943925,202,212,204,214,7682
83,All_統合特徴,33,加える,歯科,0.943925,202,212,204,214,7682
84,All_語特徴,13,器質,精神,0.9375,15,15,16,16,7682
85,All_語特徴,14,頚,髄,0.9375,15,16,15,16,7682
86,All_統合特徴,34,器質,精神,0.9375,15,15,16,16,7682
87,All_統合特徴,35,頚,髄,0.9375,15,16,15,16,7682
88,歯牙障害_統合特徴,31,原因物:乗り物,自転車,0.931034,216,232,216,232,1583
89,All_語特徴,15,119,通報,0.928571,26,26,28,28,7682
90,All_統合特徴,36,119,通報,0.928571,26,26,28,28,7682
91,歯牙障害_語特徴,9,搬送,救急,0.923077,24,24,26,26,1583
92,歯牙障害_統合特徴,32,搬送,救急,0.923077,24,24,26,26,1583
93,All_語特徴,16,出来事,管理,0.916667,33,34,35,36,7682
94,All_統合特徴,37,出来事,管理,0.916667,33,34,35,36,7682
95,All_語特徴,17,複,視,0.904762,76,76,84,84,7682
96,All_統合特徴,38,複,視,0.904762,76,76,84,84,7682
97,All_語特徴,18,硬い,血腫,0.894737,17,18,18,19,7682
98,All_統合特徴,39,硬い,血腫,0.894737,17,18,18,19,7682
99,All_統合特徴,40,受傷部位:眼,眼,0.885216,1473,1664,1473,1664,7682
100,歯牙障害_統合特徴,33,受傷部位:眼,目,0.882353,30,34,30,34,1583
101,All_語特徴,19,ドクター,ヘリ,0.882353,15,15,17,17,7682
102,All_統合特徴,41,ドクター,ヘリ,0.882353,15,15,17,17,7682
103,All_語特徴,20,折,破る,0.881773,179,203,179,203,7682
104,All_統合特徴,42,折,破る,0.881773,179,203,179,203,7682
105,歯牙障害_語特徴,10,バランス,崩す,0.876923,114,124,120,130,1583
106,歯牙障害_統合特徴,34,バランス,崩す,0.876923,114,124,120,130,1583
107,All_語特徴,21,可動,域,0.875,35,40,35,40,7682
108,All_統合特徴,43,可動,域,0.875,35,40,35,40,7682
109,All_語特徴,22,出来事,関わる,0.868421,33,34,37,38,7682
110,All_統合特徴,44,出来事,関わる,0.868421,33,34,37,38,7682
111,All_語特徴,23,円,孔,0.866667,13,15,13,15,7682
112,All_統合特徴,45,円,孔,0.866667,13,15,13,15,7682
113,歯牙障害_統合特徴,35,受傷部位:顎顔面,顔面,0.853403,489,573,489,573,1583
114,All_語特徴,24,バランス,崩す,0.848858,483,534,518,569,7682
115,All_統合特徴,46,バランス,崩す,0.848858,483,534,518,569,7682
116,All_語特徴,25,管理,関わる,0.846154,33,35,37,39,7682
117,All_統合特徴,47,管理,関わる,0.846154,33,35,37,39,7682
118,All_語特徴,26,状,痕,0.84492,158,186,159,187,7682
119,All_統合特徴,48,状,痕,0.84492,158,186,159,187,7682
120,All_統合特徴,49,ボール,原因物:スポーツ用具,0.839193,1623,1623,1934,1934,7682
121,All_語特徴,27,制限,可動,0.833333,35,37,40,42,7682
122,All_統合特徴,50,制限,可動,0.833333,35,37,40,42,7682
123,All_語特徴,28,状,線,0.818653,158,186,165,193,7682
124,All_語特徴,29,不要,解析,0.818182,9,10,10,11,7682
125,All_語特徴,30,搬送,救急,0.816193,373,414,416,457,7682
126,歯牙障害_統合特徴,36,行動:昇降,降りる,0.814815,22,27,22,27,1583
127,All_語特徴,31,中心,点,0.8,36,40,41,45,7682
128,歯牙障害_語特徴,11,デッキ,ブラシ,0.8,4,4,5,5,1583
129,歯牙障害_統合特徴,37,デッキ,ブラシ,0.8,4,4,5,5,1583
130,All_語特徴,32,断,裂,0.785714,22,26,24,28,7682
131,歯牙障害_統合特徴,38,受傷機転:転倒,転倒,0.78501,398,507,398,507,1583
132,All_語特徴,33,中心,暗い,0.782609,36,40,42,46,7682
133,All_語特徴,34,はぐ,ふく,0.769231,10,10,13,13,7682
134,All_語特徴,35,暗い,点,0.765957,36,42,41,47,7682
135,歯牙障害_統合特徴,39,ボール,原因物:スポーツ用具,0.762808,402,402,527,527,1583
136,歯牙障害_統合特徴,40,行動:移動,走る,0.756579,115,152,115,152,1583
137,All_語特徴,36,医療,機関,0.75,12,16,12,16,7682
138,All_語特徴,37,水分,補給,0.75,9,10,11,12,7682
139,歯牙障害_語特徴,12,至近,距離,0.75,3,3,4,4,1583
140,歯牙障害_統合特徴,41,至近,距離,0.75,3,3,4,4,1583
141,All_語特徴,38,ICD,植込み,0.736842,56,57,75,76,7682
142,All_語特徴,39,付,原動機,0.733333,11,12,14,15,7682
143,歯牙障害_語特徴,13,歯槽,骨,0.727273,8,8,11,11,1583
144,歯牙障害_語特徴,14,路,通学,0.727273,8,10,9,11,1583
145,歯牙障害_統合特徴,42,歯槽,骨,0.727273,8,8,11,11,1583
146,歯牙障害_統合特徴,43,路,通学,0.727273,8,10,9,11,1583
147,All_語特徴,40,うつ,伏せ,0.722222,13,18,13,18,7682
148,All_語特徴,41,至近,距離,0.708861,56,56,79,79,7682
149,歯牙障害_語特徴,15,場,運動,0.697143,122,157,140,175,1583
150,歯牙障害_統合特徴,44,場,運動,0.697143,122,157,140,175,1583
151,All_語特徴,42,脳,高次,0.684783,63,92,63,92,7682
152,All_語特徴,43,孔,黄,0.684211,13,13,19,19,7682
153,All_語特徴,44,(,),0.677419,21,31,21,31,7682
154,All_語特徴,45,心肺,蘇生,0.677083,65,96,65,96,7682
155,歯牙障害_統合特徴,45,ぶつかる,受傷機転:衝突,0.672043,125,125,186,186,1583
156,All_語特徴,46,-,S,0.666667,10,12,13,15,7682
157,All_語特徴,47,場,運動,0.665029,677,886,809,1018,7682
158,歯牙障害_統合特徴,46,投げる,行動:球技,0.662651,55,55,83,83,1583
159,All_語特徴,48,路,通学,0.660377,35,39,49,53,7682
160,All_語特徴,49,園,庭,0.654867,74,107,80,113,7682
161,All_語特徴,50,119,番,0.65,26,26,40,40,7682
162,歯牙障害_語特徴,16,スティック,ホッケー,0.636364,14,20,16,22,1583
163,歯牙障害_統合特徴,47,スティック,ホッケー,0.636364,14,20,16,22,1583
164,歯牙障害_語特徴,17,てんかん,発作,0.625,5,5,8,8,1583
165,歯牙障害_統合特徴,48,てんかん,発作,0.625,5,5,8,8,1583
166,歯牙障害_語特徴,18,支援,特別,0.6,3,4,4,5,1583
167,歯牙障害_統合特徴,49,支援,特別,0.6,3,4,4,5,1583
168,歯牙障害_統合特徴,50,原因物:遊具,鉄棒,0.592593,16,27,16,27,1583
169,歯牙障害_語特徴,19,悪い,気分,0.583333,7,10,9,12,1583
170,歯牙障害_語特徴,20,骨,骨折,0.526316,10,11,18,19,1583
171,歯牙障害_語特徴,21,経路,通常,0.5,4,4,8,8,1583
172,歯牙障害_語特徴,22,寄宿舎,浴室,0.5,3,5,4,6,1583
173,歯牙障害_語特徴,23,立てる,腹,0.5,3,4,5,6,1583
174,歯牙障害_語特徴,24,ピッチングマシン,マシン,0.5,2,3,3,4,1583
175,歯牙障害_語特徴,25,休業,春季,0.5,2,3,3,4,1583
176,歯牙障害_語特徴,26,かけっこ,追う,0.48,12,13,24,25,1583
177,歯牙障害_語特徴,27,下る,坂道,0.478261,11,16,18,23,1583
178,歯牙障害_語特徴,28,がけ,雑巾,0.461538,6,8,11,13,1583
179,歯牙障害_語特徴,29,歩行,者,0.461538,6,11,8,13,1583
180,歯牙障害_語特徴,30,歯槽,骨折,0.444444,8,8,18,18,1583
181,歯牙障害_語特徴,31,クラブ,ゴルフ,0.444444,4,9,4,9,1583
182,歯牙障害_語特徴,32,戦,紅白,0.444444,4,8,5,9,1583
183,歯牙障害_語特徴,33,休憩,時間,0.4375,56,60,124,128,1583
184,歯牙障害_語特徴,34,ソフトボール,バット,0.425197,54,68,113,127,1583
185,歯牙障害_語特徴,35,練習,部,0.402963,272,462,485,675,1583
186,歯牙障害_語特徴,36,じゃれる,休み,0.4,2,4,3,5,1583
187,歯牙障害_語特徴,37,上履き,脱ぐ,0.4,2,3,4,5,1583
188,歯牙障害_語特徴,38,左折,通行,0.4,2,4,3,5,1583
189,歯牙障害_語特徴,39,逃げる,鬼,0.384615,5,13,5,13,1583
190,歯牙障害_語特徴,40,受診,治療,0.378378,14,18,33,37,1583
191,歯牙障害_語特徴,41,サイド,プール,0.375,6,7,15,16,1583
192,歯牙障害_語特徴,42,テニス,ラケット,0.37037,10,14,23,27,1583
193,歯牙障害_語特徴,43,部,野球,0.363636,184,485,205,506,1583
194,歯牙障害_語特徴,44,搬送,治療,0.357143,15,24,33,42,1583
195,歯牙障害_語特徴,45,降る,雨,0.347826,8,11,20,23,1583
196,歯牙障害_語特徴,46,ジャンプ,着地,0.346154,9,16,19,26,1583
197,歯牙障害_語特徴,47,救急,治療,0.340909,15,26,33,44,1583
198,歯牙障害_語特徴,48,さ,高い,0.333333,6,9,15,18,1583
199,歯牙障害_語特徴,49,ずれる,タイミング,0.333333,2,3,5,6,1583
200,歯牙障害_語特徴,50,キック,ボード,0.333333,2,5,3,6,1583
201,歯牙障害_カテゴリ特徴,1,受傷機転:転倒,受傷部位:顎顔面,0.288783,242,507,573,838,1583
202,歯牙障害_カテゴリ特徴,2,原因物:乗り物,受傷機転:転倒,0.287456,165,232,507,574,1583
203,All_カテゴリ特徴,1,原因物:スポーツ用具,受傷部位:眼,0.257163,736,1934,1664,2862,7682
204,歯牙障害_カテゴリ特徴,3,受傷機転:転倒,受傷部位:歯牙,0.233268,237,507,746,1016,1583
205,歯牙障害_カテゴリ特徴,4,原因物:スポーツ用具,受傷部位:歯牙,0.226397,235,527,746,1038,1583
206,歯牙障害_カテゴリ特徴,5,受傷機転:転倒,衝突対象:床,0.208333,120,507,189,576,1583
207,歯牙障害_カテゴリ特徴,6,受傷機転:滑走,受傷部位:下肢,0.203791,43,112,142,211,1583
208,歯牙障害_カテゴリ特徴,7,受傷部位:歯牙,受傷部位:顎顔面,0.200182,220,746,573,1099,1583
209,All_カテゴリ特徴,2,原因物:スポーツ用具,行動:球技,0.190746,437,1934,794,2291,7682
210,All_カテゴリ特徴,3,受傷部位:眼,行動:球技,0.185149,384,1664,794,2074,7682
211,歯牙障害_カテゴリ特徴,8,受傷部位:下肢,衝突対象:床,0.182143,51,142,189,280,1583
212,All_カテゴリ特徴,4,受傷機転:転倒,行動:移動,0.170742,419,1982,891,2454,7682
213,All_カテゴリ特徴,5,原因物:乗り物,受傷機転:転倒,0.167713,374,622,1982,2230,7682
214,All_カテゴリ特徴,6,受傷機転:滑走,受傷部位:下肢,0.167035,151,388,667,904,7682
215,歯牙障害_カテゴリ特徴,9,原因物:スポーツ用具,受傷部位:顎顔面,0.164021,155,527,573,945,1583
216,歯牙障害_カテゴリ特徴,10,原因物:乗り物,衝突対象:地面,0.160279,46,232,101,287,1583
217,All_カテゴリ特徴,7,受傷機転:転倒,受傷部位:顎顔面,0.15516,436,1982,1264,2810,7682
218,歯牙障害_カテゴリ特徴,11,受傷機転:転倒,受傷部位:下肢,0.152753,86,507,142,563,1583
219,歯牙障害_カテゴリ特徴,12,受傷機転:滑走,受傷機転:転倒,0.150558,81,112,507,538,1583
220,歯牙障害_カテゴリ特徴,13,原因物:乗り物,受傷部位:顎顔面,0.15,105,232,573,700,1583
221,All_カテゴリ特徴,8,受傷機転:転倒,受傷部位:下肢,0.137398,320,1982,667,2329,7682
222,All_カテゴリ特徴,9,受傷機転:衝突,行動:移動,0.135172,196,755,891,1450,7682
223,歯牙障害_カテゴリ特徴,14,受傷機転:転倒,衝突対象:地面,0.134328,72,507,101,536,1583
224,All_カテゴリ特徴,10,受傷部位:歯牙,受傷部位:顎顔面,0.130748,236,777,1264,1805,7682
225,歯牙障害_カテゴリ特徴,15,受傷部位:顎顔面,衝突対象:床,0.130564,88,573,189,674,1583
226,歯牙障害_カテゴリ特徴,16,行動:昇降,衝突対象:階段,0.129032,8,27,43,62,1583
227,歯牙障害_カテゴリ特徴,17,受傷機転:転倒,行動:移動,0.128425,75,507,152,584,1583
228,歯牙障害_カテゴリ特徴,18,受傷機転:滑走,衝突対象:床,0.127341,34,112,189,267,1583
229,All_カテゴリ特徴,11,受傷機転:転倒,衝突対象:床,0.125057,272,1982,465,2175,7682
230,All_カテゴリ特徴,12,行動:昇降,衝突対象:階段,0.121311,37,148,194,305,7682
231,歯牙障害_カテゴリ特徴,19,受傷部位:歯牙,衝突対象:床,0.121103,101,746,189,834,1583
232,All_カテゴリ特徴,13,原因物:遊具,受傷機転:転落,0.119584,69,192,454,577,7682
233,歯牙障害_カテゴリ特徴,20,受傷機転:衝突,受傷部位:歯牙,0.117506,98,186,746,834,1583
234,歯牙障害_カテゴリ特徴,21,原因物:乗り物,衝突対象:自転車部品,0.114407,27,232,31,236,1583
235,All_カテゴリ特徴,14,原因物:スポーツ用具,受傷部位:顎顔面,0.11351,326,1934,1264,2872,7682
236,All_カテゴリ特徴,15,受傷機転:転倒,衝突対象:地面,0.109016,237,1982,429,2174,7682
237,歯牙障害_カテゴリ特徴,22,原因物:乗り物,環境要因:路面,0.108949,28,232,53,257,1583
238,歯牙障害_カテゴリ特徴,23,傷害結果:脱臼,傷害結果:骨折,0.103093,10,89,18,97,1583
239,歯牙障害_カテゴリ特徴,24,受傷機転:滑走,受傷部位:上肢,0.102804,22,112,124,214,1583
240,歯牙障害_カテゴリ特徴,25,原因物:乗り物,受傷部位:歯牙,0.102593,91,232,746,887,1583
241,歯牙障害_カテゴリ特徴,26,受傷機転:転落,衝突対象:階段,0.102273,9,54,43,88,1583
242,歯牙障害_カテゴリ特徴,27,傷害結果:脱臼,受傷部位:歯牙,0.101583,77,89,746,758,1583
