単語,出現事例数
引っ掛かる,41
掃除,41
手すり,41
キャッチ,41
踏み外す,41
ひっかく,41
植え込む,41
運動会,40
可動,40
バント,40
リレー,40
通学,40
園児,40
cm,40
外野,40
処置,40
四肢,40
暗い,40
側溝,39
腹,39
上腕,39
自由,39
衝撃,39
ディフェンス,39
片付ける,39
飛び出す,39
閉まる,39
中心,39
あたる,39
対,39
投球,39
胸骨,39
右肩,38
音,38
理科,38
通る,38
スパイク,38
防,38
キャッチャー,38
近づく,38
生活,38
振り返る,38
抜ける,38
跳箱,38
網膜,38
時限,37
金属,37
反対,37
コース,37
正面,37
ハンドル,37
熱傷,37
関わる,37
制限,37
減じる,37
続ける,36
打ち返す,36
キーパー,36
着替え,36
合同,36
眼鏡,36
入り口,36
面,36
スマッシュ,36
症状,35
嘔吐,35
友だち,35
反動,35
脚,35
程度,35
固定,35
帰る,35
曲がる,35
冷却,35
クラブ,35
ぶら下がる,35
下り坂,35
ベランダ,35
機,35
番,35
域,35
管理,35
顧問,34
口論,34
しゃがむ,34
畳,34
位置,34
翌日,34
溝,34
傘,34
手前,34
挫傷,34
出来事,34
引っかく,34
反応,34
診断,34
塁,33
気,33
斜め,33
順番,33
指先,33
飛ばす,33
硬式,33
学年,32
設置,32
見学,32
内側,32
飛び込み,32
向く,32
音楽,32
急ぐ,32
遊戯,32
こむ,32
切,32
仰向け,32
怒る,32
味方,32
ひねる,32
靴,32
年生,32
ウォーミングアップ,32
総合,31
テスト,31
タイヤ,31
職員,31
休む,31
いす,31
フライ,31
下敷き,31
止まる,31
枝,31
同級生,30
ひっかかる,30
飛び降りる,30
気分,30
スキー,30
公園,30
ロッカー,30
徒歩,30
部室,30
球技,30
縁,30
みる,30
余る,30
頚椎,30
狭窄,30
ブランコ,29
そば,29
ベンチ,29
もつれる,29
すべり台,29
打席,29
触れる,29
班,29
始まる,29
路,29
踏む,29
前歯,29
スライディング,29
火傷,29
気づく,29
(,29
グループ,29
度,29
走行,29
たち,29
卓球,29
動ける,29
けいれん,29
せき柱,29
精巣,29
たたく,28
柄,28
胸,28
突く,28
中央,28
雨,28
㎝,28
持ち上げる,28
周り,28
肢,28
唇,28
字,28
片,28
裂創,28
まぶた,28
取り合い,28
乗せる,28
膜,28
スタート,27
フェンス,27
うまい,27
はさむ,27
隙間,27
メートル,27
ダッシュ,27
箇所,27
保護,27
左肩,27
カーブ,27
鉄製,27
すべる,27
.,27
拍子,27
坂道,27
一塁,27
動かす,27
縄跳び,27
乱取り,27
刃,27
ダブルス,27
通報,27
周囲,26
上る,26
穴,26
断,26
倒す,26
話す,26
向き,26
室内,26
泣く,26
守る,26
異常,25
ヘディング,25
最後,25
回る,25
フリー,25
走り高跳び,25
金具,25
開放,25
お互い,25
ステージ,25
振り回す,25
あと,25
ドリブル,25
回す,25
女子,25
方,25
引っかかる,25
当日,25
ペア,25
ＡＥＤ,25
なくなる,24
聞く,24
全員,24
背後,24
剣道,24
ブレーキ,24
軽い,24
親指,24
姿勢,24
強風,24
ら,24
裂,24
前輪,24
家庭,24
鍋,24
折れる,24
臀部,24
午後,24
装着,24
集合,24
指示,24
抜く,24
バッターボックス,24
濡れる,23
士,23
ホーム,23
降る,23
斜面,23
ショック,23
着く,23
レシーブ,23
下る,23
入口,23
腰部,23
柵,23
マネージャー,23
鉄,23
振り上げる,23
調理,23
出入り口,23
眉間,23
握る,23
タッチ,23
左下,23
呼ぶ,23
つかまる,23
うずくまる,23
分間,23
機械,23
止血,23
宿泊,22
返球,22
校門,22
部屋,22
ゴム,22
倉庫,22
バス,22
遅れる,22
ポール,22
棚,22
合宿,22
通路,22
火,22
胸部,22
操作,22
カット,22
足元,22
文化,22
跳び箱,22
見つける,22
バー,22
結果,22
眼下,22
座り込む,22
ピッチングマシン,22
",",22
からかう,21
プレー,21
急性,21
泳ぐ,21
続く,21
帰り,21
本人,21
),21
腕骨,21
後ろ向き,21
踊り場,21
待機,21
引っ掻く,21
腫れる,21
応急,21
バック,21
型,21
ごっこ,21
列,21
戻す,21
手足,21
部活,21
ストレッチ,21
剥離,21
持久走,21
神経,21
張る,20
素振り,20
外側,20
伸ばす,20
歩道,20
修学旅行,20
当てる,20
ペース,20
組む,20
フック,20
体験,20
中庭,20
施設,20
子,20
グランド,20
渡り廊下,20
後片付け,20
午前,20
チームメイト,20
自宅,20
経過,20
履く,20
ける,20
集団,20
最中,20
短縮,20
不明,20
斑,20
失明,20
救命,20
胸椎,20
口唇,19
観察,19
ジャングルジム,19
付く,19
遠足,19
めまい,19
ミニゲーム,19
冷やす,19
ランドセル,19
すぎる,19
切傷,19
突き破る,19
地点,19
日常,19
下ろす,19
行事,19
あう,19
奪う,19
裏,19
動き,19
分かれる,19
ライナー,19
まひ,19
黄,19
腰椎,19
越える,18
下がる,18
半身,18
出し,18
花壇,18
クラスメイト,18
ふらつく,18
下部,18
夏季,18
箱,18
物,18
折,18
渡る,18
通常,18
破損,18
鍵,18
パイプ,18
背部,18
特別,18
頭頂,18
眼瞼,18
上肢,18
荷物,18
硬い,18
血腫,18
ちょっかい,18
込む,18
ずれる,18
ホームルーム,18
ランナー,18
到着,18
発見,18
連絡,18
三塁,18
ファウルチップ,18
心臓,18
耳鳴り,17
パンチ,17
バスケット,17
測定,17
言葉,17
食べる,17
吹く,17
だす,17
近距離,17
雪,17
聴力,17
バッティングマシーン,17
全体,17
ショート,17
課題,17
痛む,17
違和感,17
センター,17
重い,17
てんかん,17
浮く,17
返す,17
捻挫,17
引火,17
駆ける,17
タイミング,17
やる,17
もらう,17
受け取る,17
校外,17
ホール,17
渡す,17
払う,17
養護,17
応援,17
調整,17
激痛,17
屋根,17
同士,17
級友,17
夏休み,17
損なう,17
人組,17
宙返り,17
体調,17
ヘリ,17
摘出,17
トラック,16
生じる,16
直前,16
アスファルト,16
こめかみ,16
てい,16
防ぐ,16
鳴る,16
全校,16
変える,16
紅白,16
盤,16
引き抜く,16
作り,16
切り傷,16
種目,16
校,16
ファースト,16
縦,16
回り,16
お湯,16
熱湯,16
待ち,16
瞼,16
門,16
止め,16
プラスチック,16
呼びかける,16
洗う,16
ハードル,16
輪,16
校内,16
あげる,16
筋,16
土台,16
木製,16
腫れ,16
立ち,16
敷く,16
拭く,16
竹,16
精神,16
発現,16
既往症,16
頚,16
上級生,15
加える,15
それる,15
つま,15
づく,15
自力,15
図工,15
所,15
く,15
更衣,15
加わる,15
回復,15
ぶらんこ,15
自主,15
付け根,15
背負う,15
傾く,15
股関節,15
炎,15
滑り落ちる,15
図書,15
ひさし,15
隠れる,15
黒板,15
流す,15
おでこ,15
てる,15
用具,15
やけど,15
刺す,15
開,15
ひも,15
鉛筆,15
交代,15
ロープ,15
隅,15
複数,15
助走,15
加工,15
器質,15
ドクター,15
ワン,15
駆け付ける,15
白内障,15
髄,15
係,14
当る,14
にくい,14
肩車,14
水道,14
アップ,14
側面,14
状況,14
年,14
出来る,14
医療,14
ポスト,14
道,14
原動機,14
近い,14
休業,14
前日,14
防御,14
熱い,14
探す,14
驚く,14
引っ掛ける,14
腹痛,14
記録,14
頸部,14
遠い,14
弾み,14
湯,14
水筒,14
蓋,14
無理,14
乗り,14
走り出す,14
攻撃,14
チャイム,14
山,14
振り払う,14
縄,14
安全,14
リバウンド,14
会場,14
ハーフ,14
元,14
屋内,14
カバー,14
トランポリン,14
長い,14
片方,14
鎖骨,14
うつ,14
演技,14
検査,14
走者,14
ジョギング,14
打ち合い,14
背負い投げ,14
異変,14
安静,14
円,14
脈,14
痙攣,14
聞こえる,13
低い,13
大型,13
尻もち,13
めがける,13
半分,13
氷,13
入れ,13
前後,13
変わる,13
夕食,13
もと,13
発作,13
趾,13
サッシ,13
非常,13
道具,13
コーナー,13
乗り越える,13
尻,13
けが,13
袋,13
アルミ,13
ふく,13
駅,13
背,13
制作,13
メニュー,13
うつ伏せる,13
走り回る,13
ほうき,13
飛び越える,13
よろける,13
敷地,13
外す,13
一環,13
幼児,13
行なう,13
こぼれる,13
雑巾,13
移る,13
直径,13
電車,13
マラソン,13
フロア,13
砂場,13
駐車,13
服,13
製作,13
セット,13
すり抜ける,13
ライン,13
抱く,13
レンズ,13
甲,13
添える,13
S,13
定規,13
外周,13
揺らす,13
硬直,13
引き上げる,13
グローブ,13
マシーン,13
寝技,13
房,13
レスリング,13
孔,13
心室,13
マッサージ,13
下腹,13
合図,12
自然,12
捕まえる,12
刈り,12
騎馬,12
立てかける,12
重なる,12
チップ,12
起きる,12
ひっかける,12
左右,12
はずれる,12
空中,12
くずす,12
以前,12
シート,12
本校,12
ひどい,12
怪我,12
とっさ,12
滑走,12
付,12
分かる,12
食,12
上体,12
水中,12
皮膚,12
男児,12
キック,12
カッターナイフ,12
送る,12
早い,12
身,12
上がり,12
浴びる,12
とぶ,12
か所,12
網,12
作成,12
歩,12
幹部,12
投げ出す,12
路面,12
ケース,12
擦り傷,12
役,12
横切る,12
我慢,12
入り込む,12
リング,12
ゴルフ,12
気が付く,12
移送,12
進む,12
寄る,12
自席,12
起き上がる,12
体力,12
メガネ,12
軟式,12
走り幅跳び,12
受け身,12
セカンド,12
不良,12
組み,12
ピッチングマシーン,12
ゲージ,12
サーブ,12
-,12
予行,11
ファール,11
受身,11
きる,11
テープ,11
ハンド,11
タイム,11
吐き気,11
残り,11
一瞬,11
竹刀,11
補給,11
一番,11
交錯,11
後部,11
絡まる,11
ひとり,11
レール,11
ソフトテニス,11
慌てる,11
割る,11
放す,11
太もも,11
考える,11
よそ見,11
競争,11
筆箱,11
小石,11
過ぎる,11
坂,11
風,11
間に合う,11
午睡,11
言い合う,11
草,11
前向き,11
取っ手,11
ストーブ,11
逃げ込む,11
一輪車,11
小走り,11
武道,11
木工,11
代わり,11
かする,11
配膳,11
吹奏楽,11
ラリー,11
相撲,11
テラス,11
上半身,11
競り合う,11
フットサル,11
丸める,11
滑り降りる,11
具,11
ズボン,11
抱える,11
電気,11
ヘルメット,11
貫通,11
全力,11
再開,11
幅,11
ワイヤー,11
プレーヤー,11
眉毛,11
原因,11
前進,11
工作,11
入水,11
紙,11
スポーツ,11
スティック,11
患部,11
カンナ,11
電柱,11
伏せ,11
取れる,11
もみ合う,11
チアリーディング,11
しびれ,11
進行,11
防止,11
ミニ,11
サード,11
逸れる,11
研究,11
回し,11
消しゴム,11
捕手,11
ｋｍ,11
崩れ落ちる,11
クリア,11
角膜,11
手押し,11
目撃,11
作動,11
人工,11
梗塞,11
脊髄,11
節,11
家,10
返事,10
付き,10
それぞれ,10
整備,10
伴う,10
夜,10
スロープ,10
水分,10
不安定,10
ポジション,10
審判,10
振盪,10
バトン,10
流れる,10
両側,10
教卓,10
排水,10
新体操,10
アメリカンフットボール,10
アルコール,10
ペットボトル,10
地上,10
水飲み,10
フレーム,10
躓く,10
その間,10
ふた,10
はぐ,10
現場,10
自立,10
通過,10
こする,10
つなぐ,10
歩行,10
良い,10
取り出す,10
防火,10
咬む,10
尺,10
レクリエーション,10
テント,10
秒,10
片手,10
昼,10
触る,10
ざま,10
飲む,10
ぬれる,10
追いつく,10
はねる,10
赤い,10
機関,10
タオル,10
ガードレール,10
上下,10
座,10
頬骨,10
滑り,10
技術,10
態度,10
かがむ,10
右前,10
背面,10
掛け,10
広場,10
置き場,10
掴む,10
糸,10
センチ,10
遠征,10
荷台,10
車いす,10
じゃれる,10
着用,10
拳,10
やめる,10
突き,10
丸,10
かかと,10
直す,10
団体,10
はじく,10
頃,10
平行棒,10
イレギュラー,10
発,10
か月,10
隊,10
km,10
飛び込み台,10
不要,10
解析,10
脇腹,10
下腹部,10
ベッド,9
教科,9
下方,9
手洗い,9
天井,9
投げつける,9
母親,9
繰り返す,9
判明,9
揺れる,9
答える,9
アタック,9
各自,9
奥,9
委員,9
液,9
グレーチング,9
負担,9
ハンマー,9
最終,9
掛かる,9
シーソー,9
皿,9
缶,9
スタンド,9
芯,9
飛び散る,9
油,9
落ち,9
熱す,9
決める,9
マンション,9
覚える,9
取り,9
出入口,9
試験,9
靭帯,9
剤,9
停車,9
畑,9
器具,9
登り,9
手袋,9
突っ込み,9
下げる,9
強化,9
かご,9
玩具,9
屋上,9
当番,9
登,9
おもちゃ,9
走り込む,9
虫,9
まわる,9
塀,9
窓際,9
付ける,9
取り合う,9
卒業,9
曲げる,9
籠,9
おかしい,9
真似,9
歳児,9
マッチ,9
言い争う,9
集める,9
カーテン,9
危ない,9
鼻骨,9
雨天,9
間際,9
砲丸,9
馬跳び,9
ローラー,9
合唱,9
会話,9
チェーン,9
すれ違う,9
スイング,9
はまる,9
あおる,9
ゴロ,9
ライト,9
かかえる,9
シャープペンシル,9
電動,9
息,9
苦しい,9
壊死,9
達,9
跳ねる,9
速い,9
眼科,9
見失う,9
稽古,9
床の間,9
爆発,8
暴行,8
内野,8
つかまえる,8
うつぶせる,8
近寄る,8
無い,8
筋力,8
楽しみ,8
縁石,8
説明,8
喉,8
行動,8
寮,8
クロール,8
雲,8
週間,8
隣接,8
天,8
末節,8
母,8
不全,8
利用,8
集会,8
宙,8
言語,8
針金,8
壁際,8
突風,8
飴,8
擦る,8
軸,8
mm,8
捨てる,8
過ごす,8
削る,8
行為,8
部品,8
陥没,8
ボード,8
路上,8
横断,8
裂ける,8
つかみ合う,8
させる,8
踏み出す,8
発表,8
嫌がる,8
取り上げる,8
打ち,8
釘,8
かぶる,8
引っかける,8
楽器,8
朝礼,8
降ろす,8
格技,8
駅伝,8
夕方,8
ポット,8
講堂,8
硝子,8
背もたれ,8
車輪,8
帯,8
掌,8
上り,8
輪ゴム,8
違う,8
陰,8
選択,8
擦りむく,8
ボクシング,8
判断,8
絞める,8
介助,8
乗り出す,8
タワー,8
バレー,8
動作,8
振り切る,8
自動,8
小屋,8
新人,8
くぐる,8
沿い,8
跳躍,8
川,8
支援,8
かばん,8
切り,8
継続,8
含む,8
はさみ,8
かくれんぼ,8
基礎,8
先頭,8
交換,8
工業,8
かばう,8
攻める,8
バトミントン,8
中学校,8
湿布,8
寝る,8
鼻血,8
対戦,8
木材,8
悪化,8
空手,8
試みる,8
神経症,8
消失,8
緊急,8
脈拍,8
確保,8
人さし指,8
脾臓,8
不安,7
難聴,7
呼び出す,7
研修,7
ベースボール,7
懸垂,7
人工芝,7
公式,7
頭上,7
着席,7
飛行機,7
硬球,7
耐える,7
気がつく,7
重ねる,7
吐く,7
心筋,7
バーベル,7
歯科,7
ビニール,7
取り付ける,7
落ち葉,7
呼び止める,7
台風,7
立て,7
格好,7
対抗,7
出口,7
厚い,7
あてる,7
付き添う,7
ゴミ,7
後半,7
あがる,7
予選,7
多量,7
付け,7
かぶさる,7
散歩,7
傷口,7
アスレチック,7
真ん中,7
まわり,7
へる,7
ぐらつく,7
ひっくり返る,7
乗り上げる,7
よい,7
布団,7
食事,7
テーブル,7
作品,7
本棚,7
引きずる,7
筒,7
二塁,7
滑り込む,7
棟,7
エプロン,7
美術,7
結ぶ,7
負荷,7
おく,7
自習,7
あまる,7
ステンレス,7
促す,7
追い抜く,7
布,7
一時,7
交差点,7
狭い,7
中断,7
下り,7
レンガ,7
ダンクシュート,7
大学,7
野外,7
裾,7
靴箱,7
植え込み,7
巻く,7
紐,7
跳ね上がる,7
職場,7
心,7
課外,7
運転,7
ワゴン,7
返却,7
顎骨,7
替える,7
揚げ,7
社会,7
自身,7
垂直,7
普段,7
ホッケー,7
消す,7
はずす,7
グリップ,7
同様,7
十分,7
認める,7
大量,7
興奮,7
擦過,7
器械体操,7
こぶし,7
庇,7
阻止,7
シャワー,7
抵抗,7
男,7
運搬,7
差,7
症候群,7
争い,7
算数,7
A,7
顆骨折,7
顆上骨,7
打撲傷,7
脛骨,7
疲れる,7
補強,7
本塁,7
殴打,7
三角,7
ノート,7
名前,7
後衛,7
含める,7
ロング,7
改善,7
報告,7
時点,7
呼び掛ける,7
治まる,7
顔色,7
完走,7
仕掛ける,7
気道,7
蒼白,7
鋸,7
スイッチ,7
ストレス,6
先生,6
悪口,6
ピッチング,6
よじ登る,6
感じ,6
上段,6
感,6
まとめる,6
ピラミッド,6
広い,6
期間,6
ぶらさがる,6
一つ,6
コントロール,6
片足,6
大丈夫,6
保持,6
コーン,6
延長,6
滑り台,6
合わせる,6
先輩,6
ホテル,6
集中,6
業,6
務める,6
分の,6
仲間,6
すりむく,6
雑談,6
kg,6
たれる,6
根元,6
下駄,6
飛びつく,6
膝下,6
食器,6
感染,6
がけ,6
またがる,6
口元,6
南側,6
一方,6
空振り,6
補綴,6
摂取,6
つけ,6
熱,6
ランプ,6
多数,6
モップ,6
広範囲,6
不意,6
バラ,6
遠く,6
やすい,6
ノブ,6
地区,6
緩める,6
車椅子,6
かわす,6
起こる,6
丸太,6
並べる,6
正門,6
居る,6
しっぽ,6
とり,6
ふち,6
片づける,6
閉じ込める,6
手の甲,6
越し,6
割り,6
のける,6
つけ根,6
橈骨,6
ダンス,6
歯磨き,6
ままごと,6
炊飯,6
読書,6
突進,6
コード,6
あわてる,6
バケツ,6
回旋,6
塔,6
ボルト,6
追突,6
あご,6
女児,6
便器,6
手伝う,6
貼る,6
平均,6
開閉,6
机上,6
ピン,6
立ち止まる,6
キャップ,6
引き寄せる,6
連続,6
まね,6
血,6
ひく,6
㎝）,6
ガスコンロ,6
転び,6
のせる,6
完全,6
折りたたみ,6
約束,6
横向き,6
部位,6
鉄板,6
コーチ,6
腱,6
双方,6
通用,6
講習,6
皮,6
着替える,6
土手,6
届く,6
コンテナ,6
手伝い,6
突起,6
ペダル,6
脱ぐ,6
構える,6
馬,6
図画,6
舞台,6
割,6
ギャラリー,6
傷つける,6
おこなう,6
マスク,6
前面,6
行い,6
ムカデ,6
ラック,6
向こう,6
擦過傷,6
ヘッド,6
現れる,6
相手方,6
下半身,6
ねじ,6
引っぱる,6
窓側,6
吹き抜け,6
突き刺さる,6
対向,6
訓練,6
避難,6
おんぶ,6
ピアノ,6
すね,6
整列,6
すくう,6
通り抜ける,6
押さえつける,6
色,6
挫滅創,6
込み,6
複合,6
見つかる,6
スリッパ,6
歩ける,6
頭蓋骨,6
脚長,6
嗅覚,6
術後,6
セーフティ,6
学園,6
段違い,6
ペンチ,6
ぼやける,6
壊れる,6
ささい,6
間隔,6
処理,6
監督,6
飛び越す,6
前衛,6
グラブ,6
三塁手,6
ひざ,6
訴え,6
イレギュラーバウンド,6
脳震盪,6
ルーム,6
矢,6
変性,6
休日,6
支え,6
事件,6
防護,6
スクラム,6
取り組む,6
与える,6
盲,6
ストッパー,6
虹彩,6
脈絡,6
緑内障,6
傍ら,6
セーフティー,6
腹筋,6
上前,6
自発,6
大内,6
詰まる,6
水面,6
落ち着く,6
心拍,6
蝶番,6
陰部,6
玉,5
親子,5
オフェンス,5
蛇口,5
リコーダー,5
はり,5
翌朝,5
もめる,5
台車,5
運び出す,5
つぶれる,5
進入,5
コンビネーション,5
集まる,5
たてる,5
済ませる,5
夜間,5
弓,5
弓道,5
個,5
遅い,5
はさまる,5
草むら,5
囲む,5
向う,5
歩き,5
投てき,5
続行,5
口腔,5
看板,5
手甲,5
砂糖,5
近づける,5
ポート,5
上口,5
押し合い,5
止まれる,5
姿,5
ごみ,5
一斉,5
話し合い,5
揚げる,5
カップ,5
葉,5
スコップ,5
スクールバス,5
ガス,5
花,5
国語,5
制,5
レバー,5
伸びる,5
写真,5
下足,5
からまる,5
わき,5
南,5
境,5
犬,5
きっかけ,5
踏みつける,5
吊る,5
つっこむ,5
家庭科,5
曲がり角,5
エッジ,5
波,5
海,5
寄宿舎,5
まわす,5
積み木,5
転換,5
後ずさる,5
化学,5
手のひら,5
走り抜ける,5
防具,5
いたずら,5
歌,5
下車,5
かえる,5
絵本,5
気持ち,5
ガーゼ,5
飛び乗る,5
着,5
打ち上げる,5
飯ごう,5
勘違い,5
覗く,5
前かがみ,5
旋盤,5
左折,5
視界,5
北側,5
寄りかかる,5
必要,5
戸外,5
撮る,5
捕まる,5
カレー,5
池,5
むく,5
動き出す,5
絡む,5
危険,5
見せる,5
上方,5
マス,5
凍る,5
漕ぐ,5
つくる,5
抱きつく,5
知らせる,5
教材,5
マンホール,5
書く,5
メンバー,5
信号,5
診察,5
中段,5
芝生,5
邪魔,5
ケンカ,5
軍手,5
口前,5
スキップ,5
すき間,5
勉強,5
ふる,5
こぐ,5
左端,5
シューズ,5
追い越す,5
重み,5
ステップ,5
づくり,5
付着,5
落書き,5
アンカー,5
読む,5
往復,5
留め,5
側壁,5
巻き,5
装置,5
囲う,5
後続,5
スタンツ,5
失神,5
ぶる,5
フリスビー,5
積む,5
ボックス,5
洗浄,5
小さい,5
員,5
はめる,5
駆け寄る,5
粘土,5
接近,5
張り出す,5
股,5
通りかかる,5
偶然,5
飾り,5
砂,5
挨拶,5
押し倒す,5
橋,5
用水路,5
走り,5
手当,5
バンド,5
殴り合い,5
横たわる,5
振り,5
提出,5
覆う,5
くれる,5
ほお骨,5
半月,5
熱中,5
実技,5
対応,5
携帯,5
電話,5
役割,5
レーン,5
打順,5
踏切,5
スリップ,5
寝転がる,5
連れる,5
橈骨遠,5
膝蓋骨,5
腓骨,5
寝かせる,5
返る,5
春休み,5
棒高跳び,5
照明,5
林間,5
異物,5
経つ,5
ボレー,5
牽制,5
補,5
刀,5
彫刻,5
光,5
角度,5
得る,5
回収,5
水晶,5
殺る,5
長縄,5
座り,5
朦朧,5
当時,5
農業,5
ねじれる,5
抱え込む,5
杭,5
自ら,5
宿舎,5
武道館,5
塁間,5
取り除く,5
教職員,5
もうろう,5
凶行,5
教官,5
不自然,5
交互,5
疾走,5
のしかかる,5
困難,5
沈む,5
内股,5
駆けつける,5
ひねり,5
ラン,5
骨盤,5
増す,5
くも膜,5
とれる,5
示指,5
プレス,5
環,5
用いる,5
人指し指,5
スライド,5
時刻,5
扇風機,5
椎,5
ピストル,4
鳴らす,4
短距離,4
引率,4
箸,4
待ち時間,4
アーム,4
圧力,4
寒い,4
ひじ,4
２つ,4
ミーティング,4
問いかける,4
持病,4
襲う,4
クロス,4
牛乳,4
早朝,4
スペース,4
びっくり,4
ロック,4
泥,4
バイク,4
接合,4
発熱,4
簡易,4
交流,4
些細,4
そしゃく,4
流動,4
注ぐ,4
燃える,4
溶かす,4
