語1,語2,共起事例数,Jaccard（ネットワーク重み）
場,治療,132,0.14102564102564102
教室,時間,132,0.12559467174119887
体育,場,132,0.10007581501137225
当たる,打球,132,0.09217877094972067
サッカー,練習,132,0.0704
運動,野球,131,0.12657004830917876
治療,運動,130,0.1480637813211845
れる,友人,130,0.08135168961201501
友人,眼,130,0.0681699003670687
休憩,昼食,129,0.32575757575757575
倒れる,搬送,129,0.1643312101910828
ボール,顔面,129,0.07856272838002436
強打,練習,129,0.06498740554156171
しまう,部,129,0.05695364238410596
バッティング,野球,128,0.21333333333333335
強い,練習,128,0.06652806652806653
投げる,部,128,0.06228710462287105
練習,転倒,128,0.054841473864610114
相手,蹴る,127,0.13525026624068157
外,部,127,0.065905552672548
しまう,練習,127,0.062346588119784
くる,飛ぶ,126,0.2032258064516129
場,搬送,125,0.12588116817724068
バッティング,ボール,125,0.09419743782969103
友人,負傷,125,0.0733568075117371
受診,部,125,0.06338742393509128
昼食,時間,124,0.17079889807162535
直撃,野球,123,0.16120576671035386
れる,相手,123,0.07105719237435008
手術,救急,122,0.2023217247097844
場,救急,122,0.12236710130391174
外傷,残る,121,0.14037122969837587
ボール,取る,121,0.09009679821295608
強い,当たる,121,0.07459926017262639
教室,負傷,121,0.07455329636475662
足,部,120,0.0535475234270415
チーム,相手,119,0.16573816155988857
れる,試合,119,0.06734578381437464
練習,障害,119,0.06513409961685823
れる,当たる,119,0.05094178082191781
場,試合,118,0.08812546676624347
当たる,時間,118,0.06286627597229622
休憩,残る,117,0.11142857142857143
搬送,運動,116,0.12314225053078556
くる,走る,116,0.11361410381978453
地面,転倒,116,0.10861423220973783
れる,顔面,116,0.0728643216080402
機能,部,116,0.059763008758371976
サッカー,場,115,0.11330049261083744
倒れる,救急,114,0.14232209737827714
残る,骨折,114,0.10867492850333652
負傷,足,114,0.06826347305389222
友人,当たる,114,0.06503137478608101
蹴る,部,114,0.05449330783938815
救急,運動,113,0.11945031712473574
場,時間,113,0.08599695585996955
手,負傷,113,0.06823671497584541
外傷,部,113,0.05910041841004184
部,頭部,113,0.05517578125
倒れる,病院,112,0.16716417910447762
打つ,野球,112,0.11012782694198624
球,練習,112,0.06682577565632458
負傷,走る,112,0.06451612903225806
散る,瞳,111,1.0
外傷,散る,111,0.5873015873015873
外傷,瞳,111,0.5873015873015873
性,散る,111,0.45121951219512196
性,瞳,111,0.45121951219512196
くる,負傷,111,0.06544811320754718
バッティング,打球,110,0.28350515463917525
倒れる,意識,110,0.17684887459807075
散る,眼,110,0.07493188010899182
眼,瞳,110,0.07493188010899182
れる,走る,110,0.06719609040928527
当たる,顔面,110,0.06332757628094415
救急,練習,110,0.05832449628844114
視力,部,110,0.05826271186440678
状,部,110,0.05753138075313807
減退,視力,109,0.6264367816091954
友人,遊ぶ,109,0.11707841031149302
時間,遊ぶ,109,0.10292728989612843
体育,転倒,109,0.0742001361470388
体育館,負傷,109,0.06761786600496278
残存,部,109,0.05541433655312659
手,部,109,0.048725972284309346
機能,障害,108,0.23841059602649006
滑る,足,108,0.15584415584415584
サッカー,運動,108,0.11226611226611227
減退,眼,108,0.07297297297297298
