列名,カテゴリ,p値,当該カテゴリ合計,BH補正p値,BH有意（5%）
競技種目,鉄棒運動,0.21294995614598677,35,0.4968832310073025,False
競技種目,走り幅跳び,0.2310171581066246,10,0.5145382157829366,False
場合別1,寄宿舎にあるとき,0.45054775822647686,23,0.5149117236874021,False
給付年度,2,0.27636760701995305,393,0.5250984533379108,False
給付年度,22,0.3154938554642851,467,0.5449439321655833,False
場合別2,自立活動,0.31157701137549193,24,0.5516059058645354,False
場合別2,大掃除,0.32106464738354784,13,0.5516059058645354,False
場合別2,その他健康安全・体育的行事,0.3348303452226324,26,0.5516059058645354,False
場合別2,文化的行事,0.33826175928554636,27,0.5516059058645354,False
場合別2,文化的クラブ活動,0.35722854213534566,7,0.5516059058645354,False
場合別2,林間学校,0.3696903075482427,2,0.5516059058645354,False
場合別2,文化的部活動,0.3723339864585614,48,0.5516059058645354,False
被災学校種,高専,0.5612389481075737,41,0.5612389481075737,False
被災学年,1,0.5754874801598029,2218,0.5873848223447302,False
被災学年,0,0.5873848223447302,4,0.5873848223447302,False
遊具等,ぶらんこ,0.11846511384709305,41,0.5923255692354652,False
競技種目,テニス（含ソフトテニス）,0.28781920206769634,111,0.6131800391877009,False
場合別2,水泳指導,0.4399068972147061,10,0.6284384245924374,False
場合別2,総合的な学習の時間,0.4653051600117768,46,0.641800220705899,False
給付年度,25,0.4355705516421869,380,0.6446242952765774,False
給付年度,21,0.4410587283471319,463,0.6446242952765774,False
遊具等,固定タイヤ,0.21892487682960535,9,0.656774630488816,False
遊具等,砂場,0.21892487682960535,9,0.656774630488816,False
給付年度,29,0.48396921747063293,398,0.6568153665672876,False
給付年度,26,0.571733129747467,409,0.6751961637004666,False
給付年度,24,0.6160183940245896,411,0.6751961637004666,False
給付年度,27,0.6238629208128466,431,0.6751961637004666,False
給付年度,4,0.6396595235057052,259,0.6751961637004666,False
発生場所2,山林野（含スキー場）,0.2871110961611449,66,0.6786262272899788,False
遊具等,シーソー,0.284240370535825,12,0.7106009263395626,False
発生場所2,体育館・屋内運動場,0.33974438659487327,1252,0.7144570842706913,False
発生場所2,農場,0.35722854213534566,7,0.7144570842706913,False
競技種目,縄跳び,0.35722854213534566,7,0.7245930027945557,False
競技種目,登山,0.3696903075482427,2,0.7245930027945557,False
発生場所2,学校外体育館,0.39343703498835897,173,0.7306687792640952,False
競技種目,弓道,0.4030653130225181,9,0.7505655207752411,False
競技種目,短距離走,0.41357691961084714,37,0.7505655207752411,False
競技種目,ドッジボール,0.45054775822647686,23,0.7884585768963345,False
遊具等,遊動円木,0.3696903075482427,2,0.7921935161748058,False
場合別2,運動会・体育祭,0.5972972554375897,88,0.7963963405834529,False
競技種目,ボクシング,0.47950785987491473,12,0.7993077502588107,False
競技種目,スケート,0.4996096100418797,3,0.7993077502588107,False
競技種目,自転車競技,0.5056844950616965,14,0.7993077502588107,False
競技種目,走り高跳び,0.5283788377087216,35,0.80908009524148,False
場合別1,学校行事,0.8443017041061053,375,0.8443017041061053,False
場合別2,競技大会・球技大会,0.672629974402241,77,0.8679096443899885,False
遊具等,鉄棒,0.4664588274193183,72,0.8746103014112219,False
発生場所1,学校内・校舎外（園内・園舎外）,0.9075635160306132,2933,0.9075635160306131,False
発生場所2,海・湖・沼・池,0.5506134987553498,17,0.9543967311759397,False
場合別2,授業終了後の特定時間中,0.7652715129759449,285,0.956589391219931,False
遊具等,回旋塔,0.5873848223447302,4,0.9789747039078835,False
遊具等,その他,0.6600551750785628,31,0.9900827626178442,False
競技種目,陸上競技（その他）,0.6713255796648725,34,0.9968167698054168,False
場合別2,その他学級活動,0.8235978806615722,31,0.9983004614079665,False
通学方法,バス,0.5873848223447302,4,1.0,False
発生場所2,廊下,0.6436655689407678,488,1.0,False
競技種目,相撲,0.6981602726170697,10,1.0,False
競技種目,空手,0.7209685622040696,12,1.0,False
発生場所2,便所,0.728997060020524,51,1.0,False
発生場所2,公園・遊園地,0.7330782597123809,53,1.0,False
発生場所2,運動場・校庭（園庭）,0.7681847278431102,2726,1.0,False
通学方法,徒歩,0.7917566275120935,202,1.0,False
競技種目,体操（その他）,0.8027352127868521,24,1.0,False
遊具等,すべり台,0.819442834788541,29,1.0,False
競技種目,剣道,0.8208112283051046,30,1.0,False
競技種目,準備・整理運動,0.8324967752034671,33,1.0,False
場合別2,その他集団宿泊的行事,0.8669497995205375,55,1.0,False
発生場所2,階段,0.9091414686567048,119,1.0,False
給付年度,28,1.0,388,1.0,False
場合別2,修学旅行,1.0,30,1.0,False
場合別2,児童（生徒・学生）会活動,1.0,19,1.0,False
場合別2,勤労生産・奉仕的行事,1.0,6,1.0,False
場合別2,日常の清掃,1.0,129,1.0,False
場合別2,農業,1.0,9,1.0,False
場合別2,道徳,1.0,1,1.0,False
競技種目,その他,1.0,127,1.0,False
競技種目,スキー,1.0,19,1.0,False
競技種目,ハンドボール,1.0,67,1.0,False
競技種目,ポートボール,1.0,4,1.0,False
競技種目,ヨット,1.0,2,1.0,False
競技種目,器械体操・新体操（その他）,1.0,7,1.0,False
競技種目,武道等（その他）,1.0,3,1.0,False
競技種目,準備運動等,1.0,1,1.0,False
競技種目,筋力トレーニング,1.0,11,1.0,False
競技種目,自転車競技部,1.0,1,1.0,False
競技種目,運動なし,1.0,3,1.0,False
通学方法,その他,1.0,1,1.0,False
通学方法,自動車,1.0,1,1.0,False
通学方法,鉄道,1.0,8,1.0,False
発生場所2,公園,1.0,1,1.0,False
発生場所2,屋上,1.0,3,1.0,False
発生場所2,手足洗場,1.0,3,1.0,False
発生場所2,排水溝,1.0,2,1.0,False
発生場所2,水飲み場,1.0,2,1.0,False
発生場所2,講堂,1.0,18,1.0,False
遊具等,ジャングルジム,1.0,17,1.0,False
遊具等,施設を使用していない,1.0,3,1.0,False
遊具等,登り棒,1.0,7,1.0,False
遊具等,雲てい,1.0,17,1.0,False
