主成分,順位,特徴,負荷量,絶対負荷量
PC8,20,性別_男,-0.04201624542474747,0.04201624542474747
PC9,1,被災学校種_小,0.6357685327529907,0.6357685327529907
PC9,2,被災学校種_高,-0.37622711062431335,0.37622711062431335
PC9,3,競技種目_（欠損）,-0.2350953370332718,0.2350953370332718
PC9,4,発生場所1_学校外（園外）,0.23409488797187805,0.23409488797187805
PC9,5,場合別2_（欠損）,-0.18003065884113312,0.18003065884113312
PC9,6,場合別1_保育中,-0.17119082808494568,0.17119082808494568
PC9,7,被災学年_6,0.16048969328403473,0.16048969328403473
PC9,8,場合別2_体育的部活動,0.15556776523590088,0.15556776523590088
PC9,9,発生場所2_学校外運動場・競技場,0.15323665738105774,0.15323665738105774
PC9,10,場合別1_課外指導,0.14951805770397186,0.14951805770397186
PC9,11,発生場所1_学校内・校舎内（園内・園舎内）,-0.13116072118282318,0.13116072118282318
PC9,12,被災学年_3,-0.1295696645975113,0.1295696645975113
PC9,13,被災学年_2,-0.12054656445980072,0.12054656445980072
PC9,14,発生場所2_教室（保育室）,-0.12028618901968002,0.12028618901968002
PC9,15,被災学校種_保,-0.11933483183383942,0.11933483183383942
PC9,16,被災学年_5,0.10674796998500824,0.10674796998500824
PC9,17,発生場所2_運動場・校庭（園庭）,-0.10472065955400467,0.10472065955400467
PC9,18,発生場所1_学校内・校舎外（園内・園舎外）,-0.10293417423963547,0.10293417423963547
PC9,19,被災学年_1,-0.09598314762115479,0.09598314762115479
PC9,20,場合別2_体育（保健体育）,0.085071861743927,0.085071861743927
PC10,1,場合別1_休憩時間,0.4787152111530304,0.4787152111530304
PC10,2,場合別2_（欠損）,-0.3935987055301666,0.3935987055301666
PC10,3,場合別1_保育中,-0.3842918574810028,0.3842918574810028
PC10,4,被災学校種_保,-0.2613068222999573,0.2613068222999573
PC10,5,被災学校種_高,0.2579450309276581,0.2579450309276581
PC10,6,被災学年_3,0.21261009573936462,0.21261009573936462
PC10,7,場合別2_休憩時間中,0.1911117285490036,0.1911117285490036
PC10,8,発生場所2_教室（保育室）,-0.18511545658111572,0.18511545658111572
PC10,9,場合別2_昼食時休憩時間中,0.16382700204849243,0.16382700204849243
PC10,10,被災学年_5,-0.15141791105270386,0.15141791105270386
PC10,11,発生場所2_体育館・屋内運動場,0.12767885625362396,0.12767885625362396
PC10,12,被災学年_4,-0.12178058922290802,0.12178058922290802
PC10,13,被災学校種_中,0.11217157542705536,0.11217157542705536
PC10,14,被災学校種_幼,-0.11190161108970642,0.11190161108970642
PC10,15,場合別1_特別活動（除学校行事）,-0.10575485229492188,0.10575485229492188
PC10,16,被災学年_2,0.08968564122915268,0.08968564122915268
PC10,17,発生場所2_廊下,0.08399079740047455,0.08399079740047455
PC10,18,場合別2_授業終了後の特定時間中,0.0836326852440834,0.0836326852440834
PC10,19,場合別1_通学中,0.08257365226745605,0.08257365226745605
PC10,20,通学方法_（欠損）,-0.08257362246513367,0.08257362246513367
