列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
発生場所2,遊戯室,歯牙障害以外,30,23.818016141629784,2.795898743084858,True
発生場所2,遊戯室,歯牙障害,0,6.1819838583702165,-2.7958987430848574,True
発生場所2,運動場・校庭（園庭）,歯牙障害以外,2159,2164.2637334027595,-0.310318016436484,False
発生場所2,運動場・校庭（園庭）,歯牙障害,567,561.7362665972403,0.31031801643649737,False
発生場所2,道路,歯牙障害以外,343,489.06326477479826,-15.17069618867626,True
発生場所2,道路,歯牙障害,273,126.93673522520177,15.170696188676253,True
発生場所2,階段,歯牙障害以外,94,94.47813069513148,-0.10921134978634323,False
発生場所2,階段,歯牙障害,25,24.521869304868524,0.1092113497863416,False
遊具等,すべり台,歯牙障害以外,24,23.024082270242126,0.44889010530410905,False
遊具等,すべり台,歯牙障害,5,5.975917729757875,-0.4488901053041095,False
遊具等,その他,歯牙障害以外,26,24.611950013017445,0.6175993618931938,False
遊具等,その他,歯牙障害,5,6.388049986982557,-0.6175993618931946,False
遊具等,ぶらんこ,歯牙障害以外,37,32.551288726894036,1.7223002805985868,False
遊具等,ぶらんこ,歯牙障害,4,8.448711273105962,-1.722300280598586,False
遊具等,シーソー,歯牙障害以外,8,9.527206456651914,-1.090815063394894,False
遊具等,シーソー,歯牙障害,4,2.4727935433480863,1.0908150633948936,False
遊具等,ジャングルジム,歯牙障害以外,14,13.496875813590211,0.30202043954184715,False
遊具等,ジャングルジム,歯牙障害,3,3.503124186409789,-0.30202043954184743,False
遊具等,回旋塔,歯牙障害以外,4,3.175735485550638,1.0191878412091702,False
遊具等,回旋塔,歯牙障害,0,0.8242645144493621,-1.0191878412091702,False
遊具等,固定タイヤ,歯牙障害以外,9,7.145404842488936,1.529279785008975,False
遊具等,固定タイヤ,歯牙障害,0,1.8545951575110649,-1.5292797850089754,False
遊具等,施設を使用していない,歯牙障害以外,3,2.3818016141629785,0.8825850886525163,False
遊具等,施設を使用していない,歯牙障害,0,0.6181983858370216,-0.8825850886525164,False
遊具等,登り棒,歯牙障害以外,6,5.557537099713616,0.41364742944248073,False
遊具等,登り棒,歯牙障害,1,1.4424629002863838,-0.4136474294424805,False
遊具等,砂場,歯牙障害以外,9,7.145404842488936,1.529279785008975,False
遊具等,砂場,歯牙障害,0,1.8545951575110649,-1.5292797850089754,False
遊具等,総合遊具・アスレティック,歯牙障害以外,22,17.46654517052851,2.3930140460677416,True
遊具等,総合遊具・アスレティック,歯牙障害,0,4.533454829471491,-2.3930140460677416,True
遊具等,遊動円木,歯牙障害以外,1,1.587867742775319,-1.0278404444245048,False
遊具等,遊動円木,歯牙障害,1,0.41213225722468105,1.0278404444245048,False
遊具等,鉄棒,歯牙障害以外,60,57.163238739911485,0.8304354704199945,False
遊具等,鉄棒,歯牙障害,12,14.836761260088519,-0.8304354704199955,False
遊具等,雲てい,歯牙障害以外,14,13.496875813590211,0.30202043954184715,False
遊具等,雲てい,歯牙障害,3,3.503124186409789,-0.30202043954184743,False
遊具等,（欠損）,歯牙障害以外,5862,5880.668185368394,-2.8343681915203565,True
遊具等,（欠損）,歯牙障害,1545,1526.3318146316064,2.834368191520287,True
