全候補内順位,因子,カテゴリ,研究テーマ候補,方向,歯牙障害件数,歯牙障害以外件数,合計件数,歯牙障害群内割合（％）,歯牙障害以外群内割合（％）,割合差（pt）,オッズ比,95%CI下限,95%CI上限,絶対log2OR,Fisher_p値,BH補正p値,効果量点,割合差点,統計的確実性点,対象規模点,研究優先度スコア,解釈上の注意
14,場合別2,体育的部活動,場合別2「体育的部活動」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,674,2081,2755,42.57738471257107,34.120347597966884,8.457037114604184,1.4316401366229847,1.2789024041162174,1.602619147632493,0.5176688959857085,6.240279305550517e-10,5.712255672003935e-09,52.10084033613446,93.27731092436974,89.91596638655463,94.9579831932773,78.27731092436976,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
15,競技種目,ソフトボール,競技種目「ソフトボール」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,75,138,213,4.737839545167404,2.2626660108214462,2.4751735343459575,2.1483248760235267,1.6126747669135562,2.8618912304150257,1.1032121784198738,6.905050252460703e-07,4.565005444682354e-06,83.19327731092437,75.63025210084034,85.71428571428571,50.42016806722689,77.01680672268908,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
16,場合別1,課外指導,場合別1「課外指導」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,687,2159,2846,43.39861023373342,35.39924577799639,7.99936445573703,1.399240306358764,1.250482710889833,1.5656941258674109,0.48464375308172936,5.940714327555703e-09,4.712966699860858e-08,48.739495798319325,92.43697478991596,88.23529411764706,95.7983193277311,76.59663865546219,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
17,被災学年,5,被災学年「5」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,58,403,461,3.663929248262792,6.6076405968191505,-2.9437113485563584,0.5375552210877436,0.40586977830637777,0.7119663280288936,0.8955151297716085,4.430035830117429e-06,2.3382494808148492e-05,70.58823529411765,80.67226890756302,81.9327731092437,71.42857142857143,76.07142857142857,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
18,被災学年,6,被災学年「6」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,54,384,438,3.41124447252053,6.296114117068371,-2.884869644547841,0.5256192773054283,0.3931462025114892,0.7027299841895509,0.9279099068166519,4.519305719221978e-06,2.3382494808148492e-05,71.42857142857143,79.83193277310924,81.9327731092437,69.74789915966386,75.90336134453781,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
19,競技種目,バスケットボール,競技種目「バスケットボール」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,112,233,345,7.075173720783323,3.82029840957534,3.254875311207983,1.9168648229139618,1.5192180762000151,2.418593358575348,0.9387486019054495,1.246241520650917e-07,8.723690644556418e-07,72.26890756302521,81.5126050420168,86.5546218487395,56.30252100840336,75.7563025210084,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
20,発生場所2,昇降口・玄関,発生場所2「昇降口・玄関」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,6,96,102,0.3790271636133923,1.5740285292670928,-1.1950013656537006,0.23791217501585288,0.10408897933276745,0.5437867042563583,2.071498992163613,5.8905087528997945e-05,0.0002696040544596444,97.47899159663865,64.70588235294117,78.99159663865547,37.81512605042017,75.7142857142857,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
21,和暦,平成,和暦「平成」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,1313,4725,6038,82.94377763739735,77.47171667486474,5.472060962532609,1.4141187536743092,1.224353656858024,1.6332959339747943,0.49990327866435874,1.6955151302932269e-06,9.607919071661618e-06,50.42016806722689,87.39495798319328,83.61344537815127,100.0,75.39915966386555,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
22,場合別1,各教科等,場合別1「各教科等」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,233,1226,1459,14.718888186986733,20.101656009181834,-5.382767822195101,0.6860062836082412,0.5889792692608868,0.7990172926469126,0.5437063037823788,8.032428321998493e-07,5.030836685883267e-06,55.46218487394958,86.5546218487395,84.87394957983193,85.71428571428571,75.12605042016807,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
23,競技種目,バドミントン,競技種目「バドミントン」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,12,125,137,0.7580543272267846,2.0495163141498605,-1.291461986923076,0.3650566518141311,0.2013635119649216,0.6618197990952764,1.4538077269243368,0.0002515547916919276,0.0009656458132690124,91.59663865546219,67.22689075630252,74.78991596638656,43.69747899159664,74.11764705882354,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
