前件,後件,項目数,共起事例数,支持度,信頼度,lift
発生場所2=教室（保育室） | 被災学校種=保,場合別1=保育中,3,107,0.013928664410309816,1.0,20.21578947368421
場合別1=保育中,発生場所2=教室（保育室） | 被災学校種=保,3,107,0.013928664410309816,0.28157894736842104,20.215789473684207
被災学校種=保,場合別1=保育中,2,249,0.032413434001562096,0.996,20.134926315789475
場合別1=保育中,被災学校種=保,2,249,0.032413434001562096,0.6552631578947369,20.134926315789475
場合別1=保育中,和暦=平成 | 被災学校種=保,3,199,0.02590471231450143,0.5236842105263158,20.11471052631579
和暦=平成 | 被災学校種=保,場合別1=保育中,3,199,0.02590471231450143,0.995,20.11471052631579
場合別1=保育中,性別=男 | 被災学校種=保,3,133,0.017313199687581358,0.35,20.06492537313433
性別=男 | 被災学校種=保,場合別1=保育中,3,133,0.017313199687581358,0.9925373134328358,20.06492537313433
被災学校種=幼,場合別1=保育中,2,118,0.015360583181463161,0.9915966386554622,20.04590888987174
場合別1=保育中,被災学校種=幼,2,118,0.015360583181463161,0.3105263157894737,20.04590888987174
場合別1=保育中,和暦=平成 | 被災学校種=幼,3,105,0.01366831554282739,0.27631578947368424,20.025074478649454
和暦=平成 | 被災学校種=幼,場合別1=保育中,3,105,0.01366831554282739,0.9905660377358491,20.025074478649454
被災学校種=保,和暦=平成 | 場合別1=保育中,3,199,0.02590471231450143,0.796,19.789229773462782
和暦=平成 | 場合別1=保育中,被災学校種=保,3,199,0.02590471231450143,0.6440129449838188,19.789229773462782
通学方法=自転車,場合別2=登校（登園）中 | 被災学校種=高,3,133,0.017313199687581358,0.37359550561797755,19.391626176738537
場合別2=登校（登園）中 | 被災学校種=高,通学方法=自転車,3,133,0.017313199687581358,0.8986486486486487,19.391626176738537
被災学校種=保,場合別1=保育中 | 性別=女,3,116,0.015100234313980734,0.464,19.0612192513369
場合別1=保育中 | 性別=女,被災学校種=保,3,116,0.015100234313980734,0.6203208556149733,19.061219251336897
通学方法=自転車,場合別1=通学中 | 被災学校種=高,3,260,0.033845352772715435,0.7303370786516854,18.890402148829114
場合別1=通学中 | 被災学校種=高,通学方法=自転車,3,260,0.033845352772715435,0.8754208754208754,18.890402148829114
和暦=平成 | 場合別2=下校（降園）中,通学方法=徒歩,3,124,0.01614162978391044,0.484375,18.420637376237625
通学方法=徒歩,和暦=平成 | 場合別2=下校（降園）中,3,124,0.01614162978391044,0.6138613861386139,18.42063737623762
通学方法=自転車,場合別2=下校（降園）中 | 被災学校種=高,3,116,0.015100234313980734,0.3258426966292135,18.270975149676044
場合別2=下校（降園）中 | 被災学校種=高,通学方法=自転車,3,116,0.015100234313980734,0.8467153284671532,18.270975149676044
通学方法=自転車,場合別2=登校（登園）中 | 被災学年=1,3,79,0.010283780265555844,0.22191011235955055,17.94435245416913
場合別2=登校（登園）中 | 被災学年=1,通学方法=自転車,3,79,0.010283780265555844,0.8315789473684211,17.94435245416913
発生場所2=道路 | 通学方法=徒歩,場合別2=下校（降園）中,3,126,0.016401978651392868,0.7411764705882353,17.84864466162641
場合別2=下校（降園）中,発生場所2=道路 | 通学方法=徒歩,3,126,0.016401978651392868,0.3949843260188088,17.848644661626405
通学方法=徒歩,場合別2=下校（降園）中 | 発生場所1=学校外（園外）,3,147,0.019135641759958345,0.7277227722772277,17.57976835419391
場合別2=下校（降園）中 | 発生場所1=学校外（園外）,通学方法=徒歩,3,147,0.019135641759958345,0.46226415094339623,17.57976835419391
場合別2=下校（降園）中,和暦=平成 | 通学方法=徒歩,3,124,0.01614162978391044,0.3887147335423197,17.56533284160059
和暦=平成 | 通学方法=徒歩,場合別2=下校（降園）中,3,124,0.01614162978391044,0.7294117647058823,17.56533284160059
発生場所2=道路 | 被災学校種=高,通学方法=自転車,3,256,0.03332465503775059,0.8126984126984127,17.53693597289103
通学方法=自転車,発生場所2=道路 | 被災学校種=高,3,256,0.03332465503775059,0.7191011235955056,17.536935972891026
被災学校種=小 | 通学方法=徒歩,場合別2=下校（降園）中,3,107,0.013928664410309816,0.7278911564625851,17.528714307039433
場合別2=下校（降園）中,被災学校種=小 | 通学方法=徒歩,3,107,0.013928664410309816,0.335423197492163,17.52871430703943
場合別2=下校（降園）中,通学方法=徒歩,2,147,0.019135641759958345,0.4608150470219436,17.524659362487974
通学方法=徒歩,場合別2=下校（降園）中,2,147,0.019135641759958345,0.7277227722772277,17.524659362487974
通学方法=徒歩,場合別1=通学中 | 場合別2=下校（降園）中,3,147,0.019135641759958345,0.7277227722772277,17.524659362487974
場合別2=下校（降園）中,場合別1=通学中 | 通学方法=徒歩,3,147,0.019135641759958345,0.4608150470219436,17.524659362487974
場合別1=通学中 | 通学方法=徒歩,場合別2=下校（降園）中,3,147,0.019135641759958345,0.7277227722772277,17.524659362487974
場合別1=通学中 | 場合別2=下校（降園）中,通学方法=徒歩,3,147,0.019135641759958345,0.4608150470219436,17.524659362487974
場合別2=下校（降園）中,発生場所1=学校外（園外） | 通学方法=徒歩,3,147,0.019135641759958345,0.4608150470219436,17.524659362487974
発生場所1=学校外（園外） | 通学方法=徒歩,場合別2=下校（降園）中,3,147,0.019135641759958345,0.7277227722772277,17.524659362487974
性別=男 | 通学方法=徒歩,場合別2=下校（降園）中,3,90,0.01171569903670919,0.72,17.338683385579937
場合別2=下校（降園）中,性別=男 | 通学方法=徒歩,3,90,0.01171569903670919,0.28213166144200624,17.338683385579934
場合別1=通学中 | 被災学校種=小,場合別2=下校（降園）中,3,110,0.014319187711533454,0.7142857142857143,17.201074787281687
場合別2=下校（降園）中,場合別1=通学中 | 被災学校種=小,3,110,0.014319187711533454,0.3448275862068966,17.201074787281684
通学方法=徒歩,場合別2=下校（降園）中 | 性別=男,3,90,0.01171569903670919,0.44554455445544555,16.695967157691378
場合別2=下校（降園）中 | 性別=男,通学方法=徒歩,3,90,0.01171569903670919,0.43902439024390244,16.695967157691378
通学方法=自転車,場合別2=登校（登園）中 | 発生場所2=道路,3,179,0.023301223639677168,0.5028089887640449,16.577590779765636
場合別2=登校（登園）中 | 発生場所2=道路,通学方法=自転車,3,179,0.023301223639677168,0.7682403433476395,16.577590779765636
通学方法=徒歩,場合別2=下校（降園）中 | 発生場所2=道路,3,126,0.016401978651392868,0.6237623762376238,16.466469327345106
場合別2=下校（降園）中 | 発生場所2=道路,通学方法=徒歩,3,126,0.016401978651392868,0.4329896907216495,16.466469327345106
発生場所2=道路 | 被災学校種=小,場合別2=下校（降園）中,3,103,0.013407966675344963,0.6776315789473685,16.31838805477644
場合別2=下校（降園）中,発生場所2=道路 | 被災学校種=小,3,103,0.013407966675344963,0.322884012539185,16.318388054776438
通学方法=自転車,場合別1=通学中 | 被災学年=1,3,162,0.02108825826607654,0.4550561797752809,16.183988764044944
場合別1=通学中 | 被災学年=1,通学方法=自転車,3,162,0.02108825826607654,0.75,16.183988764044944
場合別2=登校（登園）中,被災学校種=高 | 通学方法=自転車,3,133,0.017313199687581358,0.5341365461847389,15.781680568427557
被災学校種=高 | 通学方法=自転車,場合別2=登校（登園）中,3,133,0.017313199687581358,0.5115384615384615,15.781680568427554
発生場所2=道路 | 通学方法=自転車,場合別2=登校（登園）中,3,179,0.023301223639677168,0.5085227272727273,15.688640927345746
場合別2=登校（登園）中,発生場所2=道路 | 通学方法=自転車,3,179,0.023301223639677168,0.7188755020080321,15.688640927345745
場合別2=登校（登園）中,発生場所1=学校外（園外） | 通学方法=自転車,3,180,0.02343139807341838,0.7228915662650602,15.642966231121669
発生場所1=学校外（園外） | 通学方法=自転車,場合別2=登校（登園）中,3,180,0.02343139807341838,0.5070422535211268,15.642966231121669
通学方法=自転車,場合別2=登校（登園）中,2,180,0.02343139807341838,0.5056179775280899,15.599025314742114
場合別2=登校（登園）中,通学方法=自転車,2,180,0.02343139807341838,0.7228915662650602,15.599025314742114
通学方法=自転車,場合別1=通学中 | 場合別2=登校（登園）中,3,180,0.02343139807341838,0.5056179775280899,15.599025314742114
場合別2=登校（登園）中,場合別1=通学中 | 通学方法=自転車,3,180,0.02343139807341838,0.7228915662650602,15.599025314742114
場合別1=通学中 | 通学方法=自転車,場合別2=登校（登園）中,3,180,0.02343139807341838,0.5056179775280899,15.599025314742114
場合別1=通学中 | 場合別2=登校（登園）中,通学方法=自転車,3,180,0.02343139807341838,0.7228915662650602,15.599025314742114
通学方法=自転車,場合別2=登校（登園）中 | 発生場所1=学校外（園外）,3,180,0.02343139807341838,0.5056179775280899,15.599025314742114
場合別2=登校（登園）中 | 発生場所1=学校外（園外）,通学方法=自転車,3,180,0.02343139807341838,0.7228915662650602,15.599025314742114
場合別2=登校（登園）中,和暦=平成 | 通学方法=自転車,3,136,0.017703722988804998,0.5461847389558233,15.425702811244982
和暦=平成 | 通学方法=自転車,場合別2=登校（登園）中,3,136,0.017703722988804998,0.5,15.425702811244978
場合別2=登校（登園）中,場合別1=通学中 | 被災学校種=高,3,148,0.019265816193699558,0.5943775100401606,15.373764417941123
場合別1=通学中 | 被災学校種=高,場合別2=登校（登園）中,3,148,0.019265816193699558,0.4983164983164983,15.373764417941123
通学方法=自転車,発生場所2=道路 | 被災学年=1,3,160,0.020827909398594115,0.449438202247191,15.276921547181068
発生場所2=道路 | 被災学年=1,通学方法=自転車,3,160,0.020827909398594115,0.7079646017699115,15.276921547181066
通学方法=自転車,場合別2=登校（登園）中 | 性別=男,3,105,0.01366831554282739,0.2949438202247191,15.206432395746926
場合別2=登校（登園）中 | 性別=男,通学方法=自転車,3,105,0.01366831554282739,0.7046979865771812,15.206432395746926
通学方法=自転車,和暦=平成 | 場合別2=登校（登園）中,3,136,0.017703722988804998,0.38202247191011235,15.205682016650172
和暦=平成 | 場合別2=登校（登園）中,通学方法=自転車,3,136,0.017703722988804998,0.7046632124352331,15.20568201665017
場合別2=登校（登園）中,被災学年=1 | 通学方法=自転車,3,79,0.010283780265555844,0.3172690763052209,15.044821260350043
被災学年=1 | 通学方法=自転車,場合別2=登校（登園）中,3,79,0.010283780265555844,0.4876543209876543,15.04482126035004
発生場所2=学校外運動場・競技場,発生場所1=学校外（園外） | 競技種目=サッカー・フットサル,3,124,0.01614162978391044,0.2515212981744422,14.749516126534848
発生場所1=学校外（園外） | 競技種目=サッカー・フットサル,発生場所2=学校外運動場・競技場,3,124,0.01614162978391044,0.9465648854961832,14.749516126534848
和暦=令和 | 場合別1=通学中,通学方法=自転車,3,84,0.01093465243426191,0.6829268292682927,14.73664017539052
通学方法=自転車,和暦=令和 | 場合別1=通学中,3,84,0.01093465243426191,0.23595505617977527,14.736640175390516
発生場所1=学校外（園外） | 競技種目=野球（含軟式）,発生場所2=学校外運動場・競技場,3,229,0.02980994532673783,0.9346938775510204,14.564540298878173
発生場所2=学校外運動場・競技場,発生場所1=学校外（園外） | 競技種目=野球（含軟式）,3,229,0.02980994532673783,0.4645030425963489,14.564540298878171
通学方法=自転車,場合別1=通学中 | 被災学校種=中,3,82,0.010674303566779484,0.2303370786516854,14.385767790262172
場合別1=通学中 | 被災学校種=中,通学方法=自転車,3,82,0.010674303566779484,0.6666666666666666,14.385767790262172
場合別2=登校（登園）中,性別=男 | 通学方法=自転車,3,105,0.01366831554282739,0.42168674698795183,14.270473966349982
性別=男 | 通学方法=自転車,場合別2=登校（登園）中,3,105,0.01366831554282739,0.46255506607929514,14.27047396634998
場合別2=登校（登園）中,発生場所2=道路 | 被災学校種=高,3,144,0.018745118458734705,0.5783132530120482,14.103499713138266
発生場所2=道路 | 被災学校種=高,場合別2=登校（登園）中,3,144,0.018745118458734705,0.45714285714285713,14.103499713138266
場合別2=登校（登園）中,場合別1=通学中 | 性別=女,3,100,0.013017443374121323,0.40160642570281124,14.087399827620986
場合別1=通学中 | 性別=女,場合別2=登校（登園）中,3,100,0.013017443374121323,0.45662100456621,14.087399827620985
通学方法=自転車,場合別1=通学中 | 発生場所2=道路,3,352,0.045821400676907056,0.9887640449438202,13.96265697290152
場合別1=通学中 | 発生場所2=道路,通学方法=自転車,3,352,0.045821400676907056,0.6470588235294118,13.96265697290152
競技種目=マット運動,場合別2=体育（保健体育） | 発生場所2=体育館・屋内運動場,3,78,0.010153605831814632,0.9397590361445783,13.883132530120484
通学方法=徒歩,和暦=平成 | 場合別1=通学中,3,170,0.022129653736006248,0.8415841584158416,13.843789089829754
和暦=平成 | 場合別1=通学中,通学方法=徒歩,3,170,0.022129653736006248,0.3640256959314775,13.843789089829754
通学方法=自転車,和暦=令和 | 発生場所2=道路,3,84,0.01093465243426191,0.23595505617977527,13.731869254341165
和暦=令和 | 発生場所2=道路,通学方法=自転車,3,84,0.01093465243426191,0.6363636363636364,13.731869254341165
場合別2=登校（登園）中,場合別1=通学中 | 被災学年=1,3,95,0.012366571205415256,0.3815261044176707,13.56890525063216
場合別1=通学中 | 被災学年=1,場合別2=登校（登園）中,3,95,0.012366571205415256,0.4398148148148148,13.568905250632158
場合別1=通学中 | 被災学年=2,場合別2=下校（降園）中,3,100,0.013017443374121323,0.5617977528089888,13.528935225951889
場合別2=下校（降園）中,場合別1=通学中 | 被災学年=2,3,100,0.013017443374121323,0.31347962382445144,13.528935225951887
競技種目=マット運動,場合別2=体育（保健体育） | 発生場所1=学校内・校舎内（園内・園舎内）,3,78,0.010153605831814632,0.9397590361445783,13.493885823668506
競技種目=マット運動,場合別1=各教科等 | 発生場所2=体育館・屋内運動場,3,78,0.010153605831814632,0.9397590361445783,13.468710663549723
通学方法=自転車,発生場所2=道路 | 被災学校種=中,3,82,0.010674303566779484,0.2303370786516854,13.404919986380662
発生場所2=道路 | 被災学校種=中,通学方法=自転車,3,82,0.010674303566779484,0.6212121212121212,13.40491998638066
通学方法=徒歩,場合別1=通学中 | 性別=女,3,77,0.010023431398073419,0.3811881188118812,13.371174103711741
場合別1=通学中 | 性別=女,通学方法=徒歩,3,77,0.010023431398073419,0.3515981735159817,13.37117410371174
場合別2=下校（降園）中,場合別1=通学中 | 性別=男,3,205,0.026685758916948712,0.6426332288401254,13.306491816576397
場合別1=通学中 | 性別=男,場合別2=下校（降園）中,3,205,0.026685758916948712,0.5525606469002695,13.306491816576397
場合別2=登校（登園）中,性別=女 | 発生場所2=道路,3,94,0.012236396771674042,0.37751004016064255,13.242155837963727
性別=女 | 発生場所2=道路,場合別2=登校（登園）中,3,94,0.012236396771674042,0.4292237442922374,13.242155837963725
場合別2=登校（登園）中,場合別1=通学中 | 発生場所2=道路,3,233,0.030330643061702682,0.9357429718875502,13.213929246397354
場合別1=通学中 | 発生場所2=道路,場合別2=登校（登園）中,3,233,0.030330643061702682,0.42830882352941174,13.213929246397353
場合別1=通学中 | 性別=男,通学方法=自転車,3,227,0.029549596459255402,0.6118598382749326,13.203110330415821
通学方法=自転車,場合別1=通学中 | 性別=男,3,227,0.029549596459255402,0.6376404494382022,13.20311033041582
和暦=平成 | 場合別1=通学中,場合別2=下校（降園）中,3,256,0.03332465503775059,0.5481798715203426,13.20099615366543
場合別2=下校（降園）中,和暦=平成 | 場合別1=通学中,3,256,0.03332465503775059,0.8025078369905956,13.200996153665429
通学方法=自転車,場合別1=通学中 | 被災学年=2,3,108,0.014058838844051028,0.30337078651685395,13.092665067541978
場合別1=通学中 | 被災学年=2,通学方法=自転車,3,108,0.014058838844051028,0.6067415730337079,13.092665067541978
場合別2=登校（登園）中,場合別1=通学中 | 発生場所1=学校外（園外）,3,249,0.032413434001562096,1.0,13.042444821731749
通学方法=徒歩,場合別1=通学中 | 発生場所1=学校外（園外）,3,202,0.026295235615725072,1.0,13.042444821731749
場合別1=通学中 | 発生場所1=学校外（園外）,通学方法=徒歩,3,202,0.026295235615725072,0.34295415959252973,13.042444821731749
場合別1=通学中 | 発生場所1=学校外（園外）,場合別2=登校（登園）中,3,249,0.032413434001562096,0.4227504244482173,13.042444821731747
場合別1=通学中,場合別2=下校（降園）中 | 発生場所1=学校外（園外）,3,318,0.0413954699297058,0.5389830508474577,13.02033898305085
場合別1=通学中,通学方法=自転車,2,356,0.04634209841187191,0.6033898305084746,13.020338983050848
場合別1=通学中,発生場所2=道路 | 通学方法=自転車,3,352,0.045821400676907056,0.5966101694915255,13.020338983050848
場合別1=通学中,場合別2=下校（降園）中,2,319,0.041525644363447016,0.5406779661016949,13.020338983050848
場合別1=通学中,和暦=平成 | 通学方法=自転車,3,272,0.035407445977609996,0.4610169491525424,13.020338983050848
場合別1=通学中,被災学校種=高 | 通学方法=自転車,3,260,0.033845352772715435,0.4406779661016949,13.020338983050848
場合別1=通学中,場合別2=下校（降園）中 | 性別=男,3,205,0.026685758916948712,0.3474576271186441,13.020338983050848
場合別1=通学中,和暦=平成 | 場合別2=登校（登園）中,3,193,0.02512366571205415,0.3271186440677966,13.020338983050848
場合別1=通学中,場合別2=登校（登園）中 | 通学方法=自転車,3,180,0.02343139807341838,0.3050847457627119,13.020338983050848
場合別1=通学中,和暦=平成 | 通学方法=徒歩,3,170,0.022129653736006248,0.288135593220339,13.020338983050848
場合別1=通学中,発生場所2=道路 | 通学方法=徒歩,3,170,0.022129653736006248,0.288135593220339,13.020338983050848
場合別1=通学中,被災学年=1 | 通学方法=自転車,3,162,0.02108825826607654,0.2745762711864407,13.020338983050848
場合別1=通学中,場合別2=登校（登園）中 | 性別=男,3,149,0.01939599062744077,0.25254237288135595,13.020338983050848
場合別1=通学中,場合別2=下校（降園）中 | 通学方法=徒歩,3,147,0.019135641759958345,0.24915254237288137,13.020338983050848
