前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別1=課外指導 | 発生場所2=学校外運動場・競技場,発生場所1=学校外（園外）,3,477,0.06209320489455871,1.0,4.753712871287129
場合別2=体育的部活動 | 発生場所2=学校外運動場・競技場,発生場所1=学校外（園外）,3,476,0.0619630304608175,1.0,4.753712871287129
発生場所1=学校外（園外）,性別=男 | 発生場所2=学校外運動場・競技場,3,448,0.058318146316063524,0.27722772277227725,4.753712871287129
性別=男 | 発生場所2=学校外運動場・競技場,発生場所1=学校外（園外）,3,448,0.058318146316063524,1.0,4.753712871287129
発生場所1=学校外（園外）,性別=男 | 発生場所2=道路,3,397,0.05167925019526165,0.24566831683168316,4.753712871287129
性別=男 | 発生場所2=道路,発生場所1=学校外（園外）,3,397,0.05167925019526165,1.0,4.753712871287129
発生場所1=学校外（園外）,和暦=平成 | 発生場所2=学校外運動場・競技場,3,375,0.048815412652954956,0.23205445544554457,4.753712871287129
和暦=平成 | 発生場所2=学校外運動場・競技場,発生場所1=学校外（園外）,3,375,0.048815412652954956,1.0,4.753712871287129
発生場所1=学校外（園外）,場合別1=通学中 | 性別=男,3,371,0.04829471491799011,0.2295792079207921,4.753712871287129
場合別1=通学中 | 性別=男,発生場所1=学校外（園外）,3,371,0.04829471491799011,1.0,4.753712871287129
発生場所1=学校外（園外）,発生場所2=道路 | 通学方法=自転車,3,352,0.045821400676907056,0.21782178217821782,4.753712871287129
発生場所2=道路 | 通学方法=自転車,発生場所1=学校外（園外）,3,352,0.045821400676907056,1.0,4.753712871287129
発生場所1=学校外（園外）,発生場所2=学校外運動場・競技場 | 被災学校種=高,3,352,0.045821400676907056,0.21782178217821782,4.753712871287129
発生場所2=学校外運動場・競技場 | 被災学校種=高,発生場所1=学校外（園外）,3,352,0.045821400676907056,1.0,4.753712871287129
発生場所2=道路 | 被災学校種=高,発生場所1=学校外（園外）,3,315,0.04100494662848217,1.0,4.753712871287129
場合別2=下校（降園）中 | 発生場所2=道路,発生場所1=学校外（園外）,3,291,0.03788076021869305,1.0,4.753712871287129
場合別2=登校（登園）中,発生場所1=学校外（園外）,2,249,0.032413434001562096,1.0,4.753712871287129
場合別1=通学中 | 場合別2=登校（登園）中,発生場所1=学校外（園外）,3,249,0.032413434001562096,1.0,4.753712871287129
場合別2=登校（登園）中 | 発生場所2=道路,発生場所1=学校外（園外）,3,233,0.030330643061702682,1.0,4.753712871287129
発生場所2=学校外運動場・競技場 | 競技種目=野球（含軟式）,発生場所1=学校外（園外）,3,229,0.02980994532673783,1.0,4.753712871287129
性別=男 | 通学方法=自転車,発生場所1=学校外（園外）,3,227,0.029549596459255402,1.0,4.753712871287129
発生場所2=道路 | 被災学年=1,発生場所1=学校外（園外）,3,226,0.02941942202551419,1.0,4.753712871287129
性別=女 | 発生場所2=道路,発生場所1=学校外（園外）,3,219,0.028508200989325695,1.0,4.753712871287129
発生場所2=学校外運動場・競技場 | 被災学年=2,発生場所1=学校外（園外）,3,210,0.02733663108565478,1.0,4.753712871287129
場合別2=下校（降園）中 | 性別=男,発生場所1=学校外（園外）,3,205,0.026685758916948712,1.0,4.753712871287129
通学方法=徒歩,発生場所1=学校外（園外）,2,202,0.026295235615725072,1.0,4.753712871287129
場合別1=通学中 | 通学方法=徒歩,発生場所1=学校外（園外）,3,202,0.026295235615725072,1.0,4.753712871287129
和暦=平成 | 場合別2=登校（登園）中,発生場所1=学校外（園外）,3,193,0.02512366571205415,1.0,4.753712871287129
発生場所2=道路 | 被災学年=2,発生場所1=学校外（園外）,3,182,0.02369174694090081,1.0,4.753712871287129
場合別2=登校（登園）中 | 通学方法=自転車,発生場所1=学校外（園外）,3,180,0.02343139807341838,1.0,4.753712871287129
場合別1=通学中 | 被災学年=2,発生場所1=学校外（園外）,3,178,0.023171049205935955,1.0,4.753712871287129
発生場所2=学校外体育館,発生場所1=学校外（園外）,2,173,0.022520177037229888,1.0,4.753712871287129
和暦=平成 | 通学方法=徒歩,発生場所1=学校外（園外）,3,170,0.022129653736006248,1.0,4.753712871287129
発生場所2=道路 | 通学方法=徒歩,発生場所1=学校外（園外）,3,170,0.022129653736006248,1.0,4.753712871287129
場合別1=課外指導 | 発生場所2=学校外体育館,発生場所1=学校外（園外）,3,165,0.02147878156730018,1.0,4.753712871287129
場合別2=体育的部活動 | 発生場所2=学校外体育館,発生場所1=学校外（園外）,3,164,0.021348607133558968,1.0,4.753712871287129
場合別1=通学中 | 被災学校種=小,発生場所1=学校外（園外）,3,154,0.020046862796146838,1.0,4.753712871287129
発生場所2=道路 | 被災学校種=小,発生場所1=学校外（園外）,3,152,0.01978651392866441,1.0,4.753712871287129
発生場所2=学校外運動場・競技場 | 被災学年=1,発生場所1=学校外（園外）,3,150,0.019526165061181985,1.0,4.753712871287129
場合別2=登校（登園）中 | 性別=男,発生場所1=学校外（園外）,3,149,0.01939599062744077,1.0,4.753712871287129
場合別2=登校（登園）中 | 被災学校種=高,発生場所1=学校外（園外）,3,148,0.019265816193699558,1.0,4.753712871287129
場合別2=下校（降園）中 | 通学方法=徒歩,発生場所1=学校外（園外）,3,147,0.019135641759958345,1.0,4.753712871287129
被災学校種=小 | 通学方法=徒歩,発生場所1=学校外（園外）,3,147,0.019135641759958345,1.0,4.753712871287129
発生場所2=道路 | 被災学年=3,発生場所1=学校外（園外）,3,140,0.01822442072376985,1.0,4.753712871287129
場合別1=通学中 | 被災学年=3,発生場所1=学校外（園外）,3,134,0.01744337412132257,1.0,4.753712871287129
和暦=平成 | 発生場所2=学校外体育館,発生場所1=学校外（園外）,3,133,0.017313199687581358,1.0,4.753712871287129
発生場所2=道路 | 被災学校種=中,発生場所1=学校外（園外）,3,132,0.017183025253840144,1.0,4.753712871287129
和暦=令和 | 発生場所2=道路,発生場所1=学校外（園外）,3,132,0.017183025253840144,1.0,4.753712871287129
発生場所2=学校外運動場・競技場 | 被災学校種=中,発生場所1=学校外（園外）,3,131,0.01705285082009893,1.0,4.753712871287129
発生場所2=学校外運動場・競技場 | 被災学年=3,発生場所1=学校外（園外）,3,130,0.016922676386357718,1.0,4.753712871287129
性別=男 | 通学方法=徒歩,発生場所1=学校外（園外）,3,125,0.016271804217651654,1.0,4.753712871287129
発生場所2=学校外運動場・競技場 | 競技種目=サッカー・フットサル,発生場所1=学校外（園外）,3,124,0.01614162978391044,1.0,4.753712871287129
場合別1=通学中 | 被災学校種=中,発生場所1=学校外（園外）,3,123,0.016011455350169228,1.0,4.753712871287129
和暦=令和 | 場合別1=通学中,発生場所1=学校外（園外）,3,123,0.016011455350169228,1.0,4.753712871287129
和暦=令和 | 発生場所2=学校外運動場・競技場,発生場所1=学校外（園外）,3,118,0.015360583181463161,1.0,4.753712871287129
性別=男 | 発生場所2=学校外体育館,発生場所1=学校外（園外）,3,114,0.014839885446498308,1.0,4.753712871287129
場合別2=下校（降園）中 | 被災学校種=小,発生場所1=学校外（園外）,3,110,0.014319187711533454,1.0,4.753712871287129
被災学年=2 | 通学方法=自転車,発生場所1=学校外（園外）,3,108,0.014058838844051028,1.0,4.753712871287129
場合別2=下校（降園）中 | 被災学年=2,発生場所1=学校外（園外）,3,100,0.013017443374121323,1.0,4.753712871287129
場合別2=登校（登園）中 | 性別=女,発生場所1=学校外（園外）,3,100,0.013017443374121323,1.0,4.753712871287129
発生場所2=学校外体育館 | 被災学校種=高,発生場所1=学校外（園外）,3,98,0.012757094506638896,1.0,4.753712871287129
場合別2=登校（登園）中 | 被災学年=1,発生場所1=学校外（園外）,3,95,0.012366571205415256,1.0,4.753712871287129
和暦=令和 | 通学方法=自転車,発生場所1=学校外（園外）,3,84,0.01093465243426191,1.0,4.753712871287129
被災学校種=中 | 通学方法=自転車,発生場所1=学校外（園外）,3,82,0.010674303566779484,1.0,4.753712871287129
被災学年=3 | 通学方法=自転車,発生場所1=学校外（園外）,3,80,0.010413954699297057,1.0,4.753712871287129
性別=女 | 通学方法=徒歩,発生場所1=学校外（園外）,3,77,0.010023431398073419,1.0,4.753712871287129
発生場所1=学校外（園外）,和暦=平成 | 発生場所2=道路,3,484,0.0630044259307472,0.2995049504950495,4.753712871287128
発生場所1=学校外（園外）,場合別1=課外指導 | 発生場所2=学校外運動場・競技場,3,477,0.06209320489455871,0.29517326732673266,4.753712871287128
発生場所1=学校外（園外）,場合別2=体育的部活動 | 発生場所2=学校外運動場・競技場,3,476,0.0619630304608175,0.29455445544554454,4.753712871287128
発生場所2=学校外運動場・競技場,発生場所1=学校外（園外） | 被災学校種=中,3,131,0.01705285082009893,0.2657200811359026,4.747120147176753
発生場所1=学校外（園外） | 被災学校種=中,発生場所2=学校外運動場・競技場,3,131,0.01705285082009893,0.30465116279069765,4.747120147176753
給付年度=5,和暦=令和 | 被災学年=2,3,98,0.012757094506638896,0.3181818181818182,4.746160635481024
場合別1=通学中,発生場所1=学校外（園外）,2,589,0.07667274147357458,0.9983050847457627,4.74565573082732
発生場所1=学校外（園外）,場合別1=通学中,2,589,0.07667274147357458,0.36448019801980197,4.74565573082732
和暦=平成 | 場合別1=通学中,発生場所1=学校外（園外）,3,466,0.060661286123405364,0.9978586723768736,4.743533614603431
発生場所1=学校外（園外）,和暦=平成 | 場合別1=通学中,3,466,0.060661286123405364,0.28836633663366334,4.74353361460343
通学方法=自転車,発生場所1=学校外（園外）,2,355,0.046211923978130696,0.9971910112359551,4.740359745244188
場合別1=通学中 | 通学方法=自転車,発生場所1=学校外（園外）,3,355,0.046211923978130696,0.9971910112359551,4.740359745244188
発生場所1=学校外（園外）,通学方法=自転車,2,355,0.046211923978130696,0.21967821782178218,4.740359745244187
発生場所1=学校外（園外）,場合別1=通学中 | 通学方法=自転車,3,355,0.046211923978130696,0.21967821782178218,4.740359745244187
場合別2=下校（降園）中,発生場所1=学校外（園外）,2,318,0.0413954699297058,0.9968652037617555,4.7388109500605236
場合別1=通学中 | 場合別2=下校（降園）中,発生場所1=学校外（園外）,3,318,0.0413954699297058,0.9968652037617555,4.7388109500605236
場合別1=通学中 | 被災学校種=高,発生場所1=学校外（園外）,3,296,0.038531632387399116,0.9966329966329966,4.7377071040437375
和暦=平成 | 通学方法=自転車,発生場所1=学校外（園外）,3,271,0.03527727154386878,0.9963235294117647,4.736235985730926
被災学校種=高 | 通学方法=自転車,発生場所1=学校外（園外）,3,259,0.03371517833897422,0.9961538461538462,4.7354293602437165
和暦=平成 | 場合別2=下校（降園）中,発生場所1=学校外（園外）,3,255,0.033194480604009376,0.99609375,4.735143680383663
場合別1=通学中 | 性別=女,発生場所1=学校外（園外）,3,218,0.028378026555584482,0.9954337899543378,4.732006419820064
場合別1=通学中 | 被災学年=1,発生場所1=学校外（園外）,3,215,0.027987503254360842,0.9953703703703703,4.731704941327466
発生場所2=道路,和暦=平成 | 発生場所1=学校外（園外）,3,484,0.0630044259307472,0.7857142857142857,4.7302955665024635
和暦=平成 | 発生場所1=学校外（園外）,発生場所2=道路,3,484,0.0630044259307472,0.3793103448275862,4.730295566502463
場合別2=休憩時間中,和暦=平成 | 場合別1=休憩時間,3,523,0.06808122884665452,0.8275316455696202,4.729983706298976
和暦=平成 | 場合別1=休憩時間,場合別2=休憩時間中,3,523,0.06808122884665452,0.38913690476190477,4.729983706298976
被災学年=1 | 通学方法=自転車,発生場所1=学校外（園外）,3,161,0.020958083832335328,0.9938271604938271,4.724368964674245
場合別2=下校（降園）中 | 通学方法=自転車,発生場所1=学校外（園外）,3,156,0.020307211663629265,0.9936305732484076,4.723434445355363
和暦=令和 | 発生場所2=運動場・校庭（園庭）,給付年度=2,3,141,0.018354595157511065,0.24143835616438356,4.719413364007111
給付年度=2,和暦=令和 | 発生場所2=運動場・校庭（園庭）,3,141,0.018354595157511065,0.35877862595419846,4.71941336400711
場合別2=下校（降園）中 | 被災学校種=高,発生場所1=学校外（園外）,3,136,0.017703722988804998,0.9927007299270073,4.719014237190143
性別=女 | 通学方法=自転車,発生場所1=学校外（園外）,3,128,0.016662327518875295,0.9922480620155039,4.71686238391281
場合別2=下校（降園）中 | 性別=女,発生場所1=学校外（園外）,3,113,0.014709711012757094,0.9912280701754386,4.712013635574084
場合別2=下校（降園）中 | 被災学年=1,発生場所1=学校外（園外）,3,111,0.014449362145274668,0.9910714285714286,4.7112690063649225
場合別1=通学中,和暦=令和 | 発生場所1=学校外（園外）,3,123,0.016011455350169228,0.20847457627118643,4.710299102691924
和暦=令和 | 発生場所1=学校外（園外）,場合別1=通学中,3,123,0.016011455350169228,0.36176470588235293,4.710299102691924
給付年度=5,和暦=令和 | 被災学年=1,3,98,0.012757094506638896,0.3181818181818182,4.7005244755244755
給付年度=5,和暦=令和 | 性別=女,3,86,0.011195001301744337,0.2792207792207792,4.693597431015374
発生場所1=学校外（園外） | 被災学年=3,発生場所2=道路,3,140,0.01822442072376985,0.3763440860215054,4.693304007820137
発生場所2=道路,発生場所1=学校外（園外） | 被災学年=3,3,140,0.01822442072376985,0.22727272727272727,4.693304007820136
場合別2=授業終了後の特定時間中,和暦=平成 | 場合別1=休憩時間,3,234,0.030460817495443895,0.8210526315789474,4.692951127819549
給付年度=1,和暦=令和 | 場合別1=課外指導,3,145,0.018875292892475918,0.39944903581267216,4.691999224943345
和暦=令和 | 場合別1=課外指導,給付年度=1,3,145,0.018875292892475918,0.2217125382262997,4.691999224943345
場合別1=通学中,発生場所1=学校外（園外） | 被災学年=3,3,134,0.01744337412132257,0.2271186440677966,4.690122106797886
発生場所1=学校外（園外） | 被災学年=3,場合別1=通学中,3,134,0.01744337412132257,0.3602150537634409,4.690122106797886
給付年度=1,和暦=令和 | 場合別2=体育的部活動,3,139,0.018094246290028638,0.38292011019283745,4.6840641504799
和暦=令和 | 場合別2=体育的部活動,給付年度=1,3,139,0.018094246290028638,0.2213375796178344,4.6840641504799
給付年度=5,和暦=令和 | 発生場所1=学校内・校舎内（園内・園舎内）,3,128,0.016662327518875295,0.4155844155844156,4.681113607799825
場合別2=体育（保健体育）,場合別1=各教科等 | 発生場所1=学校内・校舎内（園内・園舎内）,3,535,0.06964332205154908,0.4921803127874885,4.679367775784018
場合別1=各教科等 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別2=体育（保健体育）,3,535,0.06964332205154908,0.6621287128712872,4.6793677757840175
場合別1=休憩時間,場合別2=昼食時休憩時間中,2,528,0.06873210101536058,0.32116788321167883,4.6727493917274945
場合別1=休憩時間,場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,3,455,0.05922936735225202,0.2767639902676399,4.6727493917274945
場合別1=休憩時間,場合別2=休憩時間中 | 被災学校種=小,3,412,0.05363186670137985,0.25060827250608275,4.6727493917274945
和暦=令和,給付年度=2,2,393,0.0511585524602968,0.23905109489051096,4.6727493917274945
場合別2=休憩時間中,場合別1=休憩時間,2,632,0.08227024212444675,1.0,4.672749391727494
場合別1=休憩時間,場合別2=休憩時間中,2,632,0.08227024212444675,0.3844282238442822,4.672749391727494
場合別2=昼食時休憩時間中,場合別1=休憩時間,2,528,0.06873210101536058,1.0,4.672749391727494
場合別1=休憩時間,和暦=平成 | 場合別2=休憩時間中,3,523,0.06808122884665452,0.3181265206812652,4.672749391727494
和暦=平成 | 場合別2=休憩時間中,場合別1=休憩時間,3,523,0.06808122884665452,1.0,4.672749391727494
場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=休憩時間,3,455,0.05922936735225202,1.0,4.672749391727494
場合別1=休憩時間,場合別2=休憩時間中 | 性別=男,3,443,0.05766727414735746,0.2694647201946472,4.672749391727494
場合別2=休憩時間中 | 性別=男,場合別1=休憩時間,3,443,0.05766727414735746,1.0,4.672749391727494
場合別1=休憩時間,和暦=平成 | 場合別2=昼食時休憩時間中,3,425,0.055324134340015624,0.25851581508515814,4.672749391727494
和暦=平成 | 場合別2=昼食時休憩時間中,場合別1=休憩時間,3,425,0.055324134340015624,1.0,4.672749391727494
場合別2=休憩時間中 | 被災学校種=小,場合別1=休憩時間,3,412,0.05363186670137985,1.0,4.672749391727494
給付年度=2,和暦=令和,2,393,0.0511585524602968,1.0,4.672749391727494
場合別1=休憩時間,場合別2=昼食時休憩時間中 | 性別=男,3,383,0.04985680812288466,0.2329683698296837,4.672749391727494
場合別2=昼食時休憩時間中 | 性別=男,場合別1=休憩時間,3,383,0.04985680812288466,1.0,4.672749391727494
和暦=令和,給付年度=1,2,363,0.0472533194480604,0.2208029197080292,4.672749391727494
給付年度=1,和暦=令和,2,363,0.0472533194480604,1.0,4.672749391727494
給付年度=3,和暦=令和,2,321,0.04178599323092944,1.0,4.672749391727494
給付年度=5,和暦=令和,2,308,0.040093725592293676,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 被災学校種=小,場合別1=休憩時間,3,300,0.03905233012236397,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=休憩時間,3,292,0.03801093465243426,1.0,4.672749391727494
性別=男 | 給付年度=2,和暦=令和,3,292,0.03801093465243426,1.0,4.672749391727494
場合別2=授業終了後の特定時間中,場合別1=休憩時間,2,285,0.03709971361624577,1.0,4.672749391727494
給付年度=4,和暦=令和,2,259,0.03371517833897422,1.0,4.672749391727494
性別=男 | 給付年度=1,和暦=令和,3,258,0.03358500390523301,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別1=休憩時間,3,234,0.030460817495443895,1.0,4.672749391727494
和暦=平成 | 場合別2=授業終了後の特定時間中,場合別1=休憩時間,3,234,0.030460817495443895,1.0,4.672749391727494
性別=男 | 給付年度=3,和暦=令和,3,228,0.029679770892996615,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 発生場所2=運動場・校庭（園庭）,場合別1=休憩時間,3,223,0.02902889872429055,1.0,4.672749391727494
性別=男 | 給付年度=5,和暦=令和,3,222,0.028898724290549335,1.0,4.672749391727494
場合別2=始業前の特定時間中,場合別1=休憩時間,2,199,0.02590471231450143,1.0,4.672749391727494
場合別2=休憩時間中 | 性別=女,場合別1=休憩時間,3,189,0.024602967977089298,1.0,4.672749391727494
性別=男 | 給付年度=4,和暦=令和,3,187,0.02434261910960687,1.0,4.672749391727494
場合別2=休憩時間中 | 発生場所2=教室（保育室）,場合別1=休憩時間,3,184,0.023952095808383235,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 性別=男,場合別1=休憩時間,3,177,0.02304087477219474,1.0,4.672749391727494
場合別2=休憩時間中 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別1=休憩時間,3,176,0.022910700338453528,1.0,4.672749391727494
場合別1=課外指導 | 給付年度=2,和暦=令和,3,176,0.022910700338453528,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 被災学校種=中,場合別1=休憩時間,3,175,0.022780525904712315,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=休憩時間,3,173,0.022520177037229888,1.0,4.672749391727494
場合別2=休憩時間中 | 発生場所2=運動場・校庭（園庭）,場合別1=休憩時間,3,167,0.021739130434782608,1.0,4.672749391727494
場合別2=体育的部活動 | 給付年度=2,和暦=令和,3,167,0.021739130434782608,1.0,4.672749391727494
給付年度=2 | 被災学校種=高,和暦=令和,3,163,0.021218432699817755,1.0,4.672749391727494
和暦=平成 | 場合別2=始業前の特定時間中,場合別1=休憩時間,3,162,0.02108825826607654,1.0,4.672749391727494
場合別2=休憩時間中 | 被災学校種=中,場合別1=休憩時間,3,159,0.0206977349648529,1.0,4.672749391727494
場合別2=休憩時間中 | 被災学年=1,場合別1=休憩時間,3,158,0.020567560531111688,1.0,4.672749391727494
場合別2=休憩時間中 | 発生場所2=廊下,場合別1=休憩時間,3,156,0.020307211663629265,1.0,4.672749391727494
発生場所1=学校内・校舎外（園内・園舎外） | 給付年度=2,和暦=令和,3,155,0.02017703722988805,1.0,4.672749391727494
発生場所1=学校内・校舎内（園内・園舎内） | 給付年度=2,和暦=令和,3,153,0.019916688362405625,1.0,4.672749391727494
場合別2=休憩時間中 | 被災学年=2,場合別1=休憩時間,3,151,0.019656339494923198,1.0,4.672749391727494
給付年度=1 | 被災学校種=高,和暦=令和,3,151,0.019656339494923198,1.0,4.672749391727494
発生場所1=学校内・校舎内（園内・園舎内） | 給付年度=1,和暦=令和,3,150,0.019526165061181985,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 性別=女,場合別1=休憩時間,3,145,0.018875292892475918,1.0,4.672749391727494
場合別1=課外指導 | 給付年度=1,和暦=令和,3,145,0.018875292892475918,1.0,4.672749391727494
発生場所2=運動場・校庭（園庭） | 給付年度=2,和暦=令和,3,141,0.018354595157511065,1.0,4.672749391727494
場合別2=体育的部活動 | 給付年度=1,和暦=令和,3,139,0.018094246290028638,1.0,4.672749391727494
給付年度=2 | 被災学校種=中,和暦=令和,3,139,0.018094246290028638,1.0,4.672749391727494
給付年度=5 | 被災学校種=高,和暦=令和,3,139,0.018094246290028638,1.0,4.672749391727494
給付年度=2 | 被災学年=2,和暦=令和,3,138,0.017964071856287425,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 被災学年=2,場合別1=休憩時間,3,136,0.017703722988804998,1.0,4.672749391727494
発生場所1=学校内・校舎外（園内・園舎外） | 給付年度=1,和暦=令和,3,135,0.017573548555063784,1.0,4.672749391727494
場合別2=始業前の特定時間中 | 被災学校種=小,場合別1=休憩時間,3,133,0.017313199687581358,1.0,4.672749391727494
場合別2=始業前の特定時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,場合別1=休憩時間,3,133,0.017313199687581358,1.0,4.672749391727494
発生場所1=学校内・校舎内（園内・園舎内） | 給付年度=3,和暦=令和,3,133,0.017313199687581358,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 被災学年=3,場合別1=休憩時間,3,132,0.017183025253840144,1.0,4.672749391727494
給付年度=2 | 被災学年=1,和暦=令和,3,132,0.017183025253840144,1.0,4.672749391727494
場合別2=始業前の特定時間中 | 性別=男,場合別1=休憩時間,3,128,0.016662327518875295,1.0,4.672749391727494
発生場所2=運動場・校庭（園庭） | 給付年度=1,和暦=令和,3,128,0.016662327518875295,1.0,4.672749391727494
発生場所1=学校内・校舎内（園内・園舎内） | 給付年度=5,和暦=令和,3,128,0.016662327518875295,1.0,4.672749391727494
発生場所1=学校内・校舎外（園内・園舎外） | 給付年度=3,和暦=令和,3,127,0.01653215308513408,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 被災学校種=小,場合別1=休憩時間,3,126,0.016401978651392868,1.0,4.672749391727494
場合別2=休憩時間中 | 被災学年=3,場合別1=休憩時間,3,125,0.016271804217651654,1.0,4.672749391727494
給付年度=3 | 被災学校種=高,和暦=令和,3,125,0.016271804217651654,1.0,4.672749391727494
発生場所2=運動場・校庭（園庭） | 給付年度=3,和暦=令和,3,120,0.015620932048945588,1.0,4.672749391727494
発生場所1=学校内・校舎内（園内・園舎内） | 給付年度=4,和暦=令和,3,118,0.015360583181463161,1.0,4.672749391727494
場合別1=課外指導 | 給付年度=5,和暦=令和,3,118,0.015360583181463161,1.0,4.672749391727494
場合別1=課外指導 | 給付年度=3,和暦=令和,3,117,0.015230408747721948,1.0,4.672749391727494
給付年度=4 | 被災学校種=高,和暦=令和,3,114,0.014839885446498308,1.0,4.672749391727494
場合別2=体育的部活動 | 給付年度=5,和暦=令和,3,114,0.014839885446498308,1.0,4.672749391727494
発生場所1=学校内・校舎外（園内・園舎外） | 給付年度=5,和暦=令和,3,113,0.014709711012757094,1.0,4.672749391727494
場合別2=体育的部活動 | 給付年度=3,和暦=令和,3,112,0.014579536579015881,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 被災学年=1,場合別1=休憩時間,3,111,0.014449362145274668,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 発生場所1=学校内・校舎外（園内・園舎外）,場合別1=休憩時間,3,109,0.014189013277792241,1.0,4.672749391727494
和暦=令和 | 場合別2=休憩時間中,場合別1=休憩時間,3,109,0.014189013277792241,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 性別=女,場合別1=休憩時間,3,108,0.014058838844051028,1.0,4.672749391727494
発生場所2=運動場・校庭（園庭） | 給付年度=5,和暦=令和,3,106,0.013798489976568603,1.0,4.672749391727494
性別=女 | 給付年度=1,和暦=令和,3,105,0.01366831554282739,1.0,4.672749391727494
給付年度=3 | 被災学年=2,和暦=令和,3,104,0.013538141109086176,1.0,4.672749391727494
和暦=令和 | 場合別2=昼食時休憩時間中,場合別1=休憩時間,3,103,0.013407966675344963,1.0,4.672749391727494
給付年度=1 | 被災学年=1,和暦=令和,3,103,0.013407966675344963,1.0,4.672749391727494
性別=女 | 給付年度=2,和暦=令和,3,101,0.013147617807862536,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 被災学校種=中,場合別1=休憩時間,3,100,0.013017443374121323,1.0,4.672749391727494
給付年度=1 | 被災学校種=小,和暦=令和,3,99,0.01288726894038011,1.0,4.672749391727494
給付年度=1 | 被災学年=2,和暦=令和,3,99,0.01288726894038011,1.0,4.672749391727494
給付年度=1 | 被災学年=3,和暦=令和,3,98,0.012757094506638896,1.0,4.672749391727494
場合別1=課外指導 | 給付年度=4,和暦=令和,3,98,0.012757094506638896,1.0,4.672749391727494
給付年度=5 | 被災学年=1,和暦=令和,3,98,0.012757094506638896,1.0,4.672749391727494
給付年度=5 | 被災学年=2,和暦=令和,3,98,0.012757094506638896,1.0,4.672749391727494
給付年度=3 | 被災学年=1,和暦=令和,3,97,0.012626920072897682,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 発生場所2=教室（保育室）,場合別1=休憩時間,3,96,0.01249674563915647,1.0,4.672749391727494
場合別2=体育的部活動 | 給付年度=4,和暦=令和,3,96,0.01249674563915647,1.0,4.672749391727494
性別=女 | 給付年度=3,和暦=令和,3,93,0.01210622233793283,1.0,4.672749391727494
発生場所1=学校内・校舎外（園内・園舎外） | 給付年度=4,和暦=令和,3,92,0.011976047904191617,1.0,4.672749391727494
給付年度=1 | 被災学校種=中,和暦=令和,3,90,0.01171569903670919,1.0,4.672749391727494
給付年度=4 | 被災学年=1,和暦=令和,3,90,0.01171569903670919,1.0,4.672749391727494
発生場所2=運動場・校庭（園庭） | 給付年度=4,和暦=令和,3,89,0.011585524602967977,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 発生場所2=運動場・校庭（園庭）,場合別1=休憩時間,3,88,0.011455350169226764,1.0,4.672749391727494
給付年度=3 | 被災学校種=中,和暦=令和,3,88,0.011455350169226764,1.0,4.672749391727494
性別=女 | 給付年度=5,和暦=令和,3,86,0.011195001301744337,1.0,4.672749391727494
場合別2=昼食時休憩時間中 | 発生場所2=廊下,場合別1=休憩時間,3,85,0.011064826868003124,1.0,4.672749391727494
場合別2=授業終了後の特定時間中 | 被災学年=2,場合別1=休憩時間,3,85,0.011064826868003124,1.0,4.672749391727494
発生場所1=学校外（園外） | 給付年度=2,和暦=令和,3,85,0.011064826868003124,1.0,4.672749391727494
給付年度=3 | 被災学校種=小,和暦=令和,3,84,0.01093465243426191,1.0,4.672749391727494
場合別1=各教科等 | 給付年度=3,和暦=令和,3,80,0.010413954699297057,1.0,4.672749391727494
給付年度=5 | 被災学校種=中,和暦=令和,3,79,0.010283780265555844,1.0,4.672749391727494
発生場所1=学校外（園外） | 給付年度=1,和暦=令和,3,78,0.010153605831814632,1.0,4.672749391727494
場合別1=休憩時間 | 給付年度=1,和暦=令和,3,77,0.010023431398073419,1.0,4.672749391727494
給付年度=4,和暦=令和 | 性別=男,3,187,0.02434261910960687,0.722007722007722,4.672673395504061
