列名,カテゴリ,歯牙障害件数,歯牙障害群内割合（％）,歯牙障害以外件数,歯牙障害以外群内割合（％）,割合差_歯牙-以外（pt）,合計
性別,女,392,24.7631,1807,29.6278,-4.8647,2199
性別,男,1191,75.2369,4292,70.3722,4.8647,5483
