欠損パターン,件数,割合（％）
通学方法 | 遊具等,3890,50.6379
競技種目 | 通学方法 | 遊具等,2587,33.6761
競技種目 | 遊具等,590,7.6803
場合別2 | 競技種目 | 通学方法 | 遊具等,340,4.4259
競技種目 | 通学方法,179,2.3301
場合別2 | 競技種目 | 通学方法,63,0.8201
通学方法,33,0.4296
