列名,カテゴリ,a_当該歯牙,b_当該非歯牙,c_非当該歯牙,d_非当該非歯牙,オッズ比,95%CI下限,95%CI上限,0.5補正
場合別2,始業前の特定時間中,24,175,1559,5924,0.5211252634472647,0.338905593262254,0.8013191449243268,False
場合別2,学級（ホームルーム）活動,11,77,1572,6022,0.5472555434387495,0.29024238875761027,1.0318569630935355,False
場合別2,家庭（技術・家庭）,0,39,1583,6060,0.04844659922539799,0.0029759606054218573,0.7886774348525434,True
場合別2,工業,1,20,1582,6079,0.19213021491782553,0.025764801403164745,1.4327306043133559,False
場合別2,授業終了後の特定時間中,56,229,1527,5870,0.9400514179985873,0.6981040448181692,1.2658523826650017,False
場合別2,文化的クラブ活動,0,7,1583,6092,0.2564993158614883,0.014641046155842857,4.493661063362996,True
場合別2,文化的行事,3,24,1580,6075,0.48061708860759494,0.14453840992531877,1.598141186007179,False
場合別2,文化的部活動,7,41,1576,6058,0.6562770830753993,0.29386187204783815,1.4656532566424283,False
場合別2,日常の清掃,26,103,1557,5996,0.9720959525101172,0.6299759269965177,1.5000105565808,False
場合別2,昼食時休憩時間中,76,452,1507,5647,0.6300567851501254,0.49090884752246466,0.8086461560372372,False
場合別2,林間学校,1,1,1582,6098,3.854614412136536,0.24095641392926287,61.662821188119736,False
場合別2,水泳指導,3,7,1580,6092,1.6524412296564195,0.42681430396695436,6.397541019805724,False
場合別2,理科,4,42,1579,6057,0.36533067945354203,0.1308044149494973,1.0203516861530797,False
場合別2,登校（登園）中,117,132,1466,5967,3.6077297531936003,2.7947226568571746,4.657247093962186,False
場合別2,競技大会・球技大会,14,63,1569,6036,0.8548969619715318,0.4778063418994983,1.529592120277636,False
場合別2,給食指導,5,50,1578,6049,0.38333333333333336,0.15261455427748968,0.962846860445986,False
場合別2,総合的な学習の時間,7,39,1576,6060,0.6901600937133932,0.30811277546346055,1.5459305581795553,False
場合別2,自立活動,7,17,1576,6082,1.5890564347566438,0.657825756564002,3.8385550088989566,False
場合別2,農業,2,7,1581,6092,1.1009306948585886,0.22847839352639465,5.304870960333474,False
場合別2,通学（通園）に準ずるとき,10,12,1573,6087,3.2247298156389066,1.3906875178631202,7.477511842379287,False
場合別2,運動会・体育祭,20,68,1563,6031,1.1348838959768168,0.6871959489857763,1.8742273717538704,False
場合別2,道徳,0,1,1583,6098,1.283759604252184,0.052269043284628086,31.52991939292676,True
場合別2,遠足,11,22,1572,6077,1.9328880407124682,0.9353032375478462,3.9944865236694564,False
場合別2,（欠損）,8,395,1575,5704,0.07334860357645168,0.03634500194698225,0.14802634085598568,False
競技種目,その他,26,101,1557,5998,0.9916760462173385,0.6421188055259206,1.5315255871314841,False
競技種目,サッカー・フットサル,77,423,1506,5676,0.6860689629190095,0.5346317030324894,0.8804016282815941,False
競技種目,スキー,4,15,1579,6084,1.0274857504749841,0.34053849756602245,3.1001692172100475,False
競技種目,スケート,1,2,1582,6097,1.926991150442478,0.17461406205176652,21.265726541444142,False
競技種目,ソフトボール,75,138,1508,5961,2.1483248760235267,1.6126747669135562,2.8618912304150257,False
競技種目,テニス（含ソフトテニス）,18,93,1565,6006,0.742780583324745,0.44703500083602665,1.2341829922320142,False
競技種目,ドッジボール,6,17,1577,6082,1.3611846767876459,0.5357900084420169,3.458115483917241,False
競技種目,ハンドボール,14,53,1569,6046,1.0178818379691428,0.5633489014712781,1.8391505394996568,False
競技種目,バスケットボール,112,233,1471,5866,1.9168648229139618,1.5192180762000151,2.418593358575348,False
競技種目,バドミントン,12,125,1571,5974,0.3650566518141311,0.2013635119649216,0.6618197990952764,False
競技種目,バレーボール,43,115,1540,5984,1.4529192546583851,1.0189546990943126,2.07170580049672,False
競技種目,ホッケー,20,7,1563,6092,11.136093592907413,4.700436889327459,26.383202972380992,False
競技種目,ボクシング,1,11,1582,6088,0.34984484542006666,0.045131905882645575,2.7118601236393425,False
競技種目,ポートボール,1,3,1582,6096,1.284450063211125,0.13351279097656224,12.356958107277395,False
競技種目,マット運動,5,78,1578,6021,0.2445890611289851,0.09885810936868572,0.6051482190585791,False
競技種目,ヨット,0,2,1583,6097,0.7701294600568361,0.03695261797895978,16.05026700909622,True
競技種目,ラグビー,13,91,1570,6008,0.5466787989080982,0.3049270656581827,0.9800957108563612,False
競技種目,レスリング,0,12,1583,6087,0.1537732870224187,0.009099199714659017,2.5987146719710497,True
競技種目,体操（その他）,4,20,1579,6079,0.7699810006333122,0.26280258070688295,2.2559547921545544,False
競技種目,体操（組体操）,2,37,1581,6062,0.20725849188847292,0.04989878998416542,0.8608642108058253,False
競技種目,剣道,5,25,1578,6074,0.7698352344740177,0.294235605437476,2.014189572184869,False
競技種目,卓球,4,35,1579,6064,0.43890346512259115,0.15575948628537645,1.2367545392623918,False
競技種目,器械体操・新体操（その他）,1,6,1582,6093,0.6419089759797725,0.07722183449964257,5.33588895049246,False
競技種目,弓道,3,6,1580,6093,1.9281645569620254,0.48168498312545366,7.7183609391374075,False
競技種目,投てき,0,18,1583,6081,0.10379846218179026,0.006251619493792584,1.7234127512083035,True
競技種目,持久走・長距離走,10,81,1573,6018,0.4723222905041087,0.2442929742364008,0.9132000083275682,False
競技種目,柔道,13,129,1570,5970,0.3832024885202192,0.2160523784829054,0.6796691998450154,False
競技種目,武道等（その他）,0,3,1583,6096,0.550002255401687,0.02839364289873822,10.653880589601464,True
競技種目,水泳,9,84,1574,6015,0.40944363768379016,0.20543306588880295,0.8160521370521601,False
競技種目,準備・整理運動,6,27,1577,6072,0.8556330585499894,0.3526553809399778,2.0759868428272044,False
競技種目,準備運動等,0,1,1583,6098,1.283759604252184,0.052269043284628086,31.52991939292676,True
競技種目,球技（その他）,13,32,1570,6067,1.5698845541401274,0.8219956740694956,2.9982365979208097,False
競技種目,登山,1,1,1582,6098,3.854614412136536,0.24095641392926287,61.662821188119736,False
競技種目,相撲,1,9,1582,6090,0.4277286135693215,0.054148339078881086,3.378714287051674,False
競技種目,短距離走,5,32,1578,6067,0.6007406527249683,0.2336918917536016,1.5442954786678391,False
競技種目,空手,3,9,1580,6090,1.2848101265822784,0.3474178812721042,4.7514453065111,False
競技種目,筋力トレーニング,2,9,1581,6090,0.8559983133038161,0.18476180812303838,3.965825620687959,False
競技種目,縄跳び,0,7,1583,6092,0.2564993158614883,0.014641046155842857,4.493661063362996,True
競技種目,自転車競技,4,10,1579,6089,1.542495250158328,0.48312946403314877,4.924749521378298,False
競技種目,自転車競技部,0,1,1583,6098,1.283759604252184,0.052269043284628086,31.52991939292676,True
競技種目,走り幅跳び,0,10,1583,6089,0.18312358097643858,0.010724542844311945,3.1268694989101613,True
競技種目,走り高跳び,5,30,1578,6069,0.6410012674271229,0.24830129526169922,1.6547743917732076,False
競技種目,跳箱運動,2,61,1581,6038,0.12521645358301967,0.030584386499275775,0.5126524361794796,False
競技種目,運動なし,0,3,1583,6096,0.550002255401687,0.02839364289873822,10.653880589601464,True
競技種目,野球（含軟式）,352,765,1231,5334,1.9937751867603255,1.732216543251513,2.2948282712272836,False
競技種目,鉄棒運動,4,31,1579,6068,0.49586304112443563,0.17477868082098874,1.4068086244741047,False
競技種目,陸上競技（その他）,8,26,1575,6073,1.1864224664224665,0.5361031437596957,2.6256109206158924,False
競技種目,障害走（ハードル）,0,11,1583,6088,0.16717233426229733,0.009845457567154572,2.8385262088719876,True
競技種目,（欠損）,698,3061,885,3038,0.7827743601385759,0.7003994014837222,0.874837553533514,False
通学方法,その他,0,1,1583,6098,1.283759604252184,0.052269043284628086,31.52991939292676,True
通学方法,バス,0,4,1583,6095,0.4277093639266042,0.023014523089996124,7.94868958505675,True
通学方法,原動機付自転車,0,18,1583,6081,0.10379846218179026,0.006251619493792584,1.7234127512083035,True
通学方法,徒歩,43,159,1540,5940,1.0431266846361187,0.74133251043449,1.467780334579155,False
通学方法,自動車,0,1,1583,6098,1.283759604252184,0.052269043284628086,31.52991939292676,True
通学方法,自転車,218,138,1365,5961,6.898646281254977,5.529790328129604,8.606351722194574,False
通学方法,鉄道,1,7,1582,6092,0.5501173920895792,0.0676314931034775,4.474677863704878,False
通学方法,（欠損）,1321,5771,262,328,0.28656575851090144,0.24102761217902638,0.3407075778933271,False
発生場所1,学校内・校舎内（園内・園舎内）,484,2649,1099,3450,0.5735678579414829,0.5095712440676178,0.6456017514597565,False
発生場所1,学校内・校舎外（園内・園舎外）,602,2331,981,3768,0.9919644415057259,0.8852086621150317,1.1115949214287038,False
発生場所1,学校外（園外）,497,1119,1086,4980,2.036694167543041,1.798483430538694,2.306456129463126,False
発生場所2,その他,59,320,1524,5779,0.699149032152231,0.5266242165602171,0.9281938691543409,False
発生場所2,プール,16,92,1567,6007,0.6666851641186426,0.3909239649335546,1.136970735809067,False
発生場所2,ベランダ,0,17,1583,6082,0.10974784609138888,0.006596003665836754,1.8260435154217336,True
発生場所2,体育館・屋内運動場,245,1007,1338,5092,0.9259102574949939,0.7953029397613376,1.0779663472534327,False
発生場所2,便所,9,42,1574,6057,0.8246051915048103,0.40054818573611717,1.6976077936966476,False
発生場所2,公園,0,1,1583,6098,1.283759604252184,0.052269043284628086,31.52991939292676,True
発生場所2,公園・遊園地,12,41,1571,6058,1.1286270978559563,0.5917423144235929,2.152624706677511,False
発生場所2,学校外体育館,40,133,1543,5966,1.162855291176743,0.8130414094487672,1.6631778068161938,False
発生場所2,学校外運動場・競技場,119,374,1464,5725,1.24425608544461,1.0044236109981999,1.5413548518909912,False
発生場所2,実習実験室,8,152,1575,5947,0.19873015873015873,0.09739889381842244,0.4054838247192094,False
発生場所2,屋上,0,3,1583,6096,0.550002255401687,0.02839364289873822,10.653880589601464,True
発生場所2,山林野（含スキー場）,17,49,1566,6050,1.3403445669455523,0.7698433994616719,2.3336220839156567,False
発生場所2,廊下,96,392,1487,5707,0.939900909926849,0.7465018588906142,1.1834045822661061,False
発生場所2,手足洗場,0,3,1583,6096,0.550002255401687,0.02839364289873822,10.653880589601464,True
発生場所2,排水溝,0,2,1583,6097,0.7701294600568361,0.03695261797895978,16.05026700909622,True
発生場所2,教室（保育室）,81,701,1502,5398,0.415269417286699,0.32763865841043965,0.5263380388940689,False
発生場所2,昇降口・玄関,6,96,1577,6003,0.23791217501585288,0.10408897933276745,0.5437867042563583,False
発生場所2,水飲み場,0,2,1583,6097,0.7701294600568361,0.03695261797895978,16.05026700909622,True
発生場所2,河川,5,9,1578,6090,2.1440642163075623,0.7175349618533527,6.406672298973052,False
発生場所2,海・湖・沼・池,2,15,1581,6084,0.5130929791271347,0.11721215962677951,2.2460502909239985,False
発生場所2,講堂,3,15,1580,6084,0.770126582278481,0.22267365579612805,2.6635164838491274,False
発生場所2,農場,0,7,1583,6092,0.2564993158614883,0.014641046155842857,4.493661063362996,True
発生場所2,遊戯室,0,30,1583,6069,0.06283549100094726,0.0038400539524247844,1.0281884000189607,True
発生場所2,運動場・校庭（園庭）,567,2159,1016,3940,1.0184340956917208,0.9074597190137458,1.142979666794116,False
発生場所2,道路,273,343,1310,5756,3.4971802461442594,2.9506933927842205,4.144879879397217,False
発生場所2,階段,25,94,1558,6005,1.0250798896566793,0.6571822561902076,1.5989305406237582,False
遊具等,すべり台,5,24,1578,6075,0.8020437262357415,0.30552901204725597,2.1054437170589164,False
遊具等,その他,5,26,1578,6073,0.7401043190016574,0.28374410395716987,1.9304521058438933,False
遊具等,ぶらんこ,4,37,1579,6062,0.4150420211218185,0.14771440389987114,1.1661684625803395,False
遊具等,シーソー,4,8,1579,6091,1.928752374920836,0.5800434942660064,6.4134599569472,False
遊具等,ジャングルジム,3,14,1580,6085,0.8252712477396021,0.23687083631534653,2.8752912048613983,False
遊具等,回旋塔,0,4,1583,6095,0.4277093639266042,0.023014523089996124,7.94868958505675,True
遊具等,固定タイヤ,0,9,1583,6090,0.2024329848935569,0.011775305815373088,3.4800890962352176,True
遊具等,施設を使用していない,0,3,1583,6096,0.550002255401687,0.02839364289873822,10.653880589601464,True
遊具等,登り棒,1,6,1582,6093,0.6419089759797725,0.07722183449964257,5.33588895049246,False
遊具等,砂場,0,9,1583,6090,0.2024329848935569,0.011775305815373088,3.4800890962352176,True
遊具等,総合遊具・アスレティック,0,22,1583,6077,0.08528926779637232,0.00517073730573463,1.406812756311128,True
遊具等,遊動円木,1,1,1582,6098,3.854614412136536,0.24095641392926287,61.662821188119736,False
遊具等,鉄棒,12,60,1571,6039,0.7688096753660089,0.41263200515997295,1.4324344925867716,False
遊具等,雲てい,3,14,1580,6085,0.8252712477396021,0.23687083631534653,2.8752912048613983,False
遊具等,（欠損）,1545,5862,38,237,1.6437941065560524,1.1617807788897758,2.325790815140323,False
