N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,卓球 台,20,13,0.1692,573
2,短縮 障害,20,20,0.2603,574
2,倒れる 救急,20,20,0.2603,575
2,眼 ぶつかる,20,20,0.2603,576
2,身体 性,20,20,0.2603,577
2,性 機能,20,20,0.2603,578
2,耳 当たる,19,19,0.2473,579
2,頭 ぶつける,19,19,0.2473,580
2,自由 遊び,19,19,0.2473,581
2,上がる ボール,19,19,0.2473,582
2,練習 部員,19,19,0.2473,583
2,部 他校,19,19,0.2473,584
2,大会 参加,19,19,0.2473,585
2,冷却 受診,19,19,0.2473,586
2,滑る 転ぶ,19,19,0.2473,587
2,相手 手,19,19,0.2473,588
2,ぶつける 歯,19,19,0.2473,589
2,転倒 歯,19,19,0.2473,590
2,教室 窓,19,18,0.2343,591
2,バウンド ボール,19,19,0.2473,592
2,直撃 前歯,19,18,0.2343,593
2,頭 顔面,19,19,0.2473,594
2,相手 ボール,19,19,0.2473,595
2,倒れる 顔面,19,19,0.2473,596
2,口 強打,19,19,0.2473,597
2,友人 手,19,18,0.2343,598
2,ろ 向き,19,19,0.2473,599
2,転倒 左手,19,19,0.2473,600
2,当たる ボール,19,19,0.2473,601
2,体育館 床,19,19,0.2473,602
2,打つ バット,19,19,0.2473,603
2,取る 損ねる,19,19,0.2473,604
2,蹴る 上げる,19,19,0.2473,605
2,頭頂 部,19,19,0.2473,606
2,体育館 バドミントン,19,19,0.2473,607
2,地面 打ち付ける,19,19,0.2473,608
2,昼休み 教室,19,19,0.2473,609
2,ボール 強い,19,19,0.2473,610
2,声 掛ける,19,18,0.2343,611
2,柱 角,19,19,0.2473,612
2,児 頬,19,19,0.2473,613
2,かかる 負傷,19,19,0.2473,614
2,強い 痛み,19,19,0.2473,615
2,肘 強打,19,18,0.2343,616
2,力 入る,19,19,0.2473,617
2,骨折 複,19,19,0.2473,618
2,左手 薬指,19,18,0.2343,619
2,膝 股間,19,19,0.2473,620
2,睾丸 欠損,19,19,0.2473,621
2,階段 降りる,18,18,0.2343,622
2,場 友人,18,18,0.2343,623
2,離す しまう,18,18,0.2343,624
2,足 ひっかかる,18,18,0.2343,625
2,球 拾う,18,18,0.2343,626
2,タイヤ 滑る,18,18,0.2343,627
2,外 出る,18,18,0.2343,628
2,校舎 階,18,18,0.2343,629
2,守備 つく,18,18,0.2343,630
2,顔面 転倒,18,18,0.2343,631
2,れる 顔面,18,18,0.2343,632
2,手 かける,18,18,0.2343,633
2,ぶつかる くる,18,18,0.2343,634
2,強い 当たり,18,18,0.2343,635
2,ボール 顔,18,18,0.2343,636
2,打ちつける 負傷,18,18,0.2343,637
2,切れる しまう,18,18,0.2343,638
2,ボール 奪う,18,18,0.2343,639
2,帰宅 途中,18,18,0.2343,640
2,転倒 しまう,18,18,0.2343,641
2,図書 室,18,15,0.1953,642
2,くる ぶつかる,18,18,0.2343,643
2,つかむ れる,18,18,0.2343,644
2,捕る ボール,18,18,0.2343,645
2,廊下 友人,18,18,0.2343,646
2,階段 角,18,18,0.2343,647
2,バット 振る,18,17,0.2213,648
2,部 ぶつける,18,18,0.2343,649
2,音楽 室,18,17,0.2213,650
2,教室 出る,18,18,0.2343,651
2,体育館 跳箱,18,18,0.2343,652
2,熱傷 負う,18,18,0.2343,653
2,頬 ひっかく,18,18,0.2343,654
2,硬い 膜,18,18,0.2343,655
2,サッカー 練習,18,18,0.2343,656
2,狭窄 残る,18,18,0.2343,657
2,網膜 剥離,18,17,0.2213,658
2,ラケット 眼,18,18,0.2343,659
2,視野 障害,18,18,0.2343,660
2,飛び込む プール,18,18,0.2343,661
2,眼 失明,18,18,0.2343,662
2,骨折 指,18,18,0.2343,663
2,足 蹴る,17,17,0.2213,664
2,後頭部 強打,17,17,0.2213,665
2,崩す 顔面,17,17,0.2213,666
2,鬼ごっこ 走る,17,17,0.2213,667
2,地面 ぶつける,17,17,0.2213,668
2,部 ボール,17,17,0.2213,669
2,終了 教室,17,17,0.2213,670
2,紅白 戦,17,17,0.2213,671
2,バランス 失う,17,17,0.2213,672
2,開放 骨折,17,17,0.2213,673
2,転倒 転倒,17,17,0.2213,674
2,ハンドル 操作,17,17,0.2213,675
2,ぶつかる 相手,17,17,0.2213,676
2,前歯 床,17,17,0.2213,677
2,バット 口,17,17,0.2213,678
2,地面 打ちつける,17,17,0.2213,679
2,選手 肘,17,16,0.2083,680
2,口 強い,17,17,0.2213,681
2,部 ノック,17,17,0.2213,682
2,教室 移動,17,17,0.2213,683
2,顔面 歯,17,17,0.2213,684
2,スピード 出す,17,16,0.2083,685
2,本 破る,17,17,0.2213,686
2,練習 バランス,17,17,0.2213,687
2,背中 押す,17,17,0.2213,688
2,着地 バランス,17,17,0.2213,689
2,くる 衝突,17,17,0.2213,690
2,対 練習,17,17,0.2213,691
2,顔 床,17,17,0.2213,692
2,坂道 下る,17,17,0.2213,693
2,チーム ボール,17,17,0.2213,694
2,倒れる 床,17,17,0.2213,695
