列名,件数,欠損数,空文字数,前後空白あり,一意値数（欠損除外）
和暦,7682,0,0,0,2
給付年度,7682,0,0,0,38
記号,7682,0,0,0,7682
種別,7682,0,0,0,12
被災学校種,7682,0,0,0,10
被災学年,7682,0,0,0,14
性別,7682,0,0,0,2
場合別1,7682,0,0,0,8
場合別2,7682,81,322,0,40
競技種目,7682,1506,2253,0,49
通学方法,7682,2958,4134,0,8
発生場所1,7682,0,0,0,3
発生場所2,7682,0,0,0,26
遊具等,7682,3197,4210,0,15
災害発生時の状況,7682,0,0,14,7645
Step7_入力元ファイル,7682,0,0,0,12
Step7_入力元カテゴリ,7682,0,0,0,12
Step7_歯牙障害フラグ,7682,0,0,0,2
