列名,カテゴリ,当該カテゴリの歯牙割合（％）,その他の歯牙割合（％）,リスク比,95%CI下限,95%CI上限,0.5補正
和暦,令和,16.4234,21.7456,0.7552493037063391,0.6704599276780064,0.8507615253373499,False
和暦,平成,21.7456,16.4234,1.324066099885908,1.1754175173865238,1.4915134502717928,False
給付年度,1,17.3554,20.7679,0.8356839930404524,0.6647066914769206,1.0506404481536396,False
給付年度,17,24.1458,20.3921,1.1840753358636527,0.9970326562408675,1.4062071008654227,False
給付年度,18,22.7273,20.4571,1.1109734951696804,0.9400893639292824,1.3129199779590128,False
給付年度,19,25.5533,20.2644,1.2609931567426538,1.077865123919979,1.4752344296742017,False
給付年度,2,18.3206,20.7299,0.8837784996539373,0.7138512181086766,1.094155780135764,False
給付年度,20,23.0108,20.4517,1.1251260308302007,0.9469814327260473,1.336782899330548,False
給付年度,21,22.0302,20.5153,1.073843923681244,0.8993950821912645,1.2821292836265517,False
給付年度,22,22.4839,20.4851,1.097575286935004,0.9218887530401353,1.3067428217534722,False
給付年度,23,24.4094,20.4082,1.1960629921259842,0.9966221062719156,1.4354153616807797,False
給付年度,24,19.4647,20.6712,0.9416365970411165,0.769603463321689,1.15212511786287,False
給付年度,25,18.9474,20.693,0.9156431780974608,0.7401679524367348,1.1327191711506586,False
給付年度,26,21.7604,20.5417,1.0593261391122764,0.8766790749140082,1.280025839691216,False
給付年度,27,21.5777,20.5489,1.0500677369625813,0.872203144881995,1.2642034813562832,False
給付年度,28,20.6186,20.606,1.0006104629229513,0.8189272789974059,1.2226009856902744,False
給付年度,29,19.0955,20.6892,0.9229691923452698,0.750269122000397,1.1354220839412725,False
給付年度,3,13.3956,20.9211,0.6402941295464659,0.48311075050271407,0.8486181934578234,False
給付年度,30,16.8734,20.8133,0.8107051896256624,0.6497669845867037,1.011505539795982,False
給付年度,4,19.305,20.652,0.9347759836996629,0.7258536871999084,1.2038323357872758,False
給付年度,5,13.6364,20.8977,0.6525278744616837,0.4909335493947116,0.8673121392385116,False
被災学校種,中,17.3483,21.9351,0.790891836332404,0.7130631253970587,0.8772153186703296,False
被災学校種,保,0.0,21.2998,0.009350661767203368,0.0005862587802390714,0.14914041108089432,True
被災学校種,小,12.6877,23.2655,0.5453446598221605,0.48075013796175736,0.6186182270429333,False
被災学校種,幼,1.6807,20.9044,0.08039800360371853,0.020329169610384803,0.3179588299642892,False
被災学校種,幼連,0.0,20.6415,0.17298930939600343,0.01136984966949103,2.6319874083828423,True
被災学校種,特中,33.3333,20.5417,1.6227176220806794,1.0387986188806297,2.534863286445861,False
被災学校種,特小,34.4828,20.554,1.6776640287612077,1.013879624154442,2.7760263904569316,False
被災学校種,特高,35.6322,20.4345,1.743727041118616,1.3101350473679725,2.320817231808842,False
被災学校種,高,30.0543,14.7233,2.0412759471197557,1.8694385833017575,2.228908469905623,False
被災学校種,高専,24.3902,20.5863,1.1847797435380583,0.6899162303507517,2.0345992440045486,False
被災学年,0,0.0,20.6173,0.48493842753394384,0.03495424248682728,6.727803601743555,True
被災学年,1,21.0099,20.4429,1.0277367643105606,0.9335068741768319,1.1314783917868176,False
被災学年,2,22.4682,19.7406,1.1381729662707256,1.038415258178381,1.2475141239950556,False
被災学年,3,23.678,19.7324,1.199954191479615,1.0863701834606243,1.3254138263098654,False
被災学年,4,12.8571,21.0548,0.6106512192843128,0.47418051911934744,0.7863986321200241,False
被災学年,5,12.5813,21.119,0.5957369937057716,0.4664161564440055,0.7609139622765138,False
被災学年,6,12.3288,21.1071,0.5841045718842112,0.4532313897779605,0.7527681413751636,False
性別,女,17.8263,21.7217,0.8206676647541111,0.7404582599499476,0.9095656735850203,False
性別,男,21.7217,17.8263,1.2185200452604898,1.0994258348146937,1.3505150176427183,False
場合別1,休憩時間,15.2068,22.0768,0.688812714127437,0.6087306881389405,0.7794299916013301,False
場合別1,保育中,0.5263,21.6516,0.02430839908119445,0.006097361747573712,0.0969104820008011,False
場合別1,各教科等,15.9698,21.6937,0.7361505851293377,0.6484705707800689,0.8356858559277005,False
場合別1,学校行事,21.0667,20.583,1.0234982269503545,0.8371088224024797,1.2513888189161393,False
場合別1,寄宿舎にあるとき,26.087,20.5902,1.2669625871908687,0.6359044105626339,2.524269639710692,False
場合別1,特別活動（除学校行事）,17.5342,20.7599,0.8446220025792023,0.6731337834078122,1.0597987277199294,False
場合別1,課外指導,24.1391,18.5277,1.302867119265134,1.1931747569809417,1.4226438503922707,False
場合別1,通学中,44.4068,18.6266,2.3840490640115988,2.1516690996437755,2.6415260323046685,False
場合別2,その他,12.9032,20.6693,0.6242703533026114,0.32648221801384963,1.193674425466061,False
場合別2,その他の教科,12.6582,20.7735,0.6093442503462184,0.4035985102244437,0.9199746927299418,False
場合別2,その他健康安全・体育的行事,11.5385,20.6374,0.5591041869522883,0.19269499122725509,1.6222398406760714,False
場合別2,その他儀式的行事,37.5,20.589,1.8213607594936707,0.7437070363415589,4.460566935795152,False
場合別2,その他学級活動,22.5806,20.5986,1.0962215490420828,0.5703871923736956,2.1068174402431445,False
場合別2,その他集団宿泊的行事,21.8182,20.5979,1.0592442566981077,0.6410376620338744,1.750284674051861,False
場合別2,下校（降園）中,42.3197,19.6659,2.1519358665719874,1.8779635408781357,2.4658774640925967,False
場合別2,休憩時間中,14.8734,21.1206,0.7042148753304825,0.5812528998781593,0.8531890176215555,False
場合別2,体育的クラブ活動,35.0,20.569,1.7015862944162434,0.9348976951345612,3.0970189919320146,False
場合別2,体育的部活動,24.4646,18.4494,1.3260410614564178,1.2142829153316117,1.4480850174757347,False
場合別2,体育（保健体育）,17.6633,21.0917,0.8374509016763702,0.7305407296161375,0.9600067241796033,False
場合別2,修学旅行,20.0,20.609,0.9704502219403932,0.4737688038618401,1.987833782189672,False
場合別2,児童（生徒・学生）会活動,21.0526,20.6055,1.021699276690777,0.4272465168897929,2.443248501098302,False
場合別2,勤労生産・奉仕的行事,16.6667,20.6097,0.8086809945217025,0.13504915730394063,4.842421559349692,False
場合別2,図画工作（美術）,0.0,20.6739,0.09300235602730078,0.005972691262035635,1.4481642943119204,True
場合別2,大掃除,30.7692,20.5894,1.4944219808057682,0.6604369503647175,3.3815446811116896,False
場合別2,始業前の特定時間中,12.0603,20.8339,0.5788790005189514,0.39675535320238736,0.8446033419261342,False
場合別2,学級（ホームルーム）活動,12.5,20.7006,0.6038486005089059,0.346810633858353,1.051389711670405,False
場合別2,家庭（技術・家庭）,0.0,20.7118,0.06034101673508052,0.0038388888718653216,0.9484615007503678,True
場合別2,工業,4.7619,20.65,0.23060020468364334,0.034035964043272374,1.5623607526594847,False
場合別2,授業終了後の特定時間中,19.6491,20.6435,0.9518307884971104,0.7494917829329742,1.2087949068442974,False
場合別2,文化的クラブ活動,0.0,20.6254,0.3029681086201452,0.020685403567675762,4.437412813366816,True
場合別2,文化的行事,11.1111,20.6401,0.5383263009845288,0.18505852242219675,1.5659652013785135,False
場合別2,文化的部活動,14.5833,20.6445,0.7064033417935702,0.355707885640747,1.4028524568642893,False
場合別2,日常の清掃,20.155,20.6143,0.9777200240972252,0.6915326452839656,1.3823446398949688,False
場合別2,昼食時休憩時間中,14.3939,21.0651,0.6833061872876074,0.5523286018111053,0.8453434134218667,False
場合別2,林間学校,50.0,20.599,2.427307206068268,0.6066263648497706,9.71243687057689,False
場合別2,水泳指導,30.0,20.5944,1.4567088607594936,0.5646160605763993,3.7583073758988292,False
場合別2,理科,8.6957,20.6784,0.42051931602279924,0.1646855870576095,1.0737824621314482,False
場合別2,登校（登園）中,46.988,19.7229,2.382410953500222,2.0718373461346524,2.7395403224809676,False
場合別2,競技大会・球技大会,18.1818,20.6312,0.8812793325221623,0.5475777719920994,1.4183432959764364,False
場合別2,給食指導,9.0909,20.6897,0.4393939393939394,0.19027972524513567,1.0146484799018831,False
場合別2,総合的な学習の時間,15.2174,20.6391,0.7373096446700509,0.3722151215273435,1.4605143119730593,False
場合別2,自立活動,29.1667,20.5798,1.4172483079526228,0.7585714998568654,2.6478621550817203,False
場合別2,農業,22.2222,20.6047,1.07850165155668,0.3174322232035733,3.664296588013794,False
場合別2,通学（通園）に準ずるとき,45.4545,20.5352,2.2134889903484947,1.3975178752951791,3.5058825343175912,False
場合別2,運動会・体育祭,22.7273,20.582,1.1042284650729948,0.7492830935381315,1.6273161820852027,False
場合別2,道徳,0.0,20.6093,1.212819703189138,0.10992542621630784,13.381177431591988,True
場合別2,遠足,33.3333,20.5517,1.6219253604749786,0.9990880152334308,2.6330431702128427,False
場合別2,（欠損）,1.9851,21.6376,0.09174366851786206,0.046134210911594066,0.18244379922839613,False
競技種目,その他,20.4724,20.6089,0.9933801627397731,0.7030851453293012,1.4035343432874159,False
競技種目,サッカー・フットサル,15.4,20.9691,0.7344143426294821,0.5951295422855529,0.9062975173245533,False
競技種目,スキー,21.0526,20.6055,1.021699276690777,0.4272465168897929,2.443248501098302,False
競技種目,スケート,33.3333,20.6016,1.6179941002949851,0.3263618964366866,8.02147841758618,False
競技種目,ソフトボール,35.2113,20.1901,1.74398513094482,1.4455734459883898,2.103998344322831,False
競技種目,テニス（含ソフトテニス）,16.2162,20.671,0.7844918400828944,0.512795325024217,1.2001424683962978,False
競技種目,ドッジボール,26.087,20.5902,1.2669625871908687,0.6359044105626339,2.524269639710692,False
競技種目,ハンドボール,20.8955,20.6041,1.014145334512904,0.6351238642214488,1.6193546132533378,False
競技種目,バスケットボール,32.4638,20.0491,1.6192159528665306,1.3813074363641904,1.898100475675856,False
競技種目,バドミントン,8.7591,20.8217,0.4206721275676379,0.24459644176665127,0.7234980101677453,False
競技種目,バレーボール,27.2152,20.4678,1.3296564195298373,1.0264009881063927,1.7225102221098447,False
競技種目,ホッケー,74.0741,20.418,3.6278761166797,2.8896956942326,4.554626684132635,False
競技種目,ボクシング,8.3333,20.6258,0.40402444163506107,0.061830993516173806,2.640031158416103,False
競技種目,ポートボール,25.0,20.6043,1.2133375474083439,0.22210550804059223,6.628327306866414,False
競技種目,マット運動,6.0241,20.7659,0.29009574419350403,0.12388453094546772,0.6793062875317908,False
競技種目,ヨット,0.0,20.612,0.80844121671403,0.06435266347640167,10.156179489318731,True
競技種目,ラグビー,12.5,20.7179,0.603343949044586,0.36216012290211386,1.005146336740961,False
競技種目,レスリング,0.0,20.6389,0.18632046829078722,0.012293652138042484,2.823840833813113,True
競技種目,体操（その他）,16.6667,20.619,0.8083175005277602,0.330056109893734,1.9795942631384982,False
競技種目,体操（組体操）,5.1282,20.6856,0.2479119025608589,0.06422771653892664,0.9569126032076104,False
競技種目,剣道,16.6667,20.6221,0.8081960287283481,0.3626475329004331,1.801145083293886,False
競技種目,卓球,10.2564,20.6594,0.49645182767412027,0.19598989828559094,1.2575363289481043,False
競技種目,器械体操・新体操（その他）,14.2857,20.6124,0.6930648365540907,0.11284159840246412,4.256753488678509,False
競技種目,弓道,33.3333,20.5917,1.6187763713080168,0.6418975595583625,4.082328872083671,False
競技種目,投てき,0.0,20.655,0.12738271317700628,0.008262280132214557,1.9639077054612353,True
競技種目,持久走・長距離走,10.989,20.7219,0.5303088519871736,0.29502087278130146,0.953246039321521,False
競技種目,柔道,9.1549,20.8223,0.4396698663317485,0.2613948926582884,0.7395308660941737,False
競技種目,武道等（その他）,0.0,20.6147,0.6062519734764762,0.045335394725069394,8.107163455243507,True
競技種目,水泳,9.6774,20.7405,0.4665942533918105,0.2503820768831278,0.8695119075950584,False
競技種目,準備・整理運動,18.1818,20.6171,0.8818815933590823,0.42706881867987234,1.8210534478016374,False
競技種目,準備運動等,0.0,20.6093,1.212819703189138,0.10992542621630784,13.381177431591988,True
競技種目,球技（その他）,28.8889,20.5578,1.405251238499646,0.8866471079525153,2.227189403307168,False
競技種目,登山,50.0,20.599,2.427307206068268,0.6066263648497706,9.71243687057689,False
競技種目,相撲,10.0,20.6204,0.4849557522123894,0.07549905438243051,3.11503347330154,False
競技種目,短距離走,13.5135,20.6409,0.6546946185729456,0.28940304898670244,1.4810660948083836,False
競技種目,空手,25.0,20.5997,1.2136075949367089,0.4550322135352986,3.236789288048523,False
競技種目,筋力トレーニング,18.1818,20.6101,0.8821804381576678,0.2516419495008086,3.092657353083945,False
競技種目,縄跳び,0.0,20.6254,0.3029681086201452,0.020685403567675762,4.437412813366816,True
競技種目,自転車競技,28.5714,20.5921,1.3874966072559485,0.6053699588803285,3.1801162362061257,False
競技種目,自転車競技部,0.0,20.6093,1.212819703189138,0.10992542621630784,13.381177431591988,True
競技種目,走り幅跳び,0.0,20.6335,0.22025432729569136,0.014677244218017091,3.305250493340331,True
競技種目,走り高跳び,14.2857,20.6355,0.6922868006518197,0.30713692765421907,1.56041482220039,False
競技種目,跳箱運動,3.1746,20.7508,0.15298735981847936,0.03909116511426891,0.598732020286743,False
競技種目,運動なし,0.0,20.6147,0.6062519734764762,0.045335394725069394,8.107163455243507,True
競技種目,野球（含軟式）,31.513,18.751,1.680606998989838,1.5206002724403895,1.8574505977963076,False
競技種目,鉄棒運動,11.4286,20.6486,0.5534786935673572,0.21983467340237542,1.393495664227272,False
競技種目,陸上競技（その他）,23.5294,20.5936,1.1425583566760038,0.6223167559021459,2.097709222882374,False
競技種目,障害走（ハードル）,0.0,20.6362,0.20187348700136828,0.013380378360930601,3.045721402997549,True
競技種目,（欠損）,18.5688,22.5593,0.8231104858696943,0.7533486088592392,0.8993324789894647,False
通学方法,その他,0.0,20.6093,1.212819703189138,0.10992542621630784,13.381177431591988,True
通学方法,バス,0.0,20.6173,0.48493842753394384,0.03495424248682728,6.727803601743555,True
通学方法,原動機付自転車,0.0,20.655,0.12738271317700628,0.008262280132214557,1.9639077054612353,True
通学方法,徒歩,21.2871,20.5882,1.033946251768034,0.7901687294416644,1.3529323696478817,False
通学方法,自動車,0.0,20.6093,1.212819703189138,0.10992542621630784,13.381177431591988,True
通学方法,自転車,61.236,18.6323,3.28655389554266,2.9871976533734426,3.6159095452249614,False
通学方法,鉄道,12.5,20.6151,0.6063527180783818,0.09688494075149555,3.794847949219251,False
通学方法,（欠損）,18.6266,44.4068,0.41945445464839426,0.3785690497729162,0.46475547758043156,False
発生場所1,学校内・校舎内（園内・園舎内）,15.4485,24.1592,0.6394450225620772,0.5804727642980594,0.7044084787920557,False
発生場所1,学校内・校舎外（園内・園舎外）,20.5251,20.657,0.9936137446811616,0.9076986644839444,1.0876608198830104,False
発生場所1,学校外（園外）,30.755,17.9031,1.717859389530113,1.5686479210216504,1.8812640125610713,False
発生場所2,その他,15.5673,20.8681,0.745983351685261,0.5875835857741541,0.9470842522913341,False
発生場所2,プール,14.8148,20.6892,0.7160651398047696,0.4545814272584515,1.1279591591235456,False
発生場所2,ベランダ,0.0,20.6523,0.13447707258885028,0.008740366972850126,2.0690301801103783,True
発生場所2,体育館・屋内運動場,19.5687,20.8087,0.9404086495986094,0.8323966416624322,1.0624363241947394,False
発生場所2,便所,17.6471,20.6264,0.8555572165333732,0.4721190374042827,1.5504101566985307,False
発生場所2,公園,0.0,20.6093,1.212819703189138,0.10992542621630784,13.381177431591988,True
発生場所2,公園・遊園地,22.6415,20.5925,1.099503981360268,0.6671550741713819,1.8120359895764362,False
発生場所2,学校外体育館,23.1214,20.5487,1.1252008885925249,0.8543803788212234,1.4818657720536563,False
発生場所2,学校外運動場・競技場,24.1379,20.3644,1.1852977199924628,1.0069853492642231,1.3951848316818862,False
発生場所2,実習実験室,5.0,20.9386,0.2387936507936508,0.12135927405332794,0.46986444261608845,False
発生場所2,屋上,0.0,20.6147,0.6062519734764762,0.045335394725069394,8.107163455243507,True
発生場所2,山林野（含スキー場）,25.7576,20.562,1.2526800572777586,0.8297054576140804,1.891282396061195,False
発生場所2,廊下,19.6721,20.67,0.951723681744518,0.7910479361606959,1.1450354965711433,False
発生場所2,手足洗場,0.0,20.6147,0.6062519734764762,0.045335394725069394,8.107163455243507,True
発生場所2,排水溝,0.0,20.612,0.80844121671403,0.06435266347640167,10.156179489318731,True
発生場所2,教室（保育室）,10.3581,21.7681,0.47583614004856273,0.38532475978836817,0.5876083133112755,False
発生場所2,昇降口・玄関,5.8824,20.8047,0.28274087060315567,0.12993229919382426,0.6152619510732872,False
発生場所2,水飲み場,0.0,20.612,0.80844121671403,0.06435266347640167,10.156179489318731,True
発生場所2,河川,35.7143,20.579,1.735469853340576,0.8582237255939684,3.5094061397212983,False
発生場所2,海・湖・沼・池,11.7647,20.6262,0.5703761580533542,0.15504287005469883,2.098316172558786,False
発生場所2,講堂,16.6667,20.6159,0.8084388185654008,0.2874820699291825,2.273440300205228,False
発生場所2,農場,0.0,20.6254,0.3029681086201452,0.020685403567675762,4.437412813366816,True
発生場所2,遊戯室,0.0,20.6874,0.07795104759770619,0.004984420471797371,1.2190716766293852,True
発生場所2,運動場・校庭（園庭）,20.7997,20.5004,1.0145998578864361,0.9258857178087418,1.1118141816243243,False
発生場所2,道路,44.3182,18.5395,2.3904753643303263,2.160580810691845,2.6448316300839454,False
発生場所2,階段,21.0084,20.6003,1.019811005275024,0.7177888663681515,1.4489142075193948,False
遊具等,すべり台,17.2414,20.6194,0.836174118264062,0.3762385405812465,1.8583613336754798,False
遊具等,その他,16.129,20.6248,0.7820229772271965,0.3500016043414666,1.7473060961018958,False
遊具等,ぶらんこ,9.7561,20.6648,0.47211109223188497,0.185900150404335,1.19897096868183,False
遊具等,シーソー,33.3333,20.5867,1.619168249947224,0.7265409424565075,3.6084763685483527,False
遊具等,ジャングルジム,17.6471,20.6132,0.8561057334326136,0.3062918241647565,2.3928716635346823,False
遊具等,回旋塔,0.0,20.6173,0.48493842753394384,0.03495424248682728,6.727803601743555,True
遊具等,固定タイヤ,0.0,20.6308,0.24231133564887908,0.01625163534229317,3.6128538542299617,True
遊具等,施設を使用していない,0.0,20.6147,0.6062519734764762,0.045335394725069394,8.107163455243507,True
遊具等,登り棒,14.2857,20.6124,0.6930648365540907,0.11284159840246412,4.256753488678509,False
遊具等,砂場,0.0,20.6308,0.24231133564887908,0.01625163534229317,3.6128538542299617,True
遊具等,総合遊具・アスレティック,0.0,20.6658,0.10517428371384248,0.006778146634503101,1.6319549504007962,True
遊具等,遊動円木,50.0,20.599,2.427307206068268,0.6066263648497706,9.71243687057689,False
遊具等,鉄棒,16.6667,20.6439,0.8073413961383408,0.4807590329052719,1.3557730282876141,False
遊具等,雲てい,17.6471,20.6132,0.8561057334326136,0.3062918241647565,2.3928716635346823,False
遊具等,（欠損）,20.8586,13.8182,1.5095073650103386,1.11996637114562,2.0345365215650624,False
