列名,有効数,数値化不能数,平均,標準偏差,最小,25%点,中央値,75%点,最大
給付年度,7682,0,18.861364228065607,9.116050480917737,1,17.0,21.0,26.0,30
被災学年,7682,0,2.449231970840927,1.4077870583266403,0,1.0,2.0,3.0,6
