列名,カテゴリ,歯牙障害件数,歯牙障害群内割合（％）,歯牙障害以外件数,歯牙障害以外群内割合（％）,割合差_歯牙-以外（pt）,合計
被災学校種,中,386,24.3841,1839,30.1525,-5.7684,2225
被災学校種,保,0,0.0,250,4.099,-4.099,250
被災学校種,小,245,15.4769,1686,27.6439,-12.1669,1931
被災学校種,幼,2,0.1263,117,1.9183,-1.792,119
被災学校種,幼連,0,0.0,13,0.2131,-0.2131,13
被災学校種,特中,13,0.8212,26,0.4263,0.3949,39
被災学校種,特小,10,0.6317,19,0.3115,0.3202,29
被災学校種,特高,31,1.9583,56,0.9182,1.0401,87
被災学校種,高,886,55.9697,2062,33.8088,22.1609,2948
被災学校種,高専,10,0.6317,31,0.5083,0.1234,41
