列名,カテゴリ,歯牙障害件数,歯牙障害群内割合（％）,歯牙障害以外件数,歯牙障害以外群内割合（％）,割合差_歯牙-以外（pt）,合計
被災学年,0,0,0.0,4,0.0656,-0.0656,4
被災学年,1,466,29.4378,1752,28.726,0.7118,2218
被災学年,2,548,34.6178,1891,31.0051,3.6127,2439
被災学年,3,403,25.458,1299,21.2986,4.1594,1702
被災学年,4,54,3.4112,366,6.001,-2.5897,420
被災学年,5,58,3.6639,403,6.6076,-2.9437,461
被災学年,6,54,3.4112,384,6.2961,-2.8849,438
