列名,カテゴリ数（欠損除外）,欠損数,1件のカテゴリ数,5件未満のカテゴリ数,最小カテゴリ件数,最大カテゴリ件数
和暦,2,0,0,0,1644,6038
給付年度,19,0,0,0,259,506
種別,12,0,0,0,20,1841
被災学校種,10,0,0,0,13,2948
被災学年,7,0,0,1,4,2439
性別,2,0,0,0,2199,5483
場合別1,8,0,0,0,23,2846
場合別2,39,403,1,2,1,2755
競技種目,48,3759,2,8,1,1117
通学方法,7,7092,2,3,1,356
発生場所1,3,0,0,0,1616,3133
発生場所2,26,0,1,5,1,2726
遊具等,14,7407,0,3,2,72
Step7_入力元カテゴリ,12,0,0,0,20,1841
Step7_歯牙障害フラグ,2,0,0,0,1583,6099
