順位,因子,総合重要度スコア,CramersV（バイアス補正）,相互情報量,最大絶対調整済み標準化残差,最大絶対log2OR（合計20件・両群3件以上）,解釈上の注意
1,場合別2,89.58333333333333,0.22122985666543732,0.028820435385620576,10.462997487381804,3.7690866898952184,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
2,通学方法,83.33333333333334,0.22119295624500945,0.01991024772280267,19.407652746896648,2.7863132901623686,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
3,被災学校種,79.16666666666666,0.21475432579754758,0.027522748196281845,16.15532148538835,1.3153872967989968,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
4,場合別1,77.08333333333334,0.21759892224512942,0.026018608535334383,14.875217455498673,1.80306186134376,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
5,発生場所2,75.0,0.20063702995445207,0.021570406958419688,15.17069618867626,2.331117266342023,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
6,競技種目,66.66666666666666,0.18423272973193847,0.020483517473872306,9.748348853453665,3.477171336317386,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
7,発生場所1,52.08333333333333,0.14006683013319798,0.009540307611280718,11.350266613786193,1.0262293597369738,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
8,被災学年,37.5,0.08995113092392945,0.004875158901807628,4.4106931321757505,0.9279099068166519,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
9,給付年度,27.08333333333333,0.06200236109754372,0.0031977428051658784,3.263019965373702,0.7743396513557569,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
10,和暦,25.0,0.05274979074325102,0.0015166333200117982,4.729991841609246,0.49990327866435874,探索的関連順位（因果的重要度・交絡調整済み効果ではない）
