指標,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
文字数（空白含む）,7682.0,76.47513668315543,34.211226043293145,11.0,52.0,70.0,94.0,120.0,139.0,186.0,338.0
文字数（空白除外）,7682.0,76.46537360062484,34.197819509174955,11.0,52.0,70.0,94.0,120.0,139.0,186.0,338.0
形態素数,7682.0,49.809945326737825,22.485269868154777,6.0,34.0,45.0,61.0,78.0,91.0,119.0,222.0
解析対象語数,7682.0,18.762041135121063,8.883432729504277,3.0,12.0,17.0,23.0,30.0,35.0,47.0,91.0
