主成分,寄与率,累積寄与率
PC1,0.14996001,0.14996001
PC2,0.08785679,0.23781681
PC3,0.06518329,0.3030001
PC4,0.05900545,0.36200553
PC5,0.052367933,0.41437346
PC6,0.046412375,0.46078584
PC7,0.042421114,0.50320697
PC8,0.03392338,0.53713036
PC9,0.03209538,0.5692257
PC10,0.027933951,0.5971597
