指標,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
文字数（空白含む）,6099.0,78.52221675684538,35.24035388239203,12.0,54.0,72.0,96.0,124.0,143.09999999999945,190.01999999999953,338.0
文字数（空白除外）,6099.0,78.51090342679127,35.22536268943887,12.0,54.0,72.0,96.0,124.0,143.09999999999945,190.01999999999953,338.0
形態素数,6099.0,51.2075750122971,23.11097051239236,6.0,35.0,47.0,63.5,81.0,94.0,122.0,222.0
解析対象語数,6099.0,19.328742416789638,9.225819995218917,3.0,13.0,17.0,24.0,31.0,36.0,48.0,91.0
