項目,値
Results根拠行数,40
特徴語採用上限,10
特徴カテゴリ採用上限,10
Jaccard採用上限,10
事故パターン採用上限,10
処理時間(秒),0.013
次のStep,Step6-3_Discussion候補作成.py
