項目,値
解析対象,歯牙障害
入力ファイル,/workspaces/Meikai/CreateData/Step2_傷害カテゴリ別解析/カテゴリ別抽出データ/Step2-1_傷害カテゴリ別解析_歯牙障害抽出.csv
入力件数,1583
解析成功件数,1583
解析失敗件数,0
解析成功率(%),100.0
総形態素数,70325
平均形態素数,44.425
形態素数中央値,41.0
最小形態素数,7
最大形態素数,164
平均文字数,68.588
文字数中央値,63.0
異常候補レコード数,3
異常候補事例数,2
処理時間(秒),10.353
ジャッカード係数,使用しない
次のStep,Step3-2_歯牙障害_品詞集計.py
