項目,値
解析対象,歯牙障害
入力形態素数,70325
対象形態素数,37310
対象事例数,1583
最小共起事例数,3
出力共起組数,22277
処理時間(秒),3.0
ジャッカード係数,使用しない
次のStep,Step3-5_歯牙障害_ストップワード除去.py
