項目,値
解析対象,歯牙障害
登録ストップワード数,35
入力形態素数,70325
対象形態素数,37310
対象事例数,1583
除去前語数合計,37310
除去語数合計,10348
除去後語数合計,26962
全体除去率(%),27.7352
処理時間(秒),1.769
ジャッカード係数,使用しない
次のStep,Step3-6_歯牙障害_カテゴリ分類.py
