項目,値
解析対象,歯牙障害
辞書登録語数,67
分類対象語レコード数,37310
辞書ヒット件数,5013
未分類件数,32297
辞書ヒット率(%),13.4361
対象事例数,1583
処理時間(秒),3.364
ジャッカード係数,使用しない
次のStep,Step3-7_歯牙障害_特徴語抽出.py
