項目,値
解析対象,歯牙障害
入力ファイル,/workspaces/SchoolProject/SportDent/CreateData/Step3_歯牙障害/Step3-1_歯牙障害_形態素解析.csv
入力形態素数,70325
対象事例数,1583
品詞大分類数,13
品詞・細分類組合せ数,43
名詞件数,25449
動詞件数,11599
形容詞件数,262
名詞・動詞・形容詞合計,37310
名詞・動詞・形容詞割合(%),53.0537
処理時間(秒),0.264
ジャッカード係数,使用しない
次のStep,Step3-3_歯牙障害_頻出語集計.py
