項目,値
解析対象,歯牙障害
入力形態素数,70325
集計対象形態素数,37310
対象事例数,1583
異なり語数,2731
品詞別上位抽出数,100
処理時間(秒),0.241
ジャッカード係数,使用しない
次のStep,Step3-4_歯牙障害_共起語解析.py
