項目,値
解析対象,歯牙障害
対象事例数,1583
TF-IDF対象語数,1440
特徴語出力行数,300
特徴カテゴリ出力行数,34
事例別特徴データ件数,1583
処理時間(秒),0.369
ジャッカード係数,使用しない
次のStep,Step4_Jaccard解析
