モデル,項目（比較対象／基準）,回帰係数,調整オッズ比,95%CI下限,95%CI上限,標準誤差
主モデル（大分類）,切片,-0.9009806937334445,0.4061711348704447,0.36850765101419786,0.44768403138416474,0.04964954655379092
主モデル（大分類）,場合別1：その他（少数カテゴリ）（対 課外指導）,-2.3476784132709043,0.09559082720460249,0.0325949673928499,0.2803379471293661,0.5489382467897908
主モデル（大分類）,場合別1：休憩時間（対 課外指導）,-0.023183019352618725,0.9770836421923927,0.8093467970529736,1.1795838907576042,0.0960942656574919
主モデル（大分類）,場合別1：各教科等（対 課外指導）,-0.274792471515249,0.7597297724345454,0.6383834298768416,0.9041420878276851,0.08878761090553364
主モデル（大分類）,場合別1：学校行事（対 課外指導）,0.018216521259036514,1.0183834541875498,0.7761270727368038,1.3362565180285408,0.1385997652741281
主モデル（大分類）,場合別1：特別活動（除学校行事）（対 課外指導）,0.17947399002578188,1.196587780445401,0.8794760065480262,1.6280402258285633,0.15709336019857884
主モデル（大分類）,場合別1：通学中（対 課外指導）,1.11584987338463,3.0521610276531734,2.512837075699756,3.7072387337848847,0.09920278036506353
主モデル（大分類）,被災学校種：その他（少数カテゴリ）（対 高）,-0.7112476336599112,0.4910311880965882,0.19725395917903996,1.2223411316408561,0.4653140887316737
主モデル（大分類）,被災学校種：中（対 高）,-0.6890671905975994,0.5020441622262081,0.43543998342982904,0.5788360059177537,0.0726179144451274
主モデル（大分類）,被災学校種：小（対 高）,-1.1122621204335543,0.3288143015875484,0.27207176760166485,0.3973909012375072,0.09664656917273241
主モデル（大分類）,被災学校種：特中（対 高）,0.365537540027503,1.441288550243815,0.7236269488811432,2.8706955818544566,0.35153919560936014
主モデル（大分類）,被災学校種：特高（対 高）,0.4407080861909403,1.553807058396101,0.9735922918334344,2.4798022693616333,0.238505479954705
主モデル（大分類）,被災学校種：高専（対 高）,-0.3547450116436765,0.7013522570691112,0.33563984297267896,1.4655440907710613,0.37600590723529626
主モデル（大分類）,性別：女（対 男）,-0.09361162321950217,0.9106363635901409,0.7947661004732975,1.0433995438391708,0.06943663144828818
主モデル（大分類）,給付年度（西暦換算・標準化）,-0.20590161894247794,0.813913145980218,0.7674997170123968,0.8631333595510833,0.02995691290401246
詳細活動モデル,切片,-0.8908962150034724,0.4102878817758337,0.37200892244569483,0.45250566794314967,0.04997001271636896
詳細活動モデル,場合別2：その他（対 体育的部活動）,-0.4713467857771287,0.6241610906872616,0.28953061376788547,1.3455470634280935,0.39191196670584405
詳細活動モデル,場合別2：その他の教科（対 体育的部活動）,-0.6544096491981455,0.5197488061594616,0.31153490173114956,0.8671221747645849,0.26113992538378367
詳細活動モデル,場合別2：その他学級活動（対 体育的部活動）,0.22709498072583864,1.2549490582522418,0.5257907433064689,2.995292630875064,0.44385048598864507
詳細活動モデル,場合別2：その他集団宿泊的行事（対 体育的部活動）,0.11958696496654851,1.127031252040647,0.5781515474604937,2.197000853246187,0.34056439632888724
詳細活動モデル,場合別2：その他（少数カテゴリ）（対 体育的部活動）,-0.24577184407144298,0.782100645469843,0.5655407251851428,1.0815868644014932,0.16540873760461638
詳細活動モデル,場合別2：下校（降園）中（対 体育的部活動）,1.1042801124058768,3.017051748718552,2.343011775753018,3.8850002158099253,0.12900149334860353
詳細活動モデル,場合別2：不明・記載なし（対 体育的部活動）,-2.4443216262202623,0.08678498759747234,0.029221747636109657,0.25774071304984164,0.5553675707355167
詳細活動モデル,場合別2：休憩時間中（対 体育的部活動）,-0.03660144769711654,0.9640602872392559,0.7410119870921896,1.2542472370507118,0.13425358633022547
詳細活動モデル,場合別2：体育（保健体育）（対 体育的部活動）,-0.16813869411752067,0.8452365972108263,0.702277344905395,1.017297383216567,0.09453478604532639
詳細活動モデル,場合別2：修学旅行（対 体育的部活動）,-0.3640583469594989,0.6948506511373244,0.2775842677145655,1.7393544359020927,0.46814917219076435
詳細活動モデル,場合別2：始業前の特定時間中（対 体育的部活動）,-0.24097499565502295,0.785861276089132,0.49932316257654735,1.236830156385471,0.2313912126516859
詳細活動モデル,場合別2：学級（ホームルーム）活動（対 体育的部活動）,-0.3059701656965213,0.7364085893657094,0.38187708205593257,1.420084199795381,0.33504404652159403
詳細活動モデル,場合別2：授業終了後の特定時間中（対 体育的部活動）,0.14420116654508494,1.155116455940479,0.8386464545884622,1.59100896388962,0.16335062087635072
詳細活動モデル,場合別2：文化的部活動（対 体育的部活動）,-0.47756208119059934,0.6202937758246999,0.274260855551315,1.402913906738224,0.4163844473136431
詳細活動モデル,場合別2：日常の清掃（対 体育的部活動）,0.358449247033369,1.4311083972882115,0.9056928908339565,2.2613308170090436,0.23342053572763932
詳細活動モデル,場合別2：昼食時休憩時間中（対 体育的部活動）,-0.1111220961657244,0.894829487009595,0.6760046516346091,1.1844886109669204,0.1430781763677743
詳細活動モデル,場合別2：登校（登園）中（対 体育的部活動）,1.1003359799884425,3.0051755331903935,2.2846009118009922,3.953023015370681,0.13986970743026195
詳細活動モデル,場合別2：競技大会・球技大会（対 体育的部活動）,-0.42482973263809204,0.653881110263706,0.36123805714356616,1.1835976246261677,0.30274916697657556
詳細活動モデル,場合別2：給食指導（対 体育的部活動）,-0.49415645356841403,0.6100853255973151,0.23801599935234224,1.563777668400337,0.4802351682817277
詳細活動モデル,場合別2：総合的な学習の時間（対 体育的部活動）,-0.04717693322194199,0.9539186027662476,0.41752939476263035,2.179393144812791,0.42154254965848764
詳細活動モデル,場合別2：運動会・体育祭（対 体育的部活動）,0.16668356425604025,1.1813803751774619,0.7024326383374269,1.9868945642357931,0.2652496607732245
詳細活動モデル,場合別2：遠足（対 体育的部活動）,1.0142868700138905,2.7573963140714484,1.294449948106094,5.873718365070105,0.3858168446896215
詳細活動モデル,被災学校種：その他（少数カテゴリ）（対 高）,-0.6225927398483402,0.5365514941654128,0.21271874564778032,1.3533715846924987,0.47203657599262466
詳細活動モデル,被災学校種：中（対 高）,-0.6928853266302286,0.5001309441082248,0.43347406478630673,0.5770378935540086,0.07297856398143632
詳細活動モデル,被災学校種：小（対 高）,-1.0935187048018749,0.3350355260725915,0.2763607088740944,0.4061677370420877,0.09822941098176548
詳細活動モデル,被災学校種：特中（対 高）,0.41613498209875305,1.5160905001370872,0.749140735459478,3.0682224257851134,0.35967520275741643
詳細活動モデル,被災学校種：特高（対 高）,0.5703117577260973,1.768818408289237,1.0926403251865795,2.863447823938412,0.24577279279592767
詳細活動モデル,被災学校種：高専（対 高）,-0.3171539981893315,0.7282186021440776,0.3473314975470214,1.526790216994019,0.3777151186402192
詳細活動モデル,性別：女（対 男）,-0.08816121601044442,0.915613253308208,0.7984835568715538,1.0499247259621396,0.06983657553581124
詳細活動モデル,給付年度（西暦換算・標準化）,-0.2079161003245653,0.8122751834774107,0.7657028479164946,0.8616801876714663,0.03012500570514808
通学中サブグループ,切片,0.4753602135554371,1.6085935303325607,1.2139060385776603,2.1316090896620326,0.14363108271415154
通学中サブグループ,通学方法：その他（少数カテゴリ）（対 自転車）,-3.8093160155229002,0.022163333149665412,0.0029449904699824538,0.16679623968561924,1.0297620828367804
通学中サブグループ,通学方法：徒歩（対 自転車）,-1.0541543765975017,0.34848699149893475,0.17536446349494195,0.692518773893329,0.35037471715543717
通学中サブグループ,発生場所2（二値）：道路以外（対 道路）,-0.7431534540988068,0.475611728472336,0.18841975910875786,1.2005456186252437,0.4724130559917556
通学中サブグループ,被災学校種：その他（少数カテゴリ）（対 高）,0.666324477061889,1.9470676607336672,0.5980392815259709,6.339169670931125,0.6022567939184938
通学中サブグループ,被災学校種：中（対 高）,-0.18510393794689997,0.8310179050682968,0.5177281028934128,1.3338869469990429,0.24142915024083714
通学中サブグループ,被災学校種：小（対 高）,-0.9562233781835101,0.3843416616185407,0.17507056609244412,0.8437655521014293,0.4011952925196203
通学中サブグループ,性別：女（対 男）,0.08524980523757768,1.0889890678961476,0.74217972085916,1.5978571721476107,0.19561921376545652
通学中サブグループ,給付年度（西暦換算・標準化）,-0.19298875612516544,0.8244912445633464,0.6888788608447647,0.9868002213451607,0.09168422760418608
