順位,被災学校種,件数,割合（％）,全体件数
1,高,2948,38.38,7682
2,中,2225,28.96,7682
3,小,1931,25.14,7682
4,保,250,3.25,7682
5,幼,119,1.55,7682
6,特高,87,1.13,7682
7,高専,41,0.53,7682
8,特中,39,0.51,7682
9,特小,29,0.38,7682
10,幼連,13,0.17,7682
