順位,種別,件数,割合（％）,全体件数
1,外貌・露出部分の醜状障害,1841,23.97,7682
2,視力・眼球運動障害,1768,23.01,7682
3,歯牙障害,1583,20.61,7682
4,精神・神経障害,878,11.43,7682
5,手指切断・機能障害,503,6.55,7682
6,胸腹部臓器障害,411,5.35,7682
7,上肢切断・機能障害,217,2.82,7682
8,下肢切断・機能障害,158,2.06,7682
9,せき柱障害,154,2.0,7682
10,聴力障害,121,1.58,7682
11,足指切断・機能障害,28,0.36,7682
12,そしゃく機能障害,20,0.26,7682
