解析,設定,項目,調整オッズ比,95%CI下限,95%CI上限
カテゴリ統合基準,20件未満を統合,切片,0.4051734017457467,0.3675871041029802,0.44660295110959325
カテゴリ統合基準,20件未満を統合,場合別1：その他（少数カテゴリ）（対 課外指導）,1446425.8523984668,9.85967654375977e-305,1.0142320547350045e+304
カテゴリ統合基準,20件未満を統合,場合別1：休憩時間（対 課外指導）,0.9618248357084863,0.796656360584359,1.161237216391616
カテゴリ統合基準,20件未満を統合,場合別1：各教科等（対 課外指導）,0.7482648211912803,0.6285719573454706,0.8907496366795298
カテゴリ統合基準,20件未満を統合,場合別1：学校行事（対 課外指導）,1.0180424635722998,0.7760204307810027,1.335545323972067
カテゴリ統合基準,20件未満を統合,場合別1：寄宿舎にあるとき（対 課外指導）,0.7965053707723802,0.3070243256645692,2.066353551289501
カテゴリ統合基準,20件未満を統合,場合別1：特別活動（除学校行事）（対 課外指導）,1.1797646121291032,0.8672025214420568,1.6049821184994457
カテゴリ統合基準,20件未満を統合,場合別1：通学中（対 課外指導）,3.055272881740781,2.515119409995721,3.7114310934113846
カテゴリ統合基準,20件未満を統合,被災学校種：その他（少数カテゴリ）（対 高）,9.03644078649353e-09,9.85967654375977e-305,1.0142320547350045e+304
カテゴリ統合基準,20件未満を統合,被災学校種：中（対 高）,0.5052911362009092,0.43826853199401206,0.5825632316369318
カテゴリ統合基準,20件未満を統合,被災学校種：小（対 高）,0.33272321773275454,0.27529476561379884,0.402131654670622
カテゴリ統合基準,20件未満を統合,被災学校種：特中（対 高）,1.3701983896393726,0.6917848653663426,2.713912548485876
カテゴリ統合基準,20件未満を統合,被災学校種：特小（対 高）,1.5495183951719038,0.7075077465972472,3.3936126756544183
カテゴリ統合基準,20件未満を統合,被災学校種：特高（対 高）,1.4834041607796482,0.9322227411534061,2.360474387801124
カテゴリ統合基準,20件未満を統合,被災学校種：高専（対 高）,0.6879120336080475,0.3299125351167274,1.4343891656475767
カテゴリ統合基準,20件未満を統合,性別：女（対 男）,0.915440250756402,0.7987759616756858,1.0491438061642577
カテゴリ統合基準,20件未満を統合,給付年度（西暦換算・標準化）,0.8124486364891722,0.7660756677460997,0.861628706828844
カテゴリ統合基準,30件未満を統合,切片,0.4061711348704447,0.36850765101419786,0.44768403138416474
