分割,対象件数,AUC,Brierスコア,LogLoss,前処理
1,1537,0.6815690127734395,0.1503577249968063,0.4690914596501526,カテゴリ統合・標準化・ダミー化を学習fold内で実施
2,1537,0.6748267569943631,0.15183698911550356,0.47507916354712704,カテゴリ統合・標準化・ダミー化を学習fold内で実施
3,1536,0.6734488483087777,0.1506909073941888,0.471426442668581,カテゴリ統合・標準化・ダミー化を学習fold内で実施
4,1536,0.7142768209172027,0.14773372980050814,0.4614618684777003,カテゴリ統合・標準化・ダミー化を学習fold内で実施
5,1536,0.6680735877522818,0.15412633028601386,0.4774713418047776,カテゴリ統合・標準化・ダミー化を学習fold内で実施
5分割平均,7682,0.6824390053492129,0.15094913631860413,0.4709060552296678,カテゴリ統合・標準化・ダミー化を学習fold内で実施
